domain,family,control_slot,horizon,rows,matched,initial_control_better,mean_delta,g3_better_rate,reversal_rate,mean_parameter_distance,mean_utility_gap,max_utility_gap,persistent_reversal,transient_reversal,no_reversal
N1-k2-shortlist,L2-shifted-36,control_b,2,288,26,7,0.00000352,0.53846154,0.00000000,0.01366203,0.00002866,0.00004989,3,3,1
N1-k2-shortlist,L2-shifted-36,control_b,4,288,26,7,0.00003991,0.57692308,0.28571429,0.02124142,0.00002866,0.00004989,3,3,1
N1-k2-shortlist,L2-shifted-36,control_b,8,288,26,7,-0.00004040,0.61538462,0.28571429,0.02797857,0.00002866,0.00004989,3,3,1
N1-k2-shortlist,L2-shifted-36,control_b,16,288,26,7,0.00001603,0.50000000,0.28571429,0.04989466,0.00002866,0.00004989,3,3,1
N1-k2-shortlist,L2-shifted-36,control_b,32,288,26,7,-0.00007294,0.65384615,0.57142857,0.07238133,0.00002866,0.00004989,3,3,1
N1-k2-shortlist,L2-shifted-36,control_b,64,288,26,7,0.00004409,0.65384615,0.71428571,0.10925209,0.00002866,0.00004989,3,3,1
N2-full-7x7,L0-original,control_a,1,288,210,74,-0.00000173,0.45238095,0.00000000,0.01454777,0.00001256,0.00004926,24,40,10
N2-full-7x7,L0-original,control_a,2,288,210,74,0.00002905,0.38571429,0.14864865,0.01603261,0.00001256,0.00004926,24,40,10
N2-full-7x7,L0-original,control_a,4,288,210,74,0.00001456,0.42380952,0.33783784,0.01965497,0.00001256,0.00004926,24,40,10
N2-full-7x7,L0-original,control_a,8,288,210,74,-0.00005123,0.50000000,0.43243243,0.02577376,0.00001256,0.00004926,24,40,10
N2-full-7x7,L0-original,control_a,16,288,210,74,-0.00009090,0.50952381,0.52702703,0.03596133,0.00001256,0.00004926,24,40,10
N2-full-7x7,L0-original,control_a,32,288,210,74,0.00000622,0.44761905,0.44594595,0.05632694,0.00001256,0.00004926,24,40,10
N2-full-7x7,L0-original,control_a,64,288,210,74,-0.00012387,0.45714286,0.48648649,0.08751194,0.00001256,0.00004926,24,40,10
N2-full-7x7,L0-original,control_b,1,288,179,69,-0.00000206,0.40223464,0.00000000,0.01595996,0.00001506,0.00004971,23,37,9
N2-full-7x7,L0-original,control_b,2,288,179,69,0.00002763,0.34636872,0.18840580,0.01774393,0.00001506,0.00004971,23,37,9
N2-full-7x7,L0-original,control_b,4,288,179,69,-0.00001753,0.41340782,0.28985507,0.02112439,0.00001506,0.00004971,23,37,9
N2-full-7x7,L0-original,control_b,8,288,179,69,-0.00003731,0.43575419,0.39130435,0.02683112,0.00001506,0.00004971,23,37,9
N2-full-7x7,L0-original,control_b,16,288,179,69,-0.00006532,0.45810056,0.53623188,0.03764833,0.00001506,0.00004971,23,37,9
N2-full-7x7,L0-original,control_b,32,288,179,69,-0.00011552,0.44692737,0.60869565,0.05390472,0.00001506,0.00004971,23,37,9
N2-full-7x7,L0-original,control_b,64,288,179,69,-0.00016708,0.46927374,0.49275362,0.08380658,0.00001506,0.00004971,23,37,9
N2-full-7x7,L2-shifted-17,control_a,1,288,210,74,-0.00000173,0.45238095,0.00000000,0.01454777,0.00001256,0.00004926,20,42,12
N2-full-7x7,L2-shifted-17,control_a,2,288,210,74,0.00003078,0.38571429,0.17567568,0.01644016,0.00001256,0.00004926,20,42,12
N2-full-7x7,L2-shifted-17,control_a,4,288,210,74,0.00001062,0.42857143,0.31081081,0.02048665,0.00001256,0.00004926,20,42,12
N2-full-7x7,L2-shifted-17,control_a,8,288,210,74,-0.00003495,0.50476190,0.37837838,0.02669954,0.00001256,0.00004926,20,42,12
N2-full-7x7,L2-shifted-17,control_a,16,288,210,74,-0.00008033,0.46190476,0.40540541,0.03699413,0.00001256,0.00004926,20,42,12
N2-full-7x7,L2-shifted-17,control_a,32,288,210,74,-0.00008690,0.46190476,0.40540541,0.05808360,0.00001256,0.00004926,20,42,12
N2-full-7x7,L2-shifted-17,control_a,64,288,210,74,-0.00001346,0.42380952,0.51351351,0.08996016,0.00001256,0.00004926,20,42,12
N2-full-7x7,L2-shifted-17,control_b,1,288,179,69,-0.00000206,0.40223464,0.00000000,0.01595996,0.00001506,0.00004971,13,42,14
N2-full-7x7,L2-shifted-17,control_b,2,288,179,69,0.00001049,0.37430168,0.14492754,0.01784758,0.00001506,0.00004971,13,42,14
N2-full-7x7,L2-shifted-17,control_b,4,288,179,69,-0.00003736,0.44134078,0.37681159,0.02203296,0.00001506,0.00004971,13,42,14
N2-full-7x7,L2-shifted-17,control_b,8,288,179,69,-0.00003408,0.44692737,0.40579710,0.02816238,0.00001506,0.00004971,13,42,14
N2-full-7x7,L2-shifted-17,control_b,16,288,179,69,-0.00005847,0.41899441,0.40579710,0.03921182,0.00001506,0.00004971,13,42,14
N2-full-7x7,L2-shifted-17,control_b,32,288,179,69,-0.00013401,0.45251397,0.50724638,0.05987051,0.00001506,0.00004971,13,42,14
N2-full-7x7,L2-shifted-17,control_b,64,288,179,69,0.00010368,0.35195531,0.37681159,0.08827953,0.00001506,0.00004971,13,42,14
N2-full-7x7,L2-shifted-36,control_a,1,288,210,74,-0.00000173,0.45238095,0.00000000,0.01454777,0.00001256,0.00004926,19,40,15
N2-full-7x7,L2-shifted-36,control_a,2,288,210,74,0.00003492,0.37619048,0.14864865,0.01664051,0.00001256,0.00004926,19,40,15
N2-full-7x7,L2-shifted-36,control_a,4,288,210,74,0.00000157,0.45714286,0.33783784,0.02040070,0.00001256,0.00004926,19,40,15
N2-full-7x7,L2-shifted-36,control_a,8,288,210,74,-0.00004283,0.50000000,0.45945946,0.02639497,0.00001256,0.00004926,19,40,15
N2-full-7x7,L2-shifted-36,control_a,16,288,210,74,-0.00005341,0.48095238,0.48648649,0.03606970,0.00001256,0.00004926,19,40,15
N2-full-7x7,L2-shifted-36,control_a,32,288,210,74,-0.00005845,0.46190476,0.39189189,0.05425396,0.00001256,0.00004926,19,40,15
N2-full-7x7,L2-shifted-36,control_a,64,288,210,74,-0.00006194,0.43333333,0.44594595,0.08483314,0.00001256,0.00004926,19,40,15
N2-full-7x7,L2-shifted-36,control_b,1,288,179,69,-0.00000206,0.40223464,0.00000000,0.01595996,0.00001506,0.00004971,25,31,13
N2-full-7x7,L2-shifted-36,control_b,2,288,179,69,0.00001903,0.36871508,0.20289855,0.01761028,0.00001506,0.00004971,25,31,13
N2-full-7x7,L2-shifted-36,control_b,4,288,179,69,-0.00000636,0.40223464,0.33333333,0.02080989,0.00001506,0.00004971,25,31,13
N2-full-7x7,L2-shifted-36,control_b,8,288,179,69,-0.00003323,0.43016760,0.39130435,0.02691210,0.00001506,0.00004971,25,31,13
N2-full-7x7,L2-shifted-36,control_b,16,288,179,69,-0.00003569,0.45810056,0.47826087,0.03725936,0.00001506,0.00004971,25,31,13
N2-full-7x7,L2-shifted-36,control_b,32,288,179,69,-0.00008188,0.44692737,0.46376812,0.05626527,0.00001506,0.00004971,25,31,13
N2-full-7x7,L2-shifted-36,control_b,64,288,179,69,-0.00016741,0.46368715,0.57971014,0.08781071,0.00001506,0.00004971,25,31,13
