dataset_index,initialization_index,stream_seed,anchor_step,reuse_commits,quality_readout_step,method,refresh_feature_ns,refresh_partition_ns,amortized_proxy_ns_per_commit,verifier_ns_per_commit,projected_total_ns_per_commit,within_stratum_utility_variance_v48,predicted_rmse_v48,observed_rmse_v48,sign_error_rate_v48,cross_block_regret_v48,selected_program_regret_v48,false_authorization_rate_v48,quality_mode
0,0,a303ea0000000001,600,100,700,balanced_kmeans,18200,2714100,27323.00,513900,541223.00,1.232132495926e-5,3.582556838241e-4,3.523263159353e-4,2.655330882353e-1,4.297063344438e-4,4.331461650509e-4,1.562500000000e-2,stale_reuse
0,0,a303ea0000000001,600,100,700,warm_start_balanced_kmeans,18200,2231700,22499.00,513900,536399.00,1.232132495926e-5,3.582556838241e-4,3.523263159353e-4,2.655330882353e-1,4.297063344438e-4,4.331461650509e-4,1.562500000000e-2,stale_reuse
0,0,a303ea0000000001,600,100,700,projected_order_1d,18200,13400,316.00,513900,514216.00,1.548090395912e-5,4.015711845251e-4,4.039924955186e-4,2.840992647059e-1,4.568069774677e-4,4.687131407195e-4,3.125000000000e-2,stale_reuse
0,0,a303ea0000000001,600,100,700,nearest_centroid_quota_repair,18200,2601300,26195.00,513900,540095.00,1.232132495926e-5,3.582556838241e-4,3.523263159353e-4,2.655330882353e-1,4.297063344438e-4,4.331461650509e-4,1.562500000000e-2,stale_reuse
0,0,a303ea0000000001,600,100,700,hash_placebo_mean,0,14200,142.00,513900,514042.00,2.083332507701e-5,4.658325539170e-4,4.636012533988e-4,2.958639705882e-1,4.645691473835e-4,4.797990625462e-4,3.320312500000e-2,stale_reuse
0,0,a303ea0000000001,2400,1,2401,balanced_kmeans,10200,2537800,2548000.00,500600,3048600.00,4.410929823055e-5,6.778435339872e-4,6.898381760325e-4,3.039522058824e-1,4.312221921055e-4,5.699323739154e-4,2.187500000000e-1,stale_reuse
0,0,a303ea0000000001,2400,1,2401,warm_start_balanced_kmeans,10200,2372200,2382400.00,500600,2883000.00,4.409173627559e-5,6.777085800972e-4,6.833533913829e-4,3.228860294118e-1,4.492505711369e-4,5.957368202303e-4,2.812500000000e-1,stale_reuse
0,0,a303ea0000000001,2400,1,2401,projected_order_1d,10200,15600,25800.00,500600,526400.00,4.678437643309e-5,6.980954479950e-4,6.600151060686e-4,3.147058823529e-1,3.679711691120e-4,4.838361335828e-4,2.187500000000e-1,stale_reuse
0,0,a303ea0000000001,2400,1,2401,nearest_centroid_quota_repair,10200,53800,64000.00,500600,564600.00,4.572472737706e-5,6.901443642536e-4,6.909113144140e-4,3.250000000000e-1,4.626400395864e-4,5.584822970945e-4,1.875000000000e-1,stale_reuse
0,0,a303ea0000000001,2400,1,2401,hash_placebo_mean,0,0,0.00,500600,500600.00,5.536212794503e-5,7.593974196613e-4,7.646025017157e-4,3.453814338235e-1,4.569311794711e-4,5.901413073273e-4,3.320312500000e-1,stale_reuse
0,0,a303ea0000000001,2400,10,2410,balanced_kmeans,10200,2537800,254800.00,572200,827000.00,4.624330579124e-5,6.940469018676e-4,6.643273887288e-4,2.826286764706e-1,5.827156845726e-4,6.890547162470e-4,1.718750000000e-1,stale_reuse
0,0,a303ea0000000001,2400,10,2410,warm_start_balanced_kmeans,10200,2372200,238240.00,572200,810440.00,4.622703746513e-5,6.939248087954e-4,6.740513705069e-4,2.860294117647e-1,4.810393106141e-4,5.112797526863e-4,4.687500000000e-2,stale_reuse
0,0,a303ea0000000001,2400,10,2410,projected_order_1d,10200,15600,2580.00,572200,574780.00,4.991437587467e-5,7.210696328103e-4,7.348852289537e-4,3.080882352941e-1,5.371624747568e-4,5.832710419682e-4,1.093750000000e-1,stale_reuse
0,0,a303ea0000000001,2400,10,2410,nearest_centroid_quota_repair,10200,53800,6400.00,572200,578600.00,4.816011476410e-5,7.082851559408e-4,6.840023821789e-4,3.009191176471e-1,4.335011349781e-4,4.598813907251e-4,4.687500000000e-2,stale_reuse
