dataset_index,initialization_index,stream_seed,state_step,verifier_examples,candidate_count,candidate_sample_evaluations,elapsed_median_ns,measurement_repetitions
0,2,a303ea0000000005,700,48,170,8160,519400,3
0,2,a303ea0000000005,2400,48,170,8160,532900,3
0,2,a303ea0000000005,2401,48,170,8160,536700,3
0,2,a303ea0000000005,2410,48,170,8160,492200,3
0,2,a303ea0000000005,2425,48,170,8160,491300,3
0,2,a303ea0000000005,2450,48,170,8160,490600,3
0,2,a303ea0000000005,2500,48,170,8160,489600,3
0,2,a303ea0000000006,600,48,170,8160,494000,3
0,2,a303ea0000000006,601,48,170,8160,493700,3
0,2,a303ea0000000006,610,48,170,8160,513600,3
0,2,a303ea0000000006,625,48,170,8160,493600,3
0,2,a303ea0000000006,650,48,170,8160,508900,3
0,2,a303ea0000000006,700,48,170,8160,524800,3
0,2,a303ea0000000006,2400,48,170,8160,547300,3
0,2,a303ea0000000006,2401,48,170,8160,518000,3
0,2,a303ea0000000006,2410,48,170,8160,549400,3
0,2,a303ea0000000006,2425,48,170,8160,530700,3
0,2,a303ea0000000006,2450,48,170,8160,507100,3
0,2,a303ea0000000006,2500,48,170,8160,494700,3
1,0,a303ea0000000007,600,48,170,8160,572700,3
1,0,a303ea0000000007,601,48,170,8160,496500,3
1,0,a303ea0000000007,610,48,170,8160,503100,3
1,0,a303ea0000000007,625,48,170,8160,492100,3
1,0,a303ea0000000007,650,48,170,8160,492900,3
1,0,a303ea0000000007,700,48,170,8160,509000,3
1,0,a303ea0000000007,2400,48,170,8160,490300,3
1,0,a303ea0000000007,2401,48,170,8160,515400,3
1,0,a303ea0000000007,2410,48,170,8160,499200,3
1,0,a303ea0000000007,2425,48,170,8160,492200,3
1,0,a303ea0000000007,2450,48,168,8064,488900,3
1,0,a303ea0000000007,2500,48,170,8160,534800,3
1,0,a303ea0000000008,600,48,170,8160,566600,3
1,0,a303ea0000000008,601,48,170,8160,550500,3
1,0,a303ea0000000008,610,48,170,8160,490800,3
1,0,a303ea0000000008,625,48,170,8160,494900,3
1,0,a303ea0000000008,650,48,170,8160,558400,3
1,0,a303ea0000000008,700,48,170,8160,573700,3
1,0,a303ea0000000008,2400,48,170,8160,544200,3
1,0,a303ea0000000008,2401,48,170,8160,569000,3
1,0,a303ea0000000008,2410,48,170,8160,564400,3
1,0,a303ea0000000008,2425,48,170,8160,490600,3
1,0,a303ea0000000008,2450,48,170,8160,559500,3
1,0,a303ea0000000008,2500,48,170,8160,568500,3
1,1,a303ea0000000009,600,48,170,8160,497400,3
1,1,a303ea0000000009,601,48,170,8160,494400,3
1,1,a303ea0000000009,610,48,170,8160,578000,3
1,1,a303ea0000000009,625,48,170,8160,642400,3
1,1,a303ea0000000009,650,48,170,8160,491300,3
1,1,a303ea0000000009,700,48,170,8160,515100,3
1,1,a303ea0000000009,2400,48,170,8160,491300,3
1,1,a303ea0000000009,2401,48,170,8160,548300,3
1,1,a303ea0000000009,2410,48,170,8160,490900,3
1,1,a303ea0000000009,2425,48,170,8160,571900,3
1,1,a303ea0000000009,2450,48,170,8160,573500,3
1,1,a303ea0000000009,2500,48,170,8160,659500,3
1,1,a303ea000000000a,600,48,170,8160,576700,3
1,1,a303ea000000000a,601,48,170,8160,660800,3
1,1,a303ea000000000a,610,48,170,8160,603000,3
1,1,a303ea000000000a,625,48,170,8160,533600,3
1,1,a303ea000000000a,650,48,170,8160,558500,3
1,1,a303ea000000000a,700,48,170,8160,569500,3
1,1,a303ea000000000a,2400,48,170,8160,568600,3
1,1,a303ea000000000a,2401,48,170,8160,492300,3
1,1,a303ea000000000a,2410,48,170,8160,494100,3
1,1,a303ea000000000a,2425,48,170,8160,491300,3
1,1,a303ea000000000a,2450,48,170,8160,490600,3
1,1,a303ea000000000a,2500,48,170,8160,582800,3
1,2,a303ea000000000b,600,48,170,8160,545800,3
1,2,a303ea000000000b,601,48,170,8160,492600,3
1,2,a303ea000000000b,610,48,170,8160,494100,3
1,2,a303ea000000000b,625,48,170,8160,569900,3
1,2,a303ea000000000b,650,48,170,8160,566000,3
1,2,a303ea000000000b,700,48,170,8160,553600,3
1,2,a303ea000000000b,2400,48,170,8160,548000,3
1,2,a303ea000000000b,2401,48,170,8160,562800,3
1,2,a303ea000000000b,2410,48,170,8160,572400,3
1,2,a303ea000000000b,2425,48,170,8160,550600,3
1,2,a303ea000000000b,2450,48,170,8160,562400,3
1,2,a303ea000000000b,2500,48,170,8160,545700,3
1,2,a303ea000000000c,600,48,170,8160,531200,3
1,2,a303ea000000000c,601,48,170,8160,560600,3
1,2,a303ea000000000c,610,48,170,8160,544800,3
1,2,a303ea000000000c,625,48,170,8160,566200,3
1,2,a303ea000000000c,650,48,170,8160,494200,3
1,2,a303ea000000000c,700,48,170,8160,517300,3
1,2,a303ea000000000c,2400,48,170,8160,561900,3
1,2,a303ea000000000c,2401,48,170,8160,545900,3
1,2,a303ea000000000c,2410,48,170,8160,491400,3
1,2,a303ea000000000c,2425,48,170,8160,574400,3
1,2,a303ea000000000c,2450,48,170,8160,545000,3
1,2,a303ea000000000c,2500,48,170,8160,563700,3
2,0,a303ea000000000d,600,48,170,8160,504600,3
2,0,a303ea000000000d,601,48,170,8160,670100,3
2,0,a303ea000000000d,610,48,170,8160,588800,3
2,0,a303ea000000000d,625,48,170,8160,567100,3
2,0,a303ea000000000d,650,48,170,8160,610400,3
2,0,a303ea000000000d,700,48,170,8160,495000,3
2,0,a303ea000000000d,2400,48,170,8160,573600,3
2,0,a303ea000000000d,2401,48,170,8160,513600,3
2,0,a303ea000000000d,2410,48,170,8160,590000,3
2,0,a303ea000000000d,2425,48,170,8160,505500,3
2,0,a303ea000000000d,2450,48,170,8160,572400,3
2,0,a303ea000000000d,2500,48,170,8160,554000,3
2,0,a303ea000000000e,600,48,170,8160,562500,3
2,0,a303ea000000000e,601,48,170,8160,566000,3
2,0,a303ea000000000e,610,48,170,8160,553800,3
2,0,a303ea000000000e,625,48,170,8160,542200,3
2,0,a303ea000000000e,650,48,170,8160,577000,3
2,0,a303ea000000000e,700,48,170,8160,548800,3
2,0,a303ea000000000e,2400,48,170,8160,544600,3
2,0,a303ea000000000e,2401,48,170,8160,571500,3
2,0,a303ea000000000e,2410,48,170,8160,535400,3
2,0,a303ea000000000e,2425,48,170,8160,547900,3
2,0,a303ea000000000e,2450,48,170,8160,577700,3
2,0,a303ea000000000e,2500,48,170,8160,497200,3
2,1,a303ea000000000f,600,48,170,8160,546800,3
2,1,a303ea000000000f,601,48,170,8160,508500,3
2,1,a303ea000000000f,610,48,170,8160,563800,3
2,1,a303ea000000000f,625,48,170,8160,491700,3
2,1,a303ea000000000f,650,48,170,8160,572100,3
2,1,a303ea000000000f,700,48,170,8160,551800,3
2,1,a303ea000000000f,2400,48,170,8160,555300,3
2,1,a303ea000000000f,2401,48,170,8160,547800,3
2,1,a303ea000000000f,2410,48,170,8160,546500,3
2,1,a303ea000000000f,2425,48,170,8160,644300,3
2,1,a303ea000000000f,2450,48,170,8160,569400,3
2,1,a303ea000000000f,2500,48,170,8160,630100,3
2,1,a303ea0000000010,600,48,170,8160,594500,3
2,1,a303ea0000000010,601,48,170,8160,501900,3
2,1,a303ea0000000010,610,48,170,8160,495500,3
2,1,a303ea0000000010,625,48,170,8160,547600,3
2,1,a303ea0000000010,650,48,170,8160,494600,3
2,1,a303ea0000000010,700,48,170,8160,537000,3
2,1,a303ea0000000010,2400,48,170,8160,550500,3
2,1,a303ea0000000010,2401,48,170,8160,561600,3
2,1,a303ea0000000010,2410,48,170,8160,566600,3
2,1,a303ea0000000010,2425,48,170,8160,491100,3
2,1,a303ea0000000010,2450,48,170,8160,568300,3
2,1,a303ea0000000010,2500,48,170,8160,584100,3
2,2,a303ea0000000011,600,48,170,8160,571200,3
2,2,a303ea0000000011,601,48,170,8160,563700,3
2,2,a303ea0000000011,610,48,170,8160,564400,3
2,2,a303ea0000000011,625,48,170,8160,564600,3
2,2,a303ea0000000011,650,48,170,8160,566000,3
2,2,a303ea0000000011,700,48,170,8160,573300,3
2,2,a303ea0000000011,2400,48,170,8160,587600,3
2,2,a303ea0000000011,2401,48,170,8160,564800,3
2,2,a303ea0000000011,2410,48,170,8160,570800,3
2,2,a303ea0000000011,2425,48,170,8160,570700,3
2,2,a303ea0000000011,2450,48,170,8160,570200,3
2,2,a303ea0000000011,2500,48,170,8160,571200,3
2,2,a303ea0000000012,600,48,170,8160,564200,3
2,2,a303ea0000000012,601,48,170,8160,577900,3
2,2,a303ea0000000012,610,48,170,8160,629100,3
2,2,a303ea0000000012,625,48,170,8160,561600,3
2,2,a303ea0000000012,650,48,170,8160,542700,3
2,2,a303ea0000000012,700,48,170,8160,515500,3
2,2,a303ea0000000012,2400,48,170,8160,543600,3
2,2,a303ea0000000012,2401,48,170,8160,564300,3
2,2,a303ea0000000012,2410,48,170,8160,531600,3
2,2,a303ea0000000012,2425,48,170,8160,499700,3
2,2,a303ea0000000012,2450,48,170,8160,555300,3
2,2,a303ea0000000012,2500,48,170,8160,566500,3
