dataset_index,initialization_index,stream_seed,state_step,verifier_examples,candidate_count,candidate_sample_evaluations,elapsed_median_ns,measurement_repetitions
0,0,a303ea0000000001,600,48,170,8160,568900,3
0,0,a303ea0000000001,601,48,170,8160,517800,3
0,0,a303ea0000000001,610,48,170,8160,495100,3
0,0,a303ea0000000001,625,48,170,8160,570500,3
0,0,a303ea0000000001,650,48,170,8160,496700,3
0,0,a303ea0000000001,700,48,170,8160,513900,3
0,0,a303ea0000000001,2400,48,170,8160,488200,3
0,0,a303ea0000000001,2401,48,170,8160,500600,3
0,0,a303ea0000000001,2410,48,170,8160,572200,3
0,0,a303ea0000000001,2425,48,170,8160,510600,3
0,0,a303ea0000000001,2450,48,170,8160,491000,3
0,0,a303ea0000000001,2500,48,170,8160,487100,3
0,0,a303ea0000000002,600,48,170,8160,563500,3
0,0,a303ea0000000002,601,48,170,8160,491200,3
0,0,a303ea0000000002,610,48,170,8160,490400,3
0,0,a303ea0000000002,625,48,170,8160,491900,3
0,0,a303ea0000000002,650,48,170,8160,494200,3
0,0,a303ea0000000002,700,48,170,8160,492300,3
0,0,a303ea0000000002,2400,48,170,8160,490600,3
0,0,a303ea0000000002,2401,48,170,8160,570700,3
0,0,a303ea0000000002,2410,48,170,8160,570500,3
0,0,a303ea0000000002,2425,48,170,8160,490700,3
0,0,a303ea0000000002,2450,48,170,8160,490200,3
0,0,a303ea0000000002,2500,48,170,8160,519200,3
0,1,a303ea0000000003,600,48,170,8160,565600,3
0,1,a303ea0000000003,601,48,170,8160,492600,3
0,1,a303ea0000000003,610,48,170,8160,492600,3
0,1,a303ea0000000003,625,48,170,8160,497300,3
0,1,a303ea0000000003,650,48,170,8160,546600,3
0,1,a303ea0000000003,700,48,170,8160,580300,3
0,1,a303ea0000000003,2400,48,170,8160,527400,3
0,1,a303ea0000000003,2401,48,170,8160,491200,3
0,1,a303ea0000000003,2410,48,170,8160,489100,3
0,1,a303ea0000000003,2425,48,170,8160,489600,3
0,1,a303ea0000000003,2450,48,170,8160,489300,3
0,1,a303ea0000000003,2500,48,170,8160,490000,3
0,1,a303ea0000000004,600,48,170,8160,521800,3
0,1,a303ea0000000004,601,48,170,8160,501200,3
0,1,a303ea0000000004,610,48,170,8160,518900,3
0,1,a303ea0000000004,625,48,170,8160,504100,3
0,1,a303ea0000000004,650,48,170,8160,491700,3
0,1,a303ea0000000004,700,48,170,8160,491500,3
0,1,a303ea0000000004,2400,48,170,8160,488000,3
0,1,a303ea0000000004,2401,48,170,8160,571600,3
0,1,a303ea0000000004,2410,48,170,8160,487500,3
0,1,a303ea0000000004,2425,48,170,8160,578100,3
0,1,a303ea0000000004,2450,48,170,8160,590500,3
0,1,a303ea0000000004,2500,48,170,8160,578500,3
0,2,a303ea0000000005,600,48,170,8160,519400,3
0,2,a303ea0000000005,601,48,170,8160,490600,3
0,2,a303ea0000000005,610,48,170,8160,491500,3
0,2,a303ea0000000005,625,48,170,8160,487300,3
0,2,a303ea0000000005,650,48,170,8160,488800,3
