dataset_index,initialization_index,anchor_step,reuse_commits,method,n_streams,amortized_proxy_ns,verifier_ns,projected_total_ns,within_variance_v48,predicted_rmse_v48,observed_rmse_v48,selected_program_regret_v48
0,0,2400,1,projected_order_1d,2,24300.00,535650.00,559950.00,5.465536634574e-5,7.525685447196e-4,7.505500878280e-4,8.073444610091e-4
0,0,2400,1,warm_start_balanced_kmeans,2,1733300.00,535650.00,2268950.00,5.118750968812e-5,7.284430258645e-4,7.141691601817e-4,7.760550193154e-4
0,0,2400,10,balanced_kmeans,2,267920.00,571350.00,839270.00,4.745715945075e-5,7.030395039071e-4,6.990631328715e-4,9.308720788965e-4
0,0,2400,10,hash_placebo_mean,2,0.00,571350.00,571350.00,6.106408618393e-5,7.975374653727e-4,8.073479389573e-4,9.553818786561e-4
0,0,2400,10,nearest_centroid_quota_repair,2,6355.00,571350.00,577705.00,4.988435303356e-5,7.207450509366e-4,7.113962889098e-4,9.301901429808e-4
0,0,2400,10,projected_order_1d,2,2430.00,571350.00,573780.00,5.093053323894e-5,7.283361759900e-4,7.329005223621e-4,9.509515836221e-4
0,0,2400,10,warm_start_balanced_kmeans,2,173330.00,571350.00,744680.00,4.755093794700e-5,7.037231436547e-4,6.968960975083e-4,9.697000735400e-4
0,0,2400,25,balanced_kmeans,2,107168.00,500650.00,607818.00,5.799223242063e-5,7.770677901594e-4,7.704110684509e-4,7.859974466555e-4
0,0,2400,25,hash_placebo_mean,2,0.00,500650.00,500650.00,7.078897277876e-5,8.584509487630e-4,8.523279264067e-4,9.156734522122e-4
0,0,2400,25,nearest_centroid_quota_repair,2,2542.00,500650.00,503192.00,5.996166490176e-5,7.900299025691e-4,8.023815527836e-4,8.551081679684e-4
0,0,2400,25,projected_order_1d,2,972.00,500650.00,501622.00,6.135151801610e-5,7.992073035306e-4,7.838004055247e-4,8.660927002495e-4
0,0,2400,25,warm_start_balanced_kmeans,2,69332.00,500650.00,569982.00,5.807949724843e-5,7.776382494609e-4,7.750386165210e-4,8.783128749883e-4
0,0,2400,50,balanced_kmeans,2,53584.00,490600.00,544184.00,5.373167159953e-5,7.475714226659e-4,7.663886112380e-4,8.580460213139e-4
0,0,2400,50,hash_placebo_mean,2,0.00,490600.00,490600.00,6.859553057451e-5,8.450957542676e-4,8.507811046267e-4,8.989289223704e-4
0,0,2400,50,nearest_centroid_quota_repair,2,1271.00,490600.00,491871.00,5.637565720636e-5,7.658391635209e-4,7.669012459171e-4,9.024906101018e-4
0,0,2400,50,projected_order_1d,2,486.00,490600.00,491086.00,5.764209472425e-5,7.743821977850e-4,7.714286556368e-4,9.816071351736e-4
0,0,2400,50,warm_start_balanced_kmeans,2,34666.00,490600.00,525266.00,5.383162144611e-5,7.482493158679e-4,7.433429144981e-4,8.728761255909e-4
0,0,2400,100,balanced_kmeans,2,26792.00,503150.00,529942.00,4.849758293473e-5,7.107446449571e-4,7.029187048758e-4,7.334838403494e-4
0,0,2400,100,hash_placebo_mean,2,0.00,503150.00,503150.00,6.181383974601e-5,8.023626336369e-4,8.139045107332e-4,8.173360298092e-4
0,0,2400,100,nearest_centroid_quota_repair,2,635.50,503150.00,503785.50,5.060354976534e-5,7.260237584139e-4,7.306138979853e-4,7.605027918292e-4
0,0,2400,100,projected_order_1d,2,243.00,503150.00,503393.00,5.139088141244e-5,7.316487422731e-4,7.380738164301e-4,8.445738985756e-4
0,0,2400,100,warm_start_balanced_kmeans,2,17333.00,503150.00,520483.00,4.854590133409e-5,7.110957454951e-4,7.307260267925e-4,7.886730737852e-4
0,1,600,1,balanced_kmeans,2,1649500.00,496900.00,2146400.00,7.907278661230e-6,2.868929020456e-4,2.848381121496e-4,2.854535183872e-4
0,1,600,1,hash_placebo_mean,2,14200.00,496900.00,511100.00,1.378718399214e-5,3.787991752689e-4,3.827804163534e-4,3.966981947734e-4
0,1,600,1,nearest_centroid_quota_repair,2,2170550.00,496900.00,2667450.00,7.907278661230e-6,2.868929020456e-4,2.848381121496e-4,2.854535183872e-4
0,1,600,1,projected_order_1d,2,22650.00,496900.00,519550.00,9.645391564410e-6,3.166580264071e-4,3.148686980084e-4,3.569919508664e-4
0,1,600,1,warm_start_balanced_kmeans,2,2080300.00,496900.00,2577200.00,7.907278661230e-6,2.868929020456e-4,2.848381121496e-4,2.854535183872e-4
0,1,600,10,balanced_kmeans,2,164950.00,505750.00,670700.00,8.278391066072e-6,2.935899491800e-4,2.920435304276e-4,3.775787240698e-4
0,1,600,10,hash_placebo_mean,2,1420.00,505750.00,507170.00,1.380950344757e-5,3.792661842454e-4,3.780655291982e-4,4.761693813324e-4
0,1,600,10,nearest_centroid_quota_repair,2,217055.00,505750.00,722805.00,8.278391066072e-6,2.935899491800e-4,2.920435304276e-4,3.775787240698e-4
0,1,600,10,projected_order_1d,2,2265.00,505750.00,508015.00,1.003900063603e-5,3.233766857942e-4,3.212709455199e-4,3.966654914223e-4
0,1,600,10,warm_start_balanced_kmeans,2,208030.00,505750.00,713780.00,8.278391066072e-6,2.935899491800e-4,2.920435304276e-4,3.775787240698e-4
0,1,600,25,balanced_kmeans,2,65980.00,500700.00,566680.00,8.403448767397e-6,2.958646903810e-4,2.985150905482e-4,3.442239142544e-4
0,1,600,25,hash_placebo_mean,2,568.00,500700.00,501268.00,1.378578426019e-5,3.789395712197e-4,3.804456294200e-4,4.111104114237e-4
0,1,600,25,nearest_centroid_quota_repair,2,86822.00,500700.00,587522.00,8.403448767397e-6,2.958646903810e-4,2.985150905482e-4,3.442239142544e-4
0,1,600,25,projected_order_1d,2,906.00,500700.00,501606.00,1.018650032394e-5,3.256373258573e-4,3.230732475827e-4,4.386858553005e-4
0,1,600,25,warm_start_balanced_kmeans,2,83212.00,500700.00,583912.00,8.403448767397e-6,2.958646903810e-4,2.985150905482e-4,3.442239142544e-4
0,1,600,50,balanced_kmeans,2,32990.00,519150.00,552140.00,7.771316205000e-6,2.844406996330e-4,2.820584214119e-4,4.196374949998e-4
0,1,600,50,hash_placebo_mean,2,284.00,519150.00,519434.00,1.316798655757e-5,3.702950517140e-4,3.662992375351e-4,4.505204340166e-4
0,1,600,50,nearest_centroid_quota_repair,2,43411.00,519150.00,562561.00,7.771316205000e-6,2.844406996330e-4,2.820584214119e-4,4.196374949998e-4
0,1,600,50,projected_order_1d,2,453.00,519150.00,519603.00,9.467129735904e-6,3.140159891060e-4,3.226393291306e-4,4.649996625972e-4
0,1,600,50,warm_start_balanced_kmeans,2,41606.00,519150.00,560756.00,7.771316205000e-6,2.844406996330e-4,2.820584214119e-4,4.196374949998e-4
0,1,600,100,balanced_kmeans,2,16495.00,535900.00,552395.00,9.745229953428e-6,3.186073246813e-4,3.199556012068e-4,3.753026204549e-4
0,1,600,100,hash_placebo_mean,2,142.00,535900.00,536042.00,1.529543003474e-5,3.990956848415e-4,3.986770097356e-4,3.770456039571e-4
0,1,600,100,nearest_centroid_quota_repair,2,21705.50,535900.00,557605.50,9.745229953428e-6,3.186073246813e-4,3.199556012068e-4,3.753026204549e-4
0,1,600,100,projected_order_1d,2,226.50,535900.00,536126.50,1.149029877207e-5,3.458715579241e-4,3.402034595208e-4,3.612377902396e-4
0,1,600,100,warm_start_balanced_kmeans,2,20803.00,535900.00,556703.00,9.745229953428e-6,3.186073246813e-4,3.199556012068e-4,3.753026204549e-4
0,1,2400,1,balanced_kmeans,2,1922900.00,531400.00,2454300.00,3.595123393162e-5,6.119239372069e-4,6.194435144852e-4,5.709700191323e-4
0,1,2400,1,hash_placebo_mean,2,0.00,531400.00,531400.00,4.341077820923e-5,6.723578991248e-4,6.790473386050e-4,4.818419314296e-4
0,1,2400,1,nearest_centroid_quota_repair,2,67050.00,531400.00,598450.00,3.687973932760e-5,6.197843356608e-4,6.215128080692e-4,5.007648471747e-4
0,1,2400,1,projected_order_1d,2,22650.00,531400.00,554050.00,3.945046041295e-5,6.409329932357e-4,6.514628140933e-4,3.731116622134e-4
0,1,2400,1,warm_start_balanced_kmeans,2,1267550.00,531400.00,1798950.00,3.576077813928e-5,6.103167768505e-4,6.145017720398e-4,4.696406398352e-4
0,1,2400,10,balanced_kmeans,2,192290.00,488300.00,680590.00,3.617857532230e-5,6.128641350276e-4,6.333906864796e-4,6.056560043817e-4
0,1,2400,10,hash_placebo_mean,2,0.00,488300.00,488300.00,4.368817193086e-5,6.737857127129e-4,6.705514579389e-4,6.016016783752e-4
0,1,2400,10,nearest_centroid_quota_repair,2,6705.00,488300.00,495005.00,3.700325325209e-5,6.197720435454e-4,6.059431304814e-4,6.424125986939e-4
0,1,2400,10,projected_order_1d,2,2265.00,488300.00,490565.00,3.923621824298e-5,6.384911204100e-4,6.326368448037e-4,5.814302354423e-4
