dataset_index,initialization_index,anchor_step,partition_age,method,mode,n_streams,within_variance_v48,predicted_rmse_v48,observed_rmse_v48,sign_error_v48,cross_block_regret_v48,selected_regret_v48,false_authorization_v48
0,0,600,0,balanced_kmeans,fresh,2,1.140173011094e-5,3.446166536788e-4,3.470589008332e-4,2.602769861643e-1,4.220308858294e-4,4.704084024922e-4,1.406250000000e-1
0,0,600,0,balanced_kmeans,stale_reuse,2,1.140173011094e-5,3.446166536788e-4,3.470589008332e-4,2.602769861643e-1,4.220308858294e-4,4.704084024922e-4,1.406250000000e-1
0,0,600,0,hash_placebo_00,placebo_component,2,1.921186816624e-5,4.472889450504e-4,4.523513507245e-4,3.127770949356e-1,4.764195240341e-4,5.171887031565e-4,1.562500000000e-1
0,0,600,0,hash_placebo_01,placebo_component,2,1.891488710614e-5,4.438000737633e-4,4.465418128360e-4,3.101834428298e-1,4.589745591801e-4,5.040732578792e-4,1.406250000000e-1
0,0,600,0,hash_placebo_02,placebo_component,2,1.910238975932e-5,4.459951892376e-4,4.388166071555e-4,3.072678276192e-1,4.538340319868e-4,4.825905616315e-4,1.328125000000e-1
0,0,600,0,hash_placebo_03,placebo_component,2,1.898884066382e-5,4.446840666559e-4,4.339763104894e-4,3.085940219283e-1,4.479914088762e-4,4.834673480190e-4,1.328125000000e-1
0,0,600,0,hash_placebo_04,placebo_component,2,1.877701017706e-5,4.421948232215e-4,4.454096011392e-4,3.067049360425e-1,3.999313871930e-4,4.169085926264e-4,9.375000000000e-2
0,0,600,0,hash_placebo_05,placebo_component,2,1.917036721636e-5,4.468134787397e-4,4.351847399031e-4,2.979374238601e-1,4.420647929493e-4,4.690519552781e-4,1.171875000000e-1
0,0,600,0,hash_placebo_06,placebo_component,2,1.913826035714e-5,4.464242804874e-4,4.505436511653e-4,3.115251370519e-1,3.816645820081e-4,4.066590486005e-4,8.593750000000e-2
0,0,600,0,hash_placebo_07,placebo_component,2,1.864167115430e-5,4.406076944195e-4,4.555390093665e-4,3.049102092760e-1,4.258944068170e-4,4.480443281238e-4,1.015625000000e-1
0,0,600,0,hash_placebo_mean,fixed_placebos,2,1.899316182505e-5,4.447260689469e-4,4.447953853474e-4,3.074875116929e-1,4.358468366306e-4,4.659979744144e-4,1.201171875000e-1
0,0,600,0,nearest_centroid_quota_repair,fresh,2,1.140173011094e-5,3.446166536788e-4,3.470589008332e-4,2.602769861643e-1,4.220308858294e-4,4.704084024922e-4,1.406250000000e-1
0,0,600,0,nearest_centroid_quota_repair,stale_reuse,2,1.140173011094e-5,3.446166536788e-4,3.470589008332e-4,2.602769861643e-1,4.220308858294e-4,4.704084024922e-4,1.406250000000e-1
0,0,600,0,projected_order_1d,fresh,2,1.417214425322e-5,3.842179704088e-4,3.975483629200e-4,2.934109054125e-1,3.836373910815e-4,4.122532909090e-4,1.171875000000e-1
0,0,600,0,projected_order_1d,stale_reuse,2,1.417214425322e-5,3.842179704088e-4,3.975483629200e-4,2.934109054125e-1,3.836373910815e-4,4.122532909090e-4,1.171875000000e-1
0,0,600,0,warm_start_balanced_kmeans,fresh,2,1.140173011094e-5,3.446166536788e-4,3.470589008332e-4,2.602769861643e-1,4.220308858294e-4,4.704084024922e-4,1.406250000000e-1
0,0,600,0,warm_start_balanced_kmeans,stale_reuse,2,1.140173011094e-5,3.446166536788e-4,3.470589008332e-4,2.602769861643e-1,4.220308858294e-4,4.704084024922e-4,1.406250000000e-1
0,0,600,1,balanced_kmeans,fresh,2,1.142705995063e-5,3.449011065828e-4,3.453397485969e-4,2.496783088235e-1,5.398200123636e-4,5.611097550968e-4,5.468750000000e-2
0,0,600,1,balanced_kmeans,stale_reuse,2,1.142845119593e-5,3.449204428538e-4,3.431961655787e-4,2.468290441176e-1,5.581580504668e-4,5.791220296487e-4,7.031250000000e-2
0,0,600,1,hash_placebo_00,placebo_component,2,1.894816614590e-5,4.442290993725e-4,4.377633857555e-4,3.009650735294e-1,6.075949704609e-4,6.329823776809e-4,4.687500000000e-2
0,0,600,1,hash_placebo_01,placebo_component,2,1.854189340791e-5,4.394524396087e-4,4.457050975364e-4,3.003216911765e-1,6.109088908204e-4,6.352773629459e-4,1.015625000000e-1
0,0,600,1,hash_placebo_02,placebo_component,2,1.886400968946e-5,4.432506845677e-4,4.414139459798e-4,3.053768382353e-1,4.734349595736e-4,4.832581328955e-4,3.906250000000e-2
0,0,600,1,hash_placebo_03,placebo_component,2,1.881631278377e-5,4.426486356678e-4,4.483224494157e-4,2.929687500000e-1,6.453958607153e-4,6.696072595105e-4,7.031250000000e-2
0,0,600,1,hash_placebo_04,placebo_component,2,1.847572661359e-5,4.386506878072e-4,4.445834262287e-4,2.960477941176e-1,5.855768456939e-4,6.167530688472e-4,5.468750000000e-2
0,0,600,1,hash_placebo_05,placebo_component,2,1.887865545789e-5,4.434019328840e-4,4.407277455322e-4,3.017922794118e-1,5.933020590305e-4,6.129907130799e-4,7.812500000000e-2
0,0,600,1,hash_placebo_06,placebo_component,2,1.881105164010e-5,4.426255142935e-4,4.305771288890e-4,3.019761029412e-1,5.699279533928e-4,6.085233383146e-4,6.250000000000e-2
0,0,600,1,hash_placebo_07,placebo_component,2,1.842117663004e-5,4.379927930210e-4,4.352946736177e-4,3.023897058824e-1,5.482608698912e-4,5.587277180439e-4,2.343750000000e-2
0,0,600,1,hash_placebo_mean,fixed_placebos,2,1.871962404608e-5,4.415314734028e-4,4.405484816194e-4,3.002297794118e-1,5.793003011973e-4,6.022649964148e-4,5.957031250000e-2
0,0,600,1,nearest_centroid_quota_repair,fresh,2,1.177837700195e-5,3.502356012876e-4,3.497641979031e-4,2.582261029412e-1,5.478621775410e-4,5.936865569538e-4,7.812500000000e-2
0,0,600,1,nearest_centroid_quota_repair,stale_reuse,2,1.142845119593e-5,3.449204428538e-4,3.431961655787e-4,2.468290441176e-1,5.581580504668e-4,5.791220296487e-4,7.031250000000e-2
0,0,600,1,projected_order_1d,fresh,2,1.398648474716e-5,3.816706601620e-4,3.864919615223e-4,2.768841911765e-1,5.383049145138e-4,5.450656327852e-4,2.343750000000e-2
0,0,600,1,projected_order_1d,stale_reuse,2,1.404251441303e-5,3.824126572421e-4,3.880709382911e-4,2.744944852941e-1,5.952115866421e-4,6.103393209003e-4,6.250000000000e-2
0,0,600,1,warm_start_balanced_kmeans,fresh,2,1.142554405624e-5,3.448776234999e-4,3.451664750918e-4,2.467371323529e-1,5.443100316711e-4,5.622404360679e-4,7.031250000000e-2
0,0,600,1,warm_start_balanced_kmeans,stale_reuse,2,1.142845119593e-5,3.449204428538e-4,3.431961655787e-4,2.468290441176e-1,5.581580504668e-4,5.791220296487e-4,7.031250000000e-2
0,0,600,10,balanced_kmeans,fresh,2,1.082592703272e-5,3.357482391181e-4,3.267423534947e-4,2.592830882353e-1,3.700917845322e-4,4.194468554690e-4,1.718750000000e-1
0,0,600,10,balanced_kmeans,stale_reuse,2,1.080718728291e-5,3.354957089178e-4,3.376094276356e-4,2.573988970588e-1,3.522665916265e-4,3.928764269525e-4,1.250000000000e-1
0,0,600,10,hash_placebo_00,placebo_component,2,1.836551987270e-5,4.372183844707e-4,4.469728592676e-4,2.970588235294e-1,3.297101980806e-4,3.720464780863e-4,1.015625000000e-1
0,0,600,10,hash_placebo_01,placebo_component,2,1.804189019035e-5,4.333991208211e-4,4.352810361106e-4,3.011488970588e-1,3.878957832910e-4,4.506080814117e-4,1.953125000000e-1
0,0,600,10,hash_placebo_02,placebo_component,2,1.821664253913e-5,4.354476920140e-4,4.212467591177e-4,2.943014705882e-1,3.573019017225e-4,3.955965522899e-4,1.328125000000e-1
0,0,600,10,hash_placebo_03,placebo_component,2,1.816859947097e-5,4.349041519577e-4,4.337953945586e-4,2.918658088235e-1,3.920634733348e-4,4.495524049726e-4,1.953125000000e-1
0,0,600,10,hash_placebo_04,placebo_component,2,1.796875712011e-5,4.325102942447e-4,4.424425023547e-4,3.095128676471e-1,3.705664140981e-4,4.303945321067e-4,1.796875000000e-1
0,0,600,10,hash_placebo_05,placebo_component,2,1.828808449177e-5,4.363339781083e-4,4.383212731877e-4,3.030790441176e-1,3.598866780976e-4,3.979823743281e-4,1.250000000000e-1
0,0,600,10,hash_placebo_06,placebo_component,2,1.818545955930e-5,4.350282244934e-4,4.352483812432e-4,3.016544117647e-1,3.427445822339e-4,3.810636410813e-4,1.328125000000e-1
0,0,600,10,hash_placebo_07,placebo_component,2,1.772325415243e-5,4.295361944267e-4,4.342863472699e-4,2.961856617647e-1,3.342192154960e-4,3.743187788996e-4,1.406250000000e-1
0,0,600,10,hash_placebo_mean,fixed_placebos,2,1.811977592460e-5,4.342972550671e-4,4.359493191387e-4,2.993508731618e-1,3.592985307943e-4,4.064453553970e-4,1.503906250000e-1
0,0,600,10,nearest_centroid_quota_repair,fresh,2,1.110737010765e-5,3.400914132040e-4,3.462371383977e-4,2.659007352941e-1,3.530290429055e-4,4.052889574804e-4,1.796875000000e-1
0,0,600,10,nearest_centroid_quota_repair,stale_reuse,2,1.080718728291e-5,3.354957089178e-4,3.376094276356e-4,2.573988970588e-1,3.522665916265e-4,3.928764269525e-4,1.250000000000e-1
0,0,600,10,projected_order_1d,fresh,2,1.341413048042e-5,3.736840576024e-4,3.759209647677e-4,2.830882352941e-1,3.706109659518e-4,4.254565665414e-4,1.484375000000e-1
0,0,600,10,projected_order_1d,stale_reuse,2,1.342114189856e-5,3.738398229903e-4,3.825949396995e-4,2.792738970588e-1,3.691066662768e-4,4.150432983843e-4,1.562500000000e-1
0,0,600,10,warm_start_balanced_kmeans,fresh,2,1.083781223620e-5,3.359301653796e-4,3.353640455625e-4,2.600183823529e-1,3.782265271468e-4,4.308162362836e-4,1.953125000000e-1
0,0,600,10,warm_start_balanced_kmeans,stale_reuse,2,1.080718728291e-5,3.354957089178e-4,3.376094276356e-4,2.573988970588e-1,3.522665916265e-4,3.928764269525e-4,1.250000000000e-1
0,0,600,25,balanced_kmeans,fresh,2,1.113774396409e-5,3.405092031982e-4,3.422329855062e-4,2.435202205882e-1,5.487181791750e-4,5.858042488853e-4,1.171875000000e-1
0,0,600,25,balanced_kmeans,stale_reuse,2,1.128645769828e-5,3.428628188920e-4,3.464517442481e-4,2.541360294118e-1,6.174523769715e-4,6.636793537211e-4,1.171875000000e-1
0,0,600,25,hash_placebo_00,placebo_component,2,1.822039584982e-5,4.356059553061e-4,4.298779554863e-4,2.938419117647e-1,5.077223995613e-4,5.327531583816e-4,5.468750000000e-2
0,0,600,25,hash_placebo_01,placebo_component,2,1.787338714130e-5,4.314202361981e-4,4.420975138687e-4,3.022058823529e-1,5.709446297146e-4,5.980200834301e-4,7.812500000000e-2
0,0,600,25,hash_placebo_02,placebo_component,2,1.800106013704e-5,4.329767247379e-4,4.269671390574e-4,2.982077205882e-1,5.312027841740e-4,5.658882060970e-4,7.812500000000e-2
0,0,600,25,hash_placebo_03,placebo_component,2,1.788809013943e-5,4.316566125041e-4,4.274795087915e-4,2.985753676471e-1,5.509348612378e-4,5.850269570544e-4,6.250000000000e-2
0,0,600,25,hash_placebo_04,placebo_component,2,1.781016812569e-5,4.306846837487e-4,4.376404774132e-4,3.037683823529e-1,5.760720273003e-4,6.145284952765e-4,8.593750000000e-2
0,0,600,25,hash_placebo_05,placebo_component,2,1.808169173902e-5,4.339734202800e-4,4.410621240234e-4,2.974264705882e-1,5.208572606392e-4,5.456965409110e-4,7.031250000000e-2
0,0,600,25,hash_placebo_06,placebo_component,2,1.801135900984e-5,4.331108148941e-4,4.258539000267e-4,2.975183823529e-1,5.535984237923e-4,5.840831387616e-4,6.250000000000e-2
0,0,600,25,hash_placebo_07,placebo_component,2,1.762053429664e-5,4.283971356240e-4,4.274796127476e-4,3.024816176471e-1,5.591634447910e-4,5.939919215052e-4,7.031250000000e-2
0,0,600,25,hash_placebo_mean,fixed_placebos,2,1.793833580485e-5,4.322281979116e-4,4.323072789268e-4,2.992532169118e-1,5.463119789013e-4,5.774985626772e-4,7.031250000000e-2
0,0,600,25,nearest_centroid_quota_repair,fresh,2,1.152985283908e-5,3.463994241939e-4,3.441607327904e-4,2.522518382353e-1,5.297802101296e-4,5.659639209341e-4,9.375000000000e-2
0,0,600,25,nearest_centroid_quota_repair,stale_reuse,2,1.128645769828e-5,3.428628188920e-4,3.464517442481e-4,2.541360294118e-1,6.174523769715e-4,6.636793537211e-4,1.171875000000e-1
0,0,600,25,projected_order_1d,fresh,2,1.386631479508e-5,3.799999684706e-4,3.764528810353e-4,2.673713235294e-1,5.557027971292e-4,6.037074169285e-4,1.093750000000e-1
0,0,600,25,projected_order_1d,stale_reuse,2,1.386004894298e-5,3.798610656900e-4,3.793108511235e-4,2.707261029412e-1,6.015580347594e-4,6.550851985025e-4,1.171875000000e-1
