dataset_index,initialization_index,stream_seed,state_step,anchor_step,age,method,feature_dimensions,feature_payload_bytes,feature_acquisition_median_ns,partition_build_median_ns,iterations,within_sse,measurement_repetitions
0,0,a303ea0000000001,2425,2400,25,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000001,2450,2400,50,balanced_kmeans,27,20736,13200,2540600,5,4.407345874030e1,3
0,0,a303ea0000000001,2450,2400,50,warm_start_balanced_kmeans,27,20736,13200,1052100,3,4.407292642627e1,3
0,0,a303ea0000000001,2450,2400,50,projected_order_1d,27,20736,13200,10000,1,1.118400098070e2,3
0,0,a303ea0000000001,2450,2400,50,nearest_centroid_quota_repair,27,20736,13200,34600,1,6.153448131888e1,3
0,0,a303ea0000000001,2450,2400,50,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000001,2500,2400,100,balanced_kmeans,27,20736,9300,1942100,4,4.848267868734e1,3
0,0,a303ea0000000001,2500,2400,100,warm_start_balanced_kmeans,27,20736,9300,644300,2,4.820039415239e1,3
0,0,a303ea0000000001,2500,2400,100,projected_order_1d,27,20736,9300,10400,1,1.106410183744e2,3
0,0,a303ea0000000001,2500,2400,100,nearest_centroid_quota_repair,27,20736,9300,42000,1,6.681156369121e1,3
0,0,a303ea0000000001,2500,2400,100,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000002,600,600,0,balanced_kmeans,27,20736,17700,3057700,5,1.302461062961e1,3
0,0,a303ea0000000002,600,600,0,warm_start_balanced_kmeans,27,20736,17700,2651300,5,1.302461062961e1,3
0,0,a303ea0000000002,600,600,0,projected_order_1d,27,20736,17700,14600,1,5.505161556990e1,3
0,0,a303ea0000000002,600,600,0,nearest_centroid_quota_repair,27,20736,17700,2820700,5,1.302461062961e1,3
0,0,a303ea0000000002,600,600,0,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000002,601,600,1,balanced_kmeans,27,20736,9800,1798600,4,1.308371941474e1,3
0,0,a303ea0000000002,601,600,1,warm_start_balanced_kmeans,27,20736,9800,549400,2,1.308371941474e1,3
0,0,a303ea0000000002,601,600,1,projected_order_1d,27,20736,9800,9700,1,5.285658883019e1,3
0,0,a303ea0000000002,601,600,1,nearest_centroid_quota_repair,27,20736,9800,32900,1,1.638909981349e1,3
0,0,a303ea0000000002,601,600,1,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000002,610,600,10,balanced_kmeans,27,20736,9300,1819300,4,1.328148291378e1,3
0,0,a303ea0000000002,610,600,10,warm_start_balanced_kmeans,27,20736,9300,788400,3,1.336024867213e1,3
0,0,a303ea0000000002,610,600,10,projected_order_1d,27,20736,9300,9700,1,5.235516107948e1,3
0,0,a303ea0000000002,610,600,10,nearest_centroid_quota_repair,27,20736,9300,38400,1,1.826153424435e1,3
0,0,a303ea0000000002,610,600,10,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000002,625,600,25,balanced_kmeans,27,20736,9300,1780300,4,1.192547483041e1,3
0,0,a303ea0000000002,625,600,25,warm_start_balanced_kmeans,27,20736,9300,558000,2,1.200029070293e1,3
0,0,a303ea0000000002,625,600,25,projected_order_1d,27,20736,9300,9700,1,5.344336043521e1,3
0,0,a303ea0000000002,625,600,25,nearest_centroid_quota_repair,27,20736,9300,35500,1,1.581116774514e1,3
0,0,a303ea0000000002,625,600,25,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000002,650,600,50,balanced_kmeans,27,20736,14100,2019500,5,1.274413867651e1,3
0,0,a303ea0000000002,650,600,50,warm_start_balanced_kmeans,27,20736,14100,527100,2,1.269823682966e1,3
0,0,a303ea0000000002,650,600,50,projected_order_1d,27,20736,14100,9700,1,5.167873377240e1,3
0,0,a303ea0000000002,650,600,50,nearest_centroid_quota_repair,27,20736,14100,31400,1,1.826015938137e1,3
0,0,a303ea0000000002,650,600,50,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000002,700,600,100,balanced_kmeans,27,20736,9600,2111400,5,1.426381468043e1,3
0,0,a303ea0000000002,700,600,100,warm_start_balanced_kmeans,27,20736,9600,852700,3,1.426866213686e1,3
0,0,a303ea0000000002,700,600,100,projected_order_1d,27,20736,9600,11400,1,5.439711703031e1,3
0,0,a303ea0000000002,700,600,100,nearest_centroid_quota_repair,27,20736,9600,59100,1,2.029161369781e1,3
0,0,a303ea0000000002,700,600,100,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000002,2400,2400,0,balanced_kmeans,27,20736,13000,2797400,4,4.707206685349e1,3
0,0,a303ea0000000002,2400,2400,0,warm_start_balanced_kmeans,27,20736,13000,1071200,3,4.641136088482e1,3
0,0,a303ea0000000002,2400,2400,0,projected_order_1d,27,20736,13000,9800,1,1.139432520926e2,3
0,0,a303ea0000000002,2400,2400,0,nearest_centroid_quota_repair,27,20736,13000,50100,1,6.867451500154e1,3
0,0,a303ea0000000002,2400,2400,0,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000002,2401,2400,1,balanced_kmeans,27,20736,10100,2259100,4,4.753214168606e1,3
