dataset_index,initialization_index,stream_seed,arm,step,train_loss,evaluation_loss,evaluation_accuracy,parameter_fingerprint
0,3,a303d1ea00000007,projected_order_1d,0,1.090325475e0,1.115096331e0,0.281250,677245304fd14440
0,3,a303d1ea00000007,projected_order_1d,600,9.454257488e-1,1.117082953e0,0.416667,5f23e797b108ad1a
0,3,a303d1ea00000007,projected_order_1d,2400,5.435013175e-1,1.399734497e0,0.468750,ac1af29e580e09cd
0,3,a303d1ea00000007,projected_order_1d,4200,4.037051499e-1,1.976474404e0,0.416667,cb076e4d21e42417
0,3,a303d1ea00000007,hash_placebo,0,1.090325475e0,1.115096331e0,0.281250,677245304fd14440
0,3,a303d1ea00000007,hash_placebo,600,9.326631427e-1,1.062855363e0,0.437500,5faec76eb55eda9d
0,3,a303d1ea00000007,hash_placebo,2400,5.829523206e-1,1.228757381e0,0.500000,eeabcd5a360d692f
0,3,a303d1ea00000007,hash_placebo,4200,3.901958764e-1,1.763255954e0,0.500000,16150b2d3e64e49d
0,3,a303d1ea00000008,projected_order_1d,0,1.090325475e0,1.115096331e0,0.281250,677245304fd14440
0,3,a303d1ea00000008,projected_order_1d,600,9.467513561e-1,1.140224457e0,0.458333,eb5c40cb2233eebf
0,3,a303d1ea00000008,projected_order_1d,2400,4.847095311e-1,1.492128491e0,0.489583,5062aaf5698e46db
0,3,a303d1ea00000008,projected_order_1d,4200,2.687902153e-1,2.323877811e0,0.562500,5e2bdcfd4bf742bf
0,3,a303d1ea00000008,hash_placebo,0,1.090325475e0,1.115096331e0,0.281250,677245304fd14440
0,3,a303d1ea00000008,hash_placebo,600,9.533262253e-1,1.115635991e0,0.354167,96359071d3e4d878
0,3,a303d1ea00000008,hash_placebo,2400,5.688344836e-1,1.133642316e0,0.531250,04f1f0287c4aaee4
0,3,a303d1ea00000008,hash_placebo,4200,3.804303110e-1,1.675339341e0,0.489583,23ff89c8caa3e5e7
0,4,a303d1ea00000009,projected_order_1d,0,1.126216292e0,1.095807552e0,0.375000,4d5d72b06b713665
0,4,a303d1ea00000009,projected_order_1d,600,9.106574059e-1,1.163798451e0,0.364583,265cc5fbc9fac1b5
0,4,a303d1ea00000009,projected_order_1d,2400,4.926291704e-1,1.239889503e0,0.510417,23fc1621966f1c6e
0,4,a303d1ea00000009,projected_order_1d,4200,3.198386431e-1,1.638512015e0,0.520833,c2d1e55e6b2cecd8
0,4,a303d1ea00000009,hash_placebo,0,1.126216292e0,1.095807552e0,0.375000,4d5d72b06b713665
