dataset_index,initialization_index,stream_seed,arm,refresh_slot,partition_epoch,hash_partition_id,partition_fingerprint,feature_ns,ordering_or_hash_ns
0,0,a303d1ea00000002,projected_order_1d,3900,39,,308bc67cedf74c09,8300,10400
0,0,a303d1ea00000002,projected_order_1d,4000,40,,c2f5f13d0b65c741,6900,8000
0,0,a303d1ea00000002,projected_order_1d,4100,41,,5173ebd8dc1dc931,7100,7800
0,0,a303d1ea00000002,hash_placebo,0,0,4,20c93c293c11f9f1,0,4300
0,1,a303d1ea00000003,projected_order_1d,0,0,,35ac16f9db7e66b1,7400,8200
0,1,a303d1ea00000003,projected_order_1d,100,1,,36a56de44e123b95,8300,12000
0,1,a303d1ea00000003,projected_order_1d,200,2,,beb06f73ef99fa39,7300,8500
0,1,a303d1ea00000003,projected_order_1d,300,3,,38f802eb9c7e5129,8400,11100
0,1,a303d1ea00000003,projected_order_1d,400,4,,6a536e73847c3b31,8300,11900
0,1,a303d1ea00000003,projected_order_1d,500,5,,40b40e943f5fc57d,8800,11900
0,1,a303d1ea00000003,projected_order_1d,600,6,,362a561faa34e81d,8300,11300
0,1,a303d1ea00000003,projected_order_1d,700,7,,c0998d9bf18cf2c1,7500,7800
0,1,a303d1ea00000003,projected_order_1d,800,8,,53ea9e63069071d1,7400,8600
0,1,a303d1ea00000003,projected_order_1d,900,9,,1f30605188f91801,7400,8000
0,1,a303d1ea00000003,projected_order_1d,1000,10,,7349c9dbccf86e69,8500,12100
0,1,a303d1ea00000003,projected_order_1d,1100,11,,64df72b01b7b4c95,7400,8000
0,1,a303d1ea00000003,projected_order_1d,1200,12,,8e5bbe7beef36105,7700,8400
0,1,a303d1ea00000003,projected_order_1d,1300,13,,9dc63c7030a3227d,7500,8200
0,1,a303d1ea00000003,projected_order_1d,1400,14,,cd729342f39479cd,7500,8400
0,1,a303d1ea00000003,projected_order_1d,1500,15,,df4b0290d63b2165,7400,8000
0,1,a303d1ea00000003,projected_order_1d,1600,16,,15a4b83d7e8fc7d9,7400,8200
0,1,a303d1ea00000003,projected_order_1d,1700,17,,a747ddcd7bfec1b5,7500,8400
0,1,a303d1ea00000003,projected_order_1d,1800,18,,170d1412023f2d19,7400,8300
0,1,a303d1ea00000003,projected_order_1d,1900,19,,dd56b889d8f5adf5,7400,8100
0,1,a303d1ea00000003,projected_order_1d,2000,20,,42eb9bd0d793ea69,8300,10800
0,1,a303d1ea00000003,projected_order_1d,2100,21,,0c1a068d7dc08161,9100,12800
0,1,a303d1ea00000003,projected_order_1d,2200,22,,de2ffcf80b7013fd,8200,12600
0,1,a303d1ea00000003,projected_order_1d,2300,23,,f863267ac5fa9925,10400,8100
0,1,a303d1ea00000003,projected_order_1d,2400,24,,4b21ddfd46ab1fbd,9500,15000
0,1,a303d1ea00000003,projected_order_1d,2500,25,,c54098ea4f11794d,11500,8300
0,1,a303d1ea00000003,projected_order_1d,2600,26,,54d4ff482c34dc45,7500,8400
0,1,a303d1ea00000003,projected_order_1d,2700,27,,bf0c9e9a004ffe05,7500,8500
0,1,a303d1ea00000003,projected_order_1d,2800,28,,af406505fc98f90d,7500,7900
0,1,a303d1ea00000003,projected_order_1d,2900,29,,341065df23b5cb71,7500,7800
0,1,a303d1ea00000003,projected_order_1d,3000,30,,a0ceac8a1ac310d1,7600,18800
0,1,a303d1ea00000003,projected_order_1d,3100,31,,54bc46061ddf83a9,7400,8800
0,1,a303d1ea00000003,projected_order_1d,3200,32,,1e186ac772177c6d,8200,11100
0,1,a303d1ea00000003,projected_order_1d,3300,33,,d04e1da6e96dc089,8700,11200
0,1,a303d1ea00000003,projected_order_1d,3400,34,,238495f4924f4edd,7300,8200
0,1,a303d1ea00000003,projected_order_1d,3500,35,,c92496e1335b67a5,7500,8100
0,1,a303d1ea00000003,projected_order_1d,3600,36,,a2f0eab4f98d3599,8600,13200
0,1,a303d1ea00000003,projected_order_1d,3700,37,,5857c041fdab13b9,7500,8200
0,1,a303d1ea00000003,projected_order_1d,3800,38,,0f99574db8592b1d,7300,8200
0,1,a303d1ea00000003,projected_order_1d,3900,39,,2ce498e9b023bd81,7400,8300
0,1,a303d1ea00000003,projected_order_1d,4000,40,,bbdb3a1d52a08f4d,7900,8200
0,1,a303d1ea00000003,projected_order_1d,4100,41,,9b2cad7718a614f1,7300,8000
0,1,a303d1ea00000003,hash_placebo,0,0,3,8e228c41c267e92d,0,4400
0,1,a303d1ea00000004,projected_order_1d,0,0,,35ac16f9db7e66b1,7300,8000
0,1,a303d1ea00000004,projected_order_1d,100,1,,2cc2244070aed6dd,7400,8100
0,1,a303d1ea00000004,projected_order_1d,200,2,,9bb34e49c9027c69,7300,8400
0,1,a303d1ea00000004,projected_order_1d,300,3,,a5eb9cecd22de051,7300,8100
0,1,a303d1ea00000004,projected_order_1d,400,4,,f4e622f2bcf01c15,7200,8000
0,1,a303d1ea00000004,projected_order_1d,500,5,,c27f723c8ce7d9f5,8500,11600
0,1,a303d1ea00000004,projected_order_1d,600,6,,f2d845f7c253be81,8000,8900
0,1,a303d1ea00000004,projected_order_1d,700,7,,93566170eddb523d,7500,8100
0,1,a303d1ea00000004,projected_order_1d,800,8,,2aa0dae3e7ee6f59,7800,8300
0,1,a303d1ea00000004,projected_order_1d,900,9,,a52d973d855cf9b9,7300,8200
0,1,a303d1ea00000004,projected_order_1d,1000,10,,3237d3871bbd5595,7300,7900
0,1,a303d1ea00000004,projected_order_1d,1100,11,,42950fe9802369a5,7800,8200
0,1,a303d1ea00000004,projected_order_1d,1200,12,,c3de42b7a0299e1d,7600,8000
0,1,a303d1ea00000004,projected_order_1d,1300,13,,ea003a7fde461091,11700,10100
0,1,a303d1ea00000004,projected_order_1d,1400,14,,f48c58c06237d011,7300,8300
0,1,a303d1ea00000004,projected_order_1d,1500,15,,2c5de96ac6d7b13d,7700,8100
0,1,a303d1ea00000004,projected_order_1d,1600,16,,52ec8d8fb2ef2fd1,7800,7600
0,1,a303d1ea00000004,projected_order_1d,1700,17,,e0d02a51f25cd5dd,7600,7700
0,1,a303d1ea00000004,projected_order_1d,1800,18,,68a2d4034b8be269,7300,7600
0,1,a303d1ea00000004,projected_order_1d,1900,19,,fd39f9c2aa8bff75,7300,8000
0,1,a303d1ea00000004,projected_order_1d,2000,20,,621ab1d36924d199,7300,8200
0,1,a303d1ea00000004,projected_order_1d,2100,21,,2c63325c9d86ac9d,7300,8000
0,1,a303d1ea00000004,projected_order_1d,2200,22,,c221bb842cc4f56d,7300,8000
0,1,a303d1ea00000004,projected_order_1d,2300,23,,fa0f39479f5eaa91,7300,7900
0,1,a303d1ea00000004,projected_order_1d,2400,24,,32378cfeee1deae1,7600,8100
0,1,a303d1ea00000004,projected_order_1d,2500,25,,81f3a8f6685794cd,7500,7900
0,1,a303d1ea00000004,projected_order_1d,2600,26,,85227723daeea9c1,7800,8100
0,1,a303d1ea00000004,projected_order_1d,2700,27,,44e7e5e0268465d5,7200,8200
0,1,a303d1ea00000004,projected_order_1d,2800,28,,8d64a878af6feb4d,7600,8200
0,1,a303d1ea00000004,projected_order_1d,2900,29,,85a1801179b50e51,7500,20000
0,1,a303d1ea00000004,projected_order_1d,3000,30,,977524f1ee3cd3d1,7400,8600
0,1,a303d1ea00000004,projected_order_1d,3100,31,,c9e28a86b462c545,7300,7900
0,1,a303d1ea00000004,projected_order_1d,3200,32,,8a5d56afd6ca4249,7000,7600
0,1,a303d1ea00000004,projected_order_1d,3300,33,,296b6b0bec86c69d,7200,8400
0,1,a303d1ea00000004,projected_order_1d,3400,34,,a71e63073bb748dd,7300,8400
0,1,a303d1ea00000004,projected_order_1d,3500,35,,1b7fa914bd2dbca5,7400,8000
0,1,a303d1ea00000004,projected_order_1d,3600,36,,e787fe05fe5f64c1,6800,7700
0,1,a303d1ea00000004,projected_order_1d,3700,37,,3df8f9f9ad357225,7000,8000
0,1,a303d1ea00000004,projected_order_1d,3800,38,,d18b7e1961cf256d,7300,7800
0,1,a303d1ea00000004,projected_order_1d,3900,39,,ec100daa29aaefbd,7300,8400
0,1,a303d1ea00000004,projected_order_1d,4000,40,,e864309b35b9d931,7500,7900
0,1,a303d1ea00000004,projected_order_1d,4100,41,,ff3de55735975ec5,7500,7600
0,1,a303d1ea00000004,hash_placebo,0,0,7,6dc24e9a85dcc575,0,3900
0,2,a303d1ea00000005,projected_order_1d,0,0,,1e063c59740c0a11,7300,8100
0,2,a303d1ea00000005,projected_order_1d,100,1,,0faa278cd843d0bd,7500,9000
0,2,a303d1ea00000005,projected_order_1d,200,2,,4e024d5aa08d4e45,7400,8100
0,2,a303d1ea00000005,projected_order_1d,300,3,,bf5290c2b0e99351,7500,8000
0,2,a303d1ea00000005,projected_order_1d,400,4,,15c19e5336dac0cd,7900,8000
0,2,a303d1ea00000005,projected_order_1d,500,5,,5cc06599c8fccb01,7500,8600
0,2,a303d1ea00000005,projected_order_1d,600,6,,1e911c19e600f195,7600,7800
0,2,a303d1ea00000005,projected_order_1d,700,7,,87569d94da1dcac5,7800,8200
0,2,a303d1ea00000005,projected_order_1d,800,8,,d3d71ba136ba9245,7400,8000
0,2,a303d1ea00000005,projected_order_1d,900,9,,1fd8651cad2e1165,7200,8000
0,2,a303d1ea00000005,projected_order_1d,1000,10,,d1c392fcfa54a295,7400,8000
0,2,a303d1ea00000005,projected_order_1d,1100,11,,36fb1ff3bd6b45a1,7300,8500
0,2,a303d1ea00000005,projected_order_1d,1200,12,,4d07619eb5dcfa9d,7500,8100
