dataset_index,training_seed,evaluation_seed,training_samples,evaluation_samples,training_sha256,evaluation_sha256
0,a303d1da00000001,a303d1fa00000001,96,96,c06199236969fba9d3d122b3b273a46642f63ee9ea8aff3992a78168b4b9ed5b,c76adee09f8839cbdd41df1c4b0383c29f1510728d2d9636bbec21b797418fe3
1,a303d1da00000002,a303d1fa00000002,96,96,91a297585c666cdd5b01ea3f9597928da0cb6f3b4100f2c374ee819ec222d481,fddb112fa0e4dddb72298f7b87bfff5f650da2ae65c83a7493bcc163178ba2ec
2,a303d1da00000003,a303d1fa00000003,96,96,628a14d08cb023c9aefb4a786401f3a55c11c8f74fa2b2a214a9517a9042f81b,57dac3c5549655da9f9da8e7381a5a40e250413c1ca4a3def5d986a957fc16a0
3,a303d1da00000004,a303d1fa00000004,96,96,9190d3ceabdfc25310fc3d6ca9d020e3fae6aa9209f0e384f8d3681122471344,3758c7778b580c6a471e140b1f67afdd5b8b5a943596d642ea8a0ccf5585e3a0
4,a303d1da00000005,a303d1fa00000005,96,96,69c78c477f20252b23972fd990eec08eac9217c43c8c0127bc0b382cd72f7fa4,41991a78455979e50ea40fec9c099d8b2b9a87566ae23b6b6adfaabef21b2de5
