dataset_index,dataset_seed,initialization_index,initialization_seed,stream_seed,arm,hash_partition_id,final_train_loss,final_evaluation_loss,final_evaluation_accuracy,accepted_updates,no_op_slots,beneficial_updates,harmful_updates,false_authorizations,false_authorization_rate,cumulative_beneficial_utility,cumulative_harmful_utility_noop_regret,p90_harmful_utility,p95_harmful_utility,p99_harmful_utility,max_harmful_utility,projected_feature_ns,partition_ns,panel_ns,policy_ns,shadow_ns,wall_ns
0,a303d1da00000001,0,a303d1a700000001,a303d1ea00000001,projected_order_1d,,2.869085073e-1,2.180769920e0,0.562500,4200,0,2775,1425,1425,0.33928571,1.640157372e0,7.657852471e-1,1.220822334e-3,1.488506794e-3,2.472251654e-3,3.818660975e-3,328600,402400,2344900,9369519000,50811200,9425599600
0,a303d1da00000001,0,a303d1a700000001,a303d1ea00000001,hash_placebo,0,3.116995692e-1,1.850353241e0,0.562500,4200,0,2789,1411,1411,0.33595238,1.479678839e0,6.300977767e-1,9.779632092e-4,1.194059849e-3,1.742720604e-3,3.060609102e-3,0,4100,2440500,9504646700,52490000,9561568900
0,a303d1da00000001,0,a303d1a700000001,a303d1ea00000002,projected_order_1d,,3.196477592e-1,2.090285063e0,0.531250,4200,0,2771,1429,1429,0.34023810,1.530340314e0,6.887074411e-1,1.135647297e-3,1.432001591e-3,2.192020416e-3,3.826677799e-3,317700,381600,2308500,9295190700,50584100,9350660900
0,a303d1da00000001,0,a303d1a700000001,a303d1ea00000002,hash_placebo,4,3.482414484e-1,1.574234605e0,0.531250,4200,0,2753,1447,1447,0.34452381,1.516353160e0,7.033139765e-1,1.095056534e-3,1.380920410e-3,1.918226480e-3,2.716064453e-3,0,4300,2484800,9575283500,51805900,9631654200
0,a303d1da00000001,1,a303d1a700000002,a303d1ea00000003,projected_order_1d,,8.639976382e-2,2.392215490e0,0.531250,4200,0,3010,1190,1190,0.28333333,1.433699355e0,4.143051654e-1,8.009970188e-4,9.857863188e-4,1.404508948e-3,2.428956330e-3,334500,405900,2524500,9490657900,52912200,9549112400
0,a303d1da00000001,1,a303d1a700000002,a303d1ea00000003,hash_placebo,3,1.370270848e-1,2.230265141e0,0.552083,4200,0,2915,1285,1285,0.30595238,1.473898605e0,5.051317364e-1,8.397996426e-4,1.088798046e-3,1.529648900e-3,2.263695002e-3,0,4400,2238300,9196347900,50233500,9250770300
0,a303d1da00000001,1,a303d1a700000002,a303d1ea00000004,projected_order_1d,,8.863242716e-2,2.244240761e0,0.541667,4200,0,2969,1231,1231,0.29309524,1.408991903e0,3.918303773e-1,6.961226463e-4,8.714795113e-4,1.227855682e-3,1.907646656e-3,316400,356100,1946300,8984941000,49632100,9038879100
0,a303d1da00000001,1,a303d1a700000002,a303d1ea00000004,hash_placebo,7,1.476611346e-1,2.488366127e0,0.552083,4200,0,2852,1348,1348,0.32095238,1.535053745e0,5.769209266e-1,9.440481663e-4,1.183092594e-3,1.772135496e-3,3.083020449e-3,0,3900,1771100,8970166300,49014900,9022525200
0,a303d1da00000001,2,a303d1a700000003,a303d1ea00000005,projected_order_1d,,2.790438831e-1,2.014558554e0,0.489583,4200,0,2808,1392,1392,0.33142857,1.392516583e0,5.583222508e-1,8.643865585e-4,1.081228256e-3,1.703679562e-3,3.929793835e-3,315600,380600,1979300,9096151100,49529100,9150079300
0,a303d1da00000001,2,a303d1a700000003,a303d1ea00000005,hash_placebo,6,3.356889188e-1,1.820511460e0,0.437500,4200,0,2761,1439,1439,0.34261905,1.427906990e0,6.503576934e-1,9.984970093e-4,1.324295998e-3,1.794219017e-3,2.438843250e-3,0,4000,1816400,8999533700,48916100,9051801100
