cell_id,dataset_id,initialization_id,arm,final_loss,population_loss,final_accuracy,population_accuracy,operational_gap
0,0,0,sentinel_k1,2.214969158173e0,2.624035596848e0,0.677083313,0.605712891,-2.183928489685e0
0,0,0,sentinel_k4_cyclic,7.810494303703e-1,8.428282141685e-1,0.604166687,0.595214844,-2.460640668869e-2
0,0,0,sentinel_k16_cyclic,8.054347038269e-1,7.906882762909e-1,0.625000000,0.633544922,-4.263341426849e-3
0,0,0,sentinel_k16_blocked,5.815906524658e-1,7.516397237778e-1,0.770833313,0.701904297,-2.021015286446e-1
0,0,0,sentinel_k16_pooled,4.135440587997e-1,4.991872906685e-1,0.822916687,0.793457031,-9.458810091019e-3
0,0,0,sentinel_k64_cyclic,7.324597835541e-1,7.481295466423e-1,0.666666687,0.662109375,1.429611444473e-2
0,0,0,sentinel_fresh,6.229004263878e-1,6.568400263786e-1,0.729166687,0.717041016,-1.403856277466e-2
1,0,1,sentinel_k1,2.303901433945e0,2.438365936279e0,0.656250000,0.604003906,-2.279139995575e0
1,0,1,sentinel_k4_cyclic,7.628958225250e-1,8.426412940025e-1,0.604166687,0.593261719,-3.892654180527e-2
1,0,1,sentinel_k16_cyclic,8.258587718010e-1,8.263331055641e-1,0.593750000,0.603271484,5.875819921494e-2
1,0,1,sentinel_k16_blocked,8.366978764534e-1,8.538639545441e-1,0.656250000,0.664550781,-4.219697415829e-1
1,0,1,sentinel_k16_pooled,4.489058256149e-1,4.928312003613e-1,0.833333313,0.796875000,-9.341809153557e-2
1,0,1,sentinel_k64_cyclic,7.747297286987e-1,8.172628879547e-1,0.708333313,0.594970703,1.014764904976e-1
1,0,1,sentinel_fresh,7.761361598969e-1,8.245609402657e-1,0.614583313,0.588867188,7.990288734436e-2
2,0,2,sentinel_k1,3.293575048447e0,3.391657114029e0,0.593750000,0.619140625,-3.280789375305e0
2,0,2,sentinel_k4_cyclic,8.677107691765e-1,8.852584958076e-1,0.572916687,0.591308594,-1.190656423569e-1
2,0,2,sentinel_k16_cyclic,6.306276917458e-1,6.680567264557e-1,0.760416687,0.705566406,-3.611814975739e-2
2,0,2,sentinel_k16_blocked,6.929879784584e-1,8.786210417747e-1,0.750000000,0.684082031,-4.525258541107e-1
2,0,2,sentinel_k16_pooled,4.848469495773e-1,4.804738759995e-1,0.812500000,0.805664062,-8.932799100876e-2
2,0,2,sentinel_k64_cyclic,7.268347144127e-1,7.832906246185e-1,0.677083313,0.610839844,4.477649927139e-2
2,0,2,sentinel_fresh,6.886494755745e-1,7.189107537270e-1,0.697916687,0.680908203,5.437433719635e-2
3,0,3,sentinel_k1,2.623720884323e0,3.169004678726e0,0.645833313,0.648193359,-2.618821620941e0
3,0,3,sentinel_k4_cyclic,7.903310656548e-1,8.811127543449e-1,0.656250000,0.598144531,4.227399826050e-3
3,0,3,sentinel_k16_cyclic,7.897009253502e-1,7.770651578903e-1,0.645833313,0.635986328,-3.159117698669e-2
3,0,3,sentinel_k16_blocked,8.051438331604e-1,8.449305891991e-1,0.697916687,0.683837891,-5.074133872986e-1
3,0,3,sentinel_k16_pooled,4.598459303379e-1,5.383131504059e-1,0.770833313,0.776855469,1.649588346481e-2
3,0,3,sentinel_k64_cyclic,8.282172083855e-1,8.023905754089e-1,0.666666687,0.623779297,-5.197793245316e-2
3,0,3,sentinel_fresh,7.863295078278e-1,7.978888750076e-1,0.625000000,0.598388672,2.238965034485e-2
4,0,4,sentinel_k1,2.133364439011e0,2.884551048279e0,0.677083313,0.574707031,-2.092004060745e0
4,0,4,sentinel_k4_cyclic,6.823242306709e-1,8.231551051140e-1,0.708333313,0.642089844,-5.246126651764e-2
4,0,4,sentinel_k16_cyclic,7.940474152565e-1,8.265358805656e-1,0.604166687,0.594482422,4.939150810242e-2
4,0,4,sentinel_k16_blocked,7.662603259087e-1,1.055660128593e0,0.656250000,0.619628906,-3.831268846989e-1
4,0,4,sentinel_k16_pooled,3.917857706547e-1,4.708810448647e-1,0.833333313,0.802001953,-2.452397346497e-2
4,0,4,sentinel_k64_cyclic,7.363310456276e-1,7.769336104393e-1,0.593750000,0.609619141,-6.173789501190e-3
4,0,4,sentinel_fresh,7.751340270042e-1,7.624478340149e-1,0.635416687,0.633056641,-1.239556074142e-2
5,1,0,sentinel_k1,3.172153472900e0,3.156284570694e0,0.645833313,0.614013672,-3.163222551346e0
5,1,0,sentinel_k4_cyclic,8.941842913628e-1,8.091539144516e-1,0.625000000,0.663085938,-2.904900312424e-1
5,1,0,sentinel_k16_cyclic,8.379859328270e-1,7.555590867996e-1,0.593750000,0.685546875,-1.021494269371e-1
5,1,0,sentinel_k16_blocked,9.825937747955e-1,7.089202404022e-1,0.614583313,0.714599609,-5.471049547195e-1
5,1,0,sentinel_k16_pooled,4.533817768097e-1,4.816749393940e-1,0.802083313,0.803466797,-7.234001159668e-2
5,1,0,sentinel_k64_cyclic,8.486514687538e-1,6.959047317505e-1,0.645833313,0.701904297,-1.512323021889e-1
5,1,0,sentinel_fresh,9.152357578278e-1,7.883066534996e-1,0.604166687,0.646240234,-1.183450818062e-1
6,1,1,sentinel_k1,2.118096113205e0,2.052936553955e0,0.635416687,0.571777344,-2.042642354965e0
6,1,1,sentinel_k4_cyclic,7.806016802788e-1,7.479395270348e-1,0.666666687,0.681152344,-1.981298327446e-1
6,1,1,sentinel_k16_cyclic,7.627146840096e-1,7.955548763275e-1,0.677083313,0.655761719,4.916161298752e-2
6,1,1,sentinel_k16_blocked,8.385281562805e-1,8.716533184052e-1,0.666666687,0.694824219,-5.567134618759e-1
6,1,1,sentinel_k16_pooled,5.788830518723e-1,5.885348320007e-1,0.781250000,0.752929688,-1.204740107059e-1
6,1,1,sentinel_k64_cyclic,7.512786388397e-1,7.330368757248e-1,0.708333313,0.687988281,-6.661087274551e-2
6,1,1,sentinel_fresh,8.162034153938e-1,8.068207502365e-1,0.614583313,0.629638672,-4.818058013916e-2
7,1,2,sentinel_k1,3.148994207382e0,3.455195426941e0,0.562500000,0.592041016,-3.122998237610e0
7,1,2,sentinel_k4_cyclic,7.676946520805e-1,7.794166207314e-1,0.687500000,0.663330078,-1.939016580582e-2
7,1,2,sentinel_k16_cyclic,7.787876129150e-1,7.968391180038e-1,0.572916687,0.607421875,2.879106998444e-2
7,1,2,sentinel_k16_blocked,1.001300096512e0,9.102607965469e-1,0.656250000,0.680175781,-7.361835837364e-1
7,1,2,sentinel_k16_pooled,4.817665815353e-1,4.724492430687e-1,0.812500000,0.818847656,-1.444084942341e-1
7,1,2,sentinel_k64_cyclic,7.525262236595e-1,6.993550658226e-1,0.729166687,0.707763672,-8.053451776505e-2
7,1,2,sentinel_fresh,6.901245117188e-1,6.708573102951e-1,0.718750000,0.723632812,-1.352420449257e-1
8,1,3,sentinel_k1,2.007503747940e0,2.245833873749e0,0.572916687,0.575927734,-1.926665067673e0
8,1,3,sentinel_k4_cyclic,9.326135516167e-1,8.637964129448e-1,0.510416687,0.600830078,-1.632185578346e-1
8,1,3,sentinel_k16_cyclic,9.191021919250e-1,8.520169854164e-1,0.562500000,0.600585938,-1.595131158829e-1
8,1,3,sentinel_k16_blocked,1.010154366493e0,9.941540360451e-1,0.666666687,0.570068359,-5.260560512543e-1
8,1,3,sentinel_k16_pooled,7.116633057594e-1,6.654506921768e-1,0.677083313,0.711425781,-1.792050600052e-1
8,1,3,sentinel_k64_cyclic,8.967632651329e-1,8.432669639587e-1,0.593750000,0.598632812,-1.453410387039e-1
8,1,3,sentinel_fresh,9.055464267731e-1,8.616001009941e-1,0.583333313,0.575683594,-6.643652915955e-2
9,1,4,sentinel_k1,2.695680856705e0,2.574374437332e0,0.531250000,0.586181641,-2.657826900482e0
9,1,4,sentinel_k4_cyclic,7.867186069489e-1,7.895058989525e-1,0.635416687,0.646484375,-1.361892819405e-1
9,1,4,sentinel_k16_cyclic,7.933671474457e-1,7.583961486816e-1,0.645833313,0.645996094,-6.059592962265e-2
9,1,4,sentinel_k16_blocked,9.925637841225e-1,9.106085300446e-1,0.572916687,0.624755859,-5.648019313812e-1
9,1,4,sentinel_k16_pooled,7.319087982178e-1,5.708300471306e-1,0.718750000,0.759521484,-3.034331202507e-1
9,1,4,sentinel_k64_cyclic,8.393065333366e-1,8.388565182686e-1,0.593750000,0.596923828,-3.413075208664e-2
9,1,4,sentinel_fresh,8.466082215309e-1,8.357259035110e-1,0.572916687,0.603759766,3.249567747116e-2
10,2,0,sentinel_k1,2.505164384842e0,2.280563831329e0,0.468750000,0.509033203,-2.359405755997e0
10,2,0,sentinel_k4_cyclic,9.313276410103e-1,8.865739107132e-1,0.562500000,0.591796875,-1.465305089951e-1
10,2,0,sentinel_k16_cyclic,8.103445172310e-1,7.539526820183e-1,0.635416687,0.668212891,-4.786419868469e-2
10,2,0,sentinel_k16_blocked,1.014141798019e0,7.841295599937e-1,0.583333313,0.683105469,-6.228077411652e-1
10,2,0,sentinel_k16_pooled,4.657615721226e-1,4.863105118275e-1,0.802083313,0.798583984,-5.929362773895e-2
10,2,0,sentinel_k64_cyclic,6.045989990234e-1,6.213091611862e-1,0.781250000,0.747558594,-6.036102771759e-3
10,2,0,sentinel_fresh,6.161950230598e-1,6.691501736641e-1,0.760416687,0.716064453,5.123811960220e-2
11,2,1,sentinel_k1,3.778862714767e0,3.562388658524e0,0.562500000,0.604248047,-3.774883747101e0
11,2,1,sentinel_k4_cyclic,8.118472099304e-1,8.112985491753e-1,0.645833313,0.641113281,-1.454132795334e-1
11,2,1,sentinel_k16_cyclic,8.751990199089e-1,8.620724081993e-1,0.562500000,0.580566406,-1.248099207878e-1
11,2,1,sentinel_k16_blocked,1.041357994080e0,9.444585442543e-1,0.656250000,0.627197266,-5.854111313820e-1
11,2,1,sentinel_k16_pooled,4.422729909420e-1,4.843001365662e-1,0.812500000,0.801757812,-4.729887843132e-2
11,2,1,sentinel_k64_cyclic,8.129077553749e-1,7.760564088821e-1,0.645833313,0.656250000,-1.180464029312e-2
11,2,1,sentinel_fresh,7.694420814514e-1,7.445505261421e-1,0.593750000,0.660156250,-1.990246772766e-2
12,2,2,sentinel_k1,4.835417270660e0,4.634873390198e0,0.635416687,0.633789062,-4.835375785828e0
12,2,2,sentinel_k4_cyclic,7.876803874969e-1,7.512214183807e-1,0.718750000,0.687744141,-1.292575597763e-1
12,2,2,sentinel_k16_cyclic,7.386952042580e-1,7.486619949341e-1,0.697916687,0.677978516,-3.707510232925e-2
12,2,2,sentinel_k16_blocked,8.294952511787e-1,6.878793835640e-1,0.760416687,0.736816406,-5.972179174423e-1
12,2,2,sentinel_k16_pooled,6.870110630989e-1,5.596497058868e-1,0.729166687,0.769287109,-2.426870167255e-1
12,2,2,sentinel_k64_cyclic,6.739156842232e-1,6.179344058037e-1,0.750000000,0.746826172,-5.105638504028e-2
