cell_id,dataset_id,initialization_id,arm,final_loss,population_loss,final_accuracy,population_accuracy,operational_gap
12,2,2,sentinel_fresh,7.867631912231e-1,7.962584495544e-1,0.593750000,0.604492188,-5.740624666214e-2
13,2,3,sentinel_k1,2.473939657211e0,2.926375627518e0,0.635416687,0.556396484,-2.412019252777e0
13,2,3,sentinel_k4_cyclic,9.330375790596e-1,8.913688659668e-1,0.562500000,0.542724609,-1.118187308311e-1
13,2,3,sentinel_k16_cyclic,9.356288909912e-1,8.573392033577e-1,0.593750000,0.573730469,-7.665938138962e-2
13,2,3,sentinel_k16_blocked,1.232099413872e0,1.080876588821e0,0.541666687,0.552734375,-6.752079129219e-1
13,2,3,sentinel_k16_pooled,5.782620310783e-1,4.984552860260e-1,0.739583313,0.794677734,-2.058697640896e-1
13,2,3,sentinel_k64_cyclic,9.595173001289e-1,8.583880662918e-1,0.572916687,0.571289062,-1.425018906593e-1
13,2,3,sentinel_fresh,9.063949584961e-1,8.381628394127e-1,0.552083313,0.583740234,-1.120803952217e-1
14,2,4,sentinel_k1,3.633539199829e0,3.901881217957e0,0.614583313,0.590087891,-3.622635841370e0
14,2,4,sentinel_k4_cyclic,8.406708240509e-1,7.202847003937e-1,0.666666687,0.697998047,-2.600706815720e-1
14,2,4,sentinel_k16_cyclic,9.295709729195e-1,7.875377535820e-1,0.625000000,0.625244141,-1.111915707588e-1
14,2,4,sentinel_k16_blocked,1.041484951973e0,1.026088595390e0,0.614583313,0.641357422,-6.303576231003e-1
14,2,4,sentinel_k16_pooled,7.018049359322e-1,5.848040580750e-1,0.718750000,0.759765625,-2.471273243427e-1
14,2,4,sentinel_k64_cyclic,9.305650591850e-1,7.881163358688e-1,0.572916687,0.607910156,-1.430449485779e-1
14,2,4,sentinel_fresh,8.907678127289e-1,7.684497833252e-1,0.614583313,0.638916016,-2.194690108299e-1
15,3,0,sentinel_k1,1.352259516716e0,2.233545780182e0,0.666666687,0.583984375,-1.268395662308e0
15,3,0,sentinel_k4_cyclic,8.054106235504e-1,8.960373401642e-1,0.666666687,0.574462891,-2.196401357651e-2
15,3,0,sentinel_k16_cyclic,7.350625991821e-1,7.960616946220e-1,0.635416687,0.602539062,3.276795148849e-2
15,3,0,sentinel_k16_blocked,9.248202443123e-1,9.096755385399e-1,0.593750000,0.607910156,-3.878555893898e-1
15,3,0,sentinel_k16_pooled,4.866322577000e-1,5.307483673096e-1,0.791666687,0.775390625,-4.905283451080e-3
15,3,0,sentinel_k64_cyclic,7.422668933868e-1,7.956522107124e-1,0.604166687,0.601074219,6.117385625839e-2
15,3,0,sentinel_fresh,7.667648196220e-1,8.031163215637e-1,0.604166687,0.597167969,8.631736040115e-2
16,3,1,sentinel_k1,2.258869409561e0,2.142482280731e0,0.656250000,0.635742188,-2.210541248322e0
16,3,1,sentinel_k4_cyclic,7.637755274773e-1,7.723730206490e-1,0.687500000,0.668212891,-6.491535902023e-2
16,3,1,sentinel_k16_cyclic,7.609205245972e-1,7.830215692520e-1,0.645833313,0.639404297,1.182669401169e-2
16,3,1,sentinel_k16_blocked,7.626439929008e-1,9.266826510429e-1,0.760416687,0.701171875,-4.750602245331e-1
16,3,1,sentinel_k16_pooled,6.797325611115e-1,5.958868861198e-1,0.729166687,0.757812500,-2.292955517769e-1
16,3,1,sentinel_k64_cyclic,7.310876250267e-1,7.568945288658e-1,0.677083313,0.647949219,-1.545464992523e-2
16,3,1,sentinel_fresh,7.429391741753e-1,7.474591135979e-1,0.666666687,0.664550781,-1.419973373413e-2
17,3,2,sentinel_k1,2.892398595810e0,3.234864473343e0,0.604166687,0.601562500,-2.876192092896e0
17,3,2,sentinel_k4_cyclic,7.551876902580e-1,8.181261420250e-1,0.697916687,0.625976562,-1.449761986732e-1
17,3,2,sentinel_k16_cyclic,7.042484879494e-1,6.916357278824e-1,0.687500000,0.700439453,-4.650062322617e-2
17,3,2,sentinel_k16_blocked,8.135264515877e-1,7.421010732651e-1,0.677083313,0.716308594,-5.840047597885e-1
17,3,2,sentinel_k16_pooled,5.398101806641e-1,6.052836775780e-1,0.750000000,0.734619141,-1.792883872986e-2
17,3,2,sentinel_k64_cyclic,8.318462967873e-1,7.862604260445e-1,0.583333313,0.618164062,-4.507899284363e-4
17,3,2,sentinel_fresh,8.038622736931e-1,7.936264872551e-1,0.635416687,0.602539062,-4.609870910645e-2
18,3,3,sentinel_k1,3.388838768005e0,4.507136344910e0,0.625000000,0.595703125,-3.384402275085e0
18,3,3,sentinel_k4_cyclic,7.851012349129e-1,8.619072437286e-1,0.666666687,0.592285156,1.335760951042e-1
18,3,3,sentinel_k16_cyclic,7.597886919975e-1,7.940834164619e-1,0.677083313,0.614013672,1.027181148529e-1
18,3,3,sentinel_k16_blocked,8.330869674683e-1,9.435588717461e-1,0.593750000,0.621826172,-3.811335265636e-1
18,3,3,sentinel_k16_pooled,5.737830996513e-1,5.555453896523e-1,0.760416687,0.767333984,-1.272476911545e-1
18,3,3,sentinel_k64_cyclic,7.869253158569e-1,8.320218920708e-1,0.666666687,0.601562500,4.761838912964e-2
18,3,3,sentinel_fresh,7.768822312355e-1,8.138057589531e-1,0.625000000,0.584716797,5.305361747742e-2
19,3,4,sentinel_k1,3.269591331482e0,2.887173175812e0,0.479166657,0.510498047,-3.137740373611e0
19,3,4,sentinel_k4_cyclic,7.595664858818e-1,8.242318630219e-1,0.593750000,0.610595703,-1.665158867836e-1
19,3,4,sentinel_k16_cyclic,7.397246360779e-1,8.204708695412e-1,0.604166687,0.601318359,2.988952398300e-2
19,3,4,sentinel_k16_blocked,7.721893191338e-1,8.137833476067e-1,0.697916687,0.653808594,-2.821421921253e-1
19,3,4,sentinel_k16_pooled,6.485260128975e-1,5.639301538467e-1,0.770833313,0.762695312,-1.673775911331e-1
19,3,4,sentinel_k64_cyclic,6.782975792885e-1,7.809838652611e-1,0.729166687,0.629150391,4.128795862198e-2
19,3,4,sentinel_fresh,7.608848214149e-1,8.105690479279e-1,0.677083313,0.604248047,2.773982286453e-2
20,4,0,sentinel_k1,2.481386184692e0,3.310868978500e0,0.604166687,0.557617188,-2.453359365463e0
20,4,0,sentinel_k4_cyclic,8.546358942986e-1,8.576819300652e-1,0.625000000,0.597656250,-1.977444887161e-1
20,4,0,sentinel_k16_cyclic,8.203308582306e-1,7.872327566147e-1,0.593750000,0.630859375,-8.177149295807e-2
20,4,0,sentinel_k16_blocked,9.022416472435e-1,8.352932929993e-1,0.593750000,0.666992188,-4.078841209412e-1
20,4,0,sentinel_k16_pooled,5.835012793541e-1,5.227058529854e-1,0.750000000,0.788085938,-1.493550240993e-1
20,4,0,sentinel_k64_cyclic,7.421222329140e-1,7.754030823708e-1,0.677083313,0.611328125,4.037797451019e-3
20,4,0,sentinel_fresh,8.204961419106e-1,8.003939390182e-1,0.572916687,0.570312500,-6.957101821899e-2
21,4,1,sentinel_k1,4.374571800232e0,4.247100830078e0,0.552083313,0.625488281,-4.374245166779e0
21,4,1,sentinel_k4_cyclic,7.836393713951e-1,8.413602113724e-1,0.625000000,0.607177734,3.839617967606e-2
21,4,1,sentinel_k16_cyclic,7.749509215355e-1,7.787505984306e-1,0.656250000,0.625488281,6.740868091583e-3
21,4,1,sentinel_k16_blocked,8.482168316841e-1,9.080339670181e-1,0.739583313,0.671386719,-4.624723196030e-1
21,4,1,sentinel_k16_pooled,5.499267578125e-1,5.940129756927e-1,0.718750000,0.750488281,-9.562715888023e-2
21,4,1,sentinel_k64_cyclic,7.656002640724e-1,7.607722878456e-1,0.625000000,0.633544922,-1.280170083046e-1
21,4,1,sentinel_fresh,7.380537986755e-1,7.175619602203e-1,0.718750000,0.684570312,3.254723548889e-2
22,4,2,sentinel_k1,3.363534927368e0,3.027858734131e0,0.552083313,0.574462891,-3.329773426056e0
22,4,2,sentinel_k4_cyclic,8.424863815308e-1,7.805442214012e-1,0.625000000,0.650146484,-1.966075301170e-1
22,4,2,sentinel_k16_cyclic,6.118358969688e-1,6.180979609489e-1,0.739583313,0.736816406,-7.712423801422e-3
22,4,2,sentinel_k16_blocked,8.637895584106e-1,8.920139670372e-1,0.656250000,0.660156250,-3.065087795258e-1
22,4,2,sentinel_k16_pooled,6.554018855095e-1,5.602105855942e-1,0.718750000,0.770263672,-2.125414013863e-1
22,4,2,sentinel_k64_cyclic,7.054652571678e-1,7.100309133530e-1,0.697916687,0.691162109,-7.017201185226e-2
22,4,2,sentinel_fresh,7.179173827171e-1,6.978420019150e-1,0.687500000,0.701904297,3.587043285370e-2
23,4,3,sentinel_k1,2.718524694443e0,2.905798435211e0,0.666666687,0.624755859,-2.707266092300e0
23,4,3,sentinel_k4_cyclic,8.581926822662e-1,8.323580622673e-1,0.572916687,0.600341797,-1.276458501816e-1
23,4,3,sentinel_k16_cyclic,7.693574428558e-1,8.374212384224e-1,0.604166687,0.562011719,-4.984945058823e-2
23,4,3,sentinel_k16_blocked,8.918414115906e-1,8.793382644653e-1,0.531250000,0.604736328,-3.041068315506e-1
23,4,3,sentinel_k16_pooled,8.372011184692e-1,6.969380378723e-1,0.697916687,0.717285156,-3.003450036049e-1
23,4,3,sentinel_k64_cyclic,8.022904396057e-1,8.266125321388e-1,0.572916687,0.551513672,-6.712901592255e-2
23,4,3,sentinel_fresh,7.657196521759e-1,8.213961124420e-1,0.645833313,0.589111328,6.566089391708e-2
24,4,4,sentinel_k1,5.533452987671e0,4.548737525940e0,0.552083313,0.604492188,-5.532520294189e0
24,4,4,sentinel_k4_cyclic,7.465019822121e-1,8.209294676781e-1,0.677083313,0.658203125,-1.830416917801e-2
24,4,4,sentinel_k16_cyclic,7.127159237862e-1,7.465513944626e-1,0.677083313,0.659179688,5.308413505554e-2
24,4,4,sentinel_k16_blocked,6.613433957100e-1,7.645916938782e-1,0.697916687,0.716796875,-4.495519101620e-1
24,4,4,sentinel_k16_pooled,4.371752738953e-1,4.767743647099e-1,0.802083313,0.795654297,-5.381309986115e-2
24,4,4,sentinel_k64_cyclic,7.788789272308e-1,7.770326733589e-1,0.666666687,0.628417969,2.178400754929e-2
24,4,4,sentinel_fresh,7.412285208702e-1,7.626947760582e-1,0.739583313,0.635498047,-2.017229795456e-2
