cell_id,dataset_id,initialization_id,arm,step,train_loss,final_loss,final_accuracy,population_loss,population_accuracy,operational_loss,operational_gap,verifier_size,support_size,panel_id
1,0,1,sentinel_k16_cyclic,4200,0.780744731,0.825858772,0.593750000,0.826333106,0.603271484,0.884616971,0.058758199,128,2048,9
1,0,1,sentinel_k16_blocked,0,1.085941672,1.086958051,0.406250000,1.110050917,0.337890625,1.104783654,0.017825603,128,2048,0
1,0,1,sentinel_k16_blocked,600,0.891236365,0.931755304,0.500000000,0.908246815,0.506347656,0.744483650,-0.187271655,128,2048,2
1,0,1,sentinel_k16_blocked,2400,0.855102539,0.903367519,0.625000000,0.882152975,0.608642578,0.960351229,0.056983709,128,2048,9
1,0,1,sentinel_k16_blocked,4200,0.796692550,0.836697876,0.656250000,0.853863955,0.664550781,0.414728135,-0.421969742,128,2048,15
1,0,1,sentinel_k16_pooled,0,1.085941672,1.086958051,0.406250000,1.110050917,0.337890625,1.101175904,0.014217854,2048,2048,0
1,0,1,sentinel_k16_pooled,600,0.881062746,0.874531209,0.593750000,0.884643257,0.563232422,0.860556066,-0.013975143,2048,2048,0
1,0,1,sentinel_k16_pooled,2400,0.514646351,0.471458316,0.822916687,0.522350252,0.783691406,0.413557112,-0.057901204,2048,2048,0
1,0,1,sentinel_k16_pooled,4200,0.514537215,0.448905826,0.833333313,0.492831200,0.796875000,0.355487734,-0.093418092,2048,2048,0
1,0,1,sentinel_k64_cyclic,0,1.085941672,1.086958051,0.406250000,1.110050917,0.337890625,1.104783654,0.017825603,128,8192,0
1,0,1,sentinel_k64_cyclic,600,0.941631556,0.969193935,0.510416687,0.948950052,0.496582031,0.913653672,-0.055540264,128,8192,21
1,0,1,sentinel_k64_cyclic,2400,0.860176086,0.905443490,0.520833313,0.891881287,0.532714844,0.907276392,0.001832902,128,8192,23
1,0,1,sentinel_k64_cyclic,4200,0.715845108,0.774729729,0.708333313,0.817262888,0.594970703,0.876206219,0.101476490,128,8192,25
1,0,1,sentinel_fresh,0,1.085941672,1.086958051,0.406250000,1.110050917,0.337890625,1.104783654,0.017825603,128,128,0
1,0,1,sentinel_fresh,600,0.956098795,0.971697986,0.531250000,0.959494948,0.527832031,0.909078777,-0.062619209,128,19200,149
1,0,1,sentinel_fresh,2400,0.807241857,0.849251986,0.572916687,0.864112914,0.570068359,0.768835664,-0.080416322,128,76800,599
1,0,1,sentinel_fresh,4200,0.731032133,0.776136160,0.614583313,0.824560940,0.588867188,0.856039047,0.079902887,128,134400,1049
2,0,2,sentinel_k1,0,1.107666850,1.109278560,0.260416657,1.101292133,0.312255859,1.096662760,-0.012615800,128,128,0
2,0,2,sentinel_k1,600,1.032068610,0.945686042,0.510416687,1.074687600,0.479736328,0.739423394,-0.206262648,128,128,0
2,0,2,sentinel_k1,2400,1.654799104,1.802495122,0.625000000,1.911544919,0.614746094,0.083386518,-1.719108582,128,128,0
2,0,2,sentinel_k1,4200,2.857909203,3.293575048,0.593750000,3.391657114,0.619140625,0.012785662,-3.280789375,128,128,0
2,0,2,sentinel_k4_cyclic,0,1.107666850,1.109278560,0.260416657,1.101292133,0.312255859,1.096662760,-0.012615800,128,512,0
2,0,2,sentinel_k4_cyclic,600,0.976024449,1.001295090,0.552083313,1.005575895,0.507080078,1.011921406,0.010626316,128,512,1
2,0,2,sentinel_k4_cyclic,2400,0.761512041,0.879475832,0.583333313,0.891243458,0.579589844,0.745756030,-0.133719802,128,512,3
2,0,2,sentinel_k4_cyclic,4200,0.717502415,0.867710769,0.572916687,0.885258496,0.591308594,0.748645127,-0.119065642,128,512,1
2,0,2,sentinel_k16_cyclic,0,1.107666850,1.109278560,0.260416657,1.101292133,0.312255859,1.096662760,-0.012615800,128,2048,0
2,0,2,sentinel_k16_cyclic,600,0.959078252,1.003759861,0.541666687,1.004872918,0.488525391,0.963490367,-0.040269494,128,2048,5
2,0,2,sentinel_k16_cyclic,2400,0.729357719,0.802422822,0.625000000,0.789642870,0.627929688,0.724497020,-0.077925801,128,2048,7
2,0,2,sentinel_k16_cyclic,4200,0.611394227,0.630627692,0.760416687,0.668056726,0.705566406,0.594509542,-0.036118150,128,2048,9
2,0,2,sentinel_k16_blocked,0,1.107666850,1.109278560,0.260416657,1.101292133,0.312255859,1.096662760,-0.012615800,128,2048,0
2,0,2,sentinel_k16_blocked,600,0.941515207,0.994866788,0.447916657,0.989787757,0.506591797,0.940958261,-0.053908527,128,2048,2
2,0,2,sentinel_k16_blocked,2400,0.669151604,0.778973579,0.708333313,0.791029930,0.675292969,0.600778878,-0.178194702,128,2048,9
2,0,2,sentinel_k16_blocked,4200,0.767810106,0.692987978,0.750000000,0.878621042,0.684082031,0.240462124,-0.452525854,128,2048,15
2,0,2,sentinel_k16_pooled,0,1.107666850,1.109278560,0.260416657,1.101292133,0.312255859,1.101808071,-0.007470489,2048,2048,0
2,0,2,sentinel_k16_pooled,600,0.846605003,0.843882799,0.583333313,0.857485116,0.573486328,0.837215483,-0.006667316,2048,2048,0
2,0,2,sentinel_k16_pooled,2400,0.577627778,0.528622985,0.770833313,0.570964396,0.765869141,0.504131377,-0.024491608,2048,2048,0
2,0,2,sentinel_k16_pooled,4200,0.423496932,0.484846950,0.812500000,0.480473876,0.805664062,0.395518959,-0.089327991,2048,2048,0
2,0,2,sentinel_k64_cyclic,0,1.107666850,1.109278560,0.260416657,1.101292133,0.312255859,1.096662760,-0.012615800,128,8192,0
2,0,2,sentinel_k64_cyclic,600,0.953490973,0.993008077,0.468750000,0.989489615,0.480712891,0.977196991,-0.015811086,128,8192,21
2,0,2,sentinel_k64_cyclic,2400,0.810849249,0.856039703,0.625000000,0.857276261,0.579589844,0.859539568,0.003499866,128,8192,23
2,0,2,sentinel_k64_cyclic,4200,0.747749388,0.726834714,0.677083313,0.783290625,0.610839844,0.771611214,0.044776499,128,8192,25
2,0,2,sentinel_fresh,0,1.107666850,1.109278560,0.260416657,1.101292133,0.312255859,1.096662760,-0.012615800,128,128,0
2,0,2,sentinel_fresh,600,0.958988607,1.009245753,0.468750000,0.988793314,0.495361328,0.985131562,-0.024114192,128,19200,149
2,0,2,sentinel_fresh,2400,0.806896508,0.875053585,0.656250000,0.867088735,0.570800781,0.813039601,-0.062013984,128,76800,599
2,0,2,sentinel_fresh,4200,0.570460439,0.688649476,0.697916687,0.718910754,0.680908203,0.743023813,0.054374337,128,134400,1049
3,0,3,sentinel_k1,0,1.096407533,1.097998500,0.406250000,1.101918578,0.338134766,1.098499060,0.000500560,128,128,0
3,0,3,sentinel_k1,600,1.054040194,0.966794491,0.541666687,1.027215242,0.488037109,0.841472507,-0.125321984,128,128,0
3,0,3,sentinel_k1,2400,1.580080986,1.155181766,0.687500000,1.446937084,0.647949219,0.094920084,-1.060261726,128,128,0
3,0,3,sentinel_k1,4200,3.035971642,2.623720884,0.645833313,3.169004679,0.648193359,0.004899310,-2.618821621,128,128,0
3,0,3,sentinel_k4_cyclic,0,1.096407533,1.097998500,0.406250000,1.101918578,0.338134766,1.098499060,0.000500560,128,512,0
3,0,3,sentinel_k4_cyclic,600,1.055441976,1.022260547,0.427083343,1.057447553,0.408203125,1.072992086,0.050731540,128,512,1
3,0,3,sentinel_k4_cyclic,2400,0.939258754,0.925351918,0.583333313,0.960934997,0.519042969,0.866461456,-0.058890462,128,512,3
3,0,3,sentinel_k4_cyclic,4200,0.817925513,0.790331066,0.656250000,0.881112754,0.598144531,0.794558465,0.004227400,128,512,1
3,0,3,sentinel_k16_cyclic,0,1.096407533,1.097998500,0.406250000,1.101918578,0.338134766,1.098499060,0.000500560,128,2048,0
3,0,3,sentinel_k16_cyclic,600,1.044832468,1.050733209,0.427083343,1.029448032,0.449462891,1.025129199,-0.025604010,128,2048,5
3,0,3,sentinel_k16_cyclic,2400,0.802102804,0.852975190,0.614583313,0.856076300,0.568847656,0.877741694,0.024766505,128,2048,7
3,0,3,sentinel_k16_cyclic,4200,0.713678539,0.789700925,0.645833313,0.777065158,0.635986328,0.758109748,-0.031591177,128,2048,9
3,0,3,sentinel_k16_blocked,0,1.096407533,1.097998500,0.406250000,1.101918578,0.338134766,1.098499060,0.000500560,128,2048,0
3,0,3,sentinel_k16_blocked,600,1.007783532,1.026765704,0.468750000,0.966602981,0.516113281,0.898084939,-0.128680766,128,2048,2
3,0,3,sentinel_k16_blocked,2400,0.699681580,0.773930609,0.614583313,0.878927469,0.612548828,0.830747426,0.056816816,128,2048,9
3,0,3,sentinel_k16_blocked,4200,0.657592714,0.805143833,0.697916687,0.844930589,0.683837891,0.297730446,-0.507413387,128,2048,15
3,0,3,sentinel_k16_pooled,0,1.096407533,1.097998500,0.406250000,1.101918578,0.338134766,1.101107478,0.003108978,2048,2048,0
3,0,3,sentinel_k16_pooled,600,0.870838583,0.898213148,0.531250000,0.875744104,0.550781250,0.865478933,-0.032734215,2048,2048,0
3,0,3,sentinel_k16_pooled,2400,0.547932863,0.500256360,0.750000000,0.554827690,0.760742188,0.511866987,0.011610627,2048,2048,0
3,0,3,sentinel_k16_pooled,4200,0.563696086,0.459845930,0.770833313,0.538313150,0.776855469,0.476341814,0.016495883,2048,2048,0
3,0,3,sentinel_k64_cyclic,0,1.096407533,1.097998500,0.406250000,1.101918578,0.338134766,1.098499060,0.000500560,128,8192,0
3,0,3,sentinel_k64_cyclic,600,1.020821929,1.039761901,0.437500000,1.012068748,0.489501953,1.005619168,-0.034142733,128,8192,21
3,0,3,sentinel_k64_cyclic,2400,0.798971415,0.882348776,0.604166687,0.869287312,0.562255859,0.863058209,-0.019290566,128,8192,23
3,0,3,sentinel_k64_cyclic,4200,0.727456987,0.828217208,0.666666687,0.802390575,0.623779297,0.776239276,-0.051977932,128,8192,25
3,0,3,sentinel_fresh,0,1.096407533,1.097998500,0.406250000,1.101918578,0.338134766,1.098499060,0.000500560,128,128,0
