cell_id,arm,step,train_loss,model_offset,model_bytes
3,sentinel_k16_pooled,4200,0.563696086,70452,684
3,sentinel_k64_cyclic,0,1.096407533,71136,684
3,sentinel_k64_cyclic,600,1.020821929,71820,684
3,sentinel_k64_cyclic,2400,0.798971415,72504,684
3,sentinel_k64_cyclic,4200,0.727456987,73188,684
3,sentinel_fresh,0,1.096407533,73872,684
3,sentinel_fresh,600,1.000468373,74556,684
3,sentinel_fresh,2400,0.804942608,75240,684
3,sentinel_fresh,4200,0.747862875,75924,684
4,sentinel_k1,0,1.094079852,76608,684
4,sentinel_k1,600,1.090026498,77292,684
4,sentinel_k1,2400,1.629916549,77976,684
4,sentinel_k1,4200,2.995002747,78660,684
4,sentinel_k4_cyclic,0,1.094079852,79344,684
4,sentinel_k4_cyclic,600,1.015190482,80028,684
4,sentinel_k4_cyclic,2400,0.801569223,80712,684
4,sentinel_k4_cyclic,4200,0.636355639,81396,684
4,sentinel_k16_cyclic,0,1.094079852,82080,684
4,sentinel_k16_cyclic,600,1.000983596,82764,684
4,sentinel_k16_cyclic,2400,0.806903660,83448,684
4,sentinel_k16_cyclic,4200,0.704567850,84132,684
4,sentinel_k16_blocked,0,1.094079852,84816,684
4,sentinel_k16_blocked,600,1.005951643,85500,684
4,sentinel_k16_blocked,2400,0.852874994,86184,684
4,sentinel_k16_blocked,4200,0.761760294,86868,684
4,sentinel_k16_pooled,0,1.094079852,87552,684
4,sentinel_k16_pooled,600,0.868665457,88236,684
4,sentinel_k16_pooled,2400,0.505882621,88920,684
4,sentinel_k16_pooled,4200,0.428779006,89604,684
4,sentinel_k64_cyclic,0,1.094079852,90288,684
4,sentinel_k64_cyclic,600,1.018615484,90972,684
4,sentinel_k64_cyclic,2400,0.779067695,91656,684
4,sentinel_k64_cyclic,4200,0.661825240,92340,684
4,sentinel_fresh,0,1.094079852,93024,684
4,sentinel_fresh,600,1.021165729,93708,684
4,sentinel_fresh,2400,0.787049830,94392,684
4,sentinel_fresh,4200,0.649122536,95076,684
5,sentinel_k1,0,1.088775396,95760,684
5,sentinel_k1,600,0.916073501,96444,684
5,sentinel_k1,2400,1.658583045,97128,684
5,sentinel_k1,4200,3.218598127,97812,684
5,sentinel_k4_cyclic,0,1.088775396,98496,684
5,sentinel_k4_cyclic,600,0.994271576,99180,684
5,sentinel_k4_cyclic,2400,0.747582018,99864,684
5,sentinel_k4_cyclic,4200,0.556452692,100548,684
5,sentinel_k16_cyclic,0,1.088775396,101232,684
5,sentinel_k16_cyclic,600,0.978635788,101916,684
5,sentinel_k16_cyclic,2400,0.653972983,102600,684
5,sentinel_k16_cyclic,4200,0.566818714,103284,684
5,sentinel_k16_blocked,0,1.088775396,103968,684
5,sentinel_k16_blocked,600,0.902510881,104652,684
5,sentinel_k16_blocked,2400,0.657921016,105336,684
5,sentinel_k16_blocked,4200,0.562388361,106020,684
5,sentinel_k16_pooled,0,1.088775396,106704,684
5,sentinel_k16_pooled,600,0.865266740,107388,684
5,sentinel_k16_pooled,2400,0.504392564,108072,684
5,sentinel_k16_pooled,4200,0.421558142,108756,684
5,sentinel_k64_cyclic,0,1.088775396,109440,684
5,sentinel_k64_cyclic,600,0.954281867,110124,684
5,sentinel_k64_cyclic,2400,0.689157963,110808,684
5,sentinel_k64_cyclic,4200,0.500487506,111492,684
5,sentinel_fresh,0,1.088775396,112176,684
5,sentinel_fresh,600,0.955002308,112860,684
5,sentinel_fresh,2400,0.776802123,113544,684
5,sentinel_fresh,4200,0.649136662,114228,684
6,sentinel_k1,0,1.099622607,114912,684
6,sentinel_k1,600,0.913158178,115596,684
6,sentinel_k1,2400,0.922962487,116280,684
6,sentinel_k1,4200,1.290647507,116964,684
6,sentinel_k4_cyclic,0,1.099622607,117648,684
6,sentinel_k4_cyclic,600,0.886026859,118332,684
6,sentinel_k4_cyclic,2400,0.681471527,119016,684
6,sentinel_k4_cyclic,4200,0.536299825,119700,684
6,sentinel_k16_cyclic,0,1.099622607,120384,684
6,sentinel_k16_cyclic,600,0.895525515,121068,684
6,sentinel_k16_cyclic,2400,0.734004438,121752,684
