fit_id,operator_id,arm,teacher_seed,learner_seed,epoch,train_loss
"malecns-a1101-gx-cx-t6101-l7103","malecns-a1101-gx-cx","malecns",6101,7103,8,0.16646476215119554
"malecns-a1101-gx-cx-t6101-l7103","malecns-a1101-gx-cx","malecns",6101,7103,9,0.1535838486484649
"malecns-a1101-gx-cx-t6101-l7103","malecns-a1101-gx-cx","malecns",6101,7103,10,0.1418488465169661
"malecns-a1101-gx-cx-t6101-l7103","malecns-a1101-gx-cx","malecns",6101,7103,11,0.13050895823263017
"malecns-a1101-gx-cx-t6101-l7103","malecns-a1101-gx-cx","malecns",6101,7103,12,0.12145556111367614
"malecns-a1101-gx-cx-t6101-l7103","malecns-a1101-gx-cx","malecns",6101,7103,13,0.11209670093829276
"malecns-a1101-gx-cx-t6101-l7103","malecns-a1101-gx-cx","malecns",6101,7103,14,0.10325277667717006
"malecns-a1101-gx-cx-t6101-l7103","malecns-a1101-gx-cx","malecns",6101,7103,15,0.095513799363949
"malecns-a1101-gx-cx-t6101-l7103","malecns-a1101-gx-cx","malecns",6101,7103,16,0.08841866010331575
"malecns-a1101-gx-cx-t6101-l7103","malecns-a1101-gx-cx","malecns",6101,7103,17,0.08154606546880709
"malecns-a1101-gx-cx-t6101-l7103","malecns-a1101-gx-cx","malecns",6101,7103,18,0.07537130466844959
"malecns-a1101-gx-cx-t6101-l7103","malecns-a1101-gx-cx","malecns",6101,7103,19,0.0698981256855399
"malecns-a1101-gx-cx-t6101-l7103","malecns-a1101-gx-cx","malecns",6101,7103,20,0.06394570668222524
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,1,0.6634289825187466
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,2,0.5080485755128632
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,3,0.37248991845582985
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,4,0.2787652275308222
