fit_id,operator_id,arm,adapter_seed,graph_realization,control_seed,teacher_seed,learner_seed,status,heldout_bce,heldout_accuracy,final_train_loss
"malecns-a1103-gx-cx-t6101-l7102","malecns-a1103-gx-cx","malecns",1103,,,6101,7102,"complete",0.23244957280950576,0.90625,0.06779006751635966
"malecns-a1103-gx-cx-t6101-l7103","malecns-a1103-gx-cx","malecns",1103,,,6101,7103,"complete",0.24670474187439465,0.912109375,0.0639201585404964
"malecns-a1103-gx-cx-t6101-l7104","malecns-a1103-gx-cx","malecns",1103,,,6101,7104,"complete",0.24748841831844953,0.91455078125,0.06383878686146774
"malecns-a1103-gx-cx-t6102-l7101","malecns-a1103-gx-cx","malecns",1103,,,6102,7101,"complete",0.23483664159048184,0.90966796875,0.06890363869654455
"malecns-a1103-gx-cx-t6102-l7102","malecns-a1103-gx-cx","malecns",1103,,,6102,7102,"complete",0.2334609654044915,0.907470703125,0.07258892549394697
"malecns-a1103-gx-cx-t6102-l7103","malecns-a1103-gx-cx","malecns",1103,,,6102,7103,"complete",0.23484072141788376,0.906494140625,0.0684974189518796
"malecns-a1103-gx-cx-t6102-l7104","malecns-a1103-gx-cx","malecns",1103,,,6102,7104,"complete",0.2339999821609848,0.91015625,0.06847668657930604
"malecns-a1103-gx-cx-t6103-l7101","malecns-a1103-gx-cx","malecns",1103,,,6103,7101,"complete",0.2732952247671781,0.8955078125,0.07477619781887579
"malecns-a1103-gx-cx-t6103-l7102","malecns-a1103-gx-cx","malecns",1103,,,6103,7102,"complete",0.2776446746833812,0.891845703125,0.07307949617711303
"malecns-a1103-gx-cx-t6103-l7103","malecns-a1103-gx-cx","malecns",1103,,,6103,7103,"complete",0.2753065556320362,0.899169921875,0.07853868334151995
"malecns-a1103-gx-cx-t6103-l7104","malecns-a1103-gx-cx","malecns",1103,,,6103,7104,"complete",0.2751381222415914,0.895263671875,0.07467667558780298
"malecns-a1103-gx-cx-t6104-l7101","malecns-a1103-gx-cx","malecns",1103,,,6104,7101,"complete",0.2715956651204685,0.894775390625,0.08107365209822091
"malecns-a1103-gx-cx-t6104-l7102","malecns-a1103-gx-cx","malecns",1103,,,6104,7102,"complete",0.2792541871773196,0.893798828125,0.07840198732693143
"malecns-a1103-gx-cx-t6104-l7103","malecns-a1103-gx-cx","malecns",1103,,,6104,7103,"complete",0.2746996272106617,0.8935546875,0.08347467895400035
"malecns-a1103-gx-cx-t6104-l7104","malecns-a1103-gx-cx","malecns",1103,,,6104,7104,"complete",0.27977361944464574,0.896240234375,0.07344119232304229
"malecns-a1104-gx-cx-t6101-l7101","malecns-a1104-gx-cx","malecns",1104,,,6101,7101,"complete",0.25100486125746985,0.907958984375,0.06228928047953702
"malecns-a1104-gx-cx-t6101-l7102","malecns-a1104-gx-cx","malecns",1104,,,6101,7102,"complete",0.2324102838077434,0.906494140625,0.06782077769603413
"malecns-a1104-gx-cx-t6101-l7103","malecns-a1104-gx-cx","malecns",1104,,,6101,7103,"complete",0.24664932408321488,0.911865234375,0.0639496467822095
"malecns-a1104-gx-cx-t6101-l7104","malecns-a1104-gx-cx","malecns",1104,,,6101,7104,"complete",0.24745589849728863,0.914306640625,0.06378735108178567
"malecns-a1104-gx-cx-t6102-l7101","malecns-a1104-gx-cx","malecns",1104,,,6102,7101,"complete",0.23490047447161105,0.909912109375,0.06896577498283187
"malecns-a1104-gx-cx-t6102-l7102","malecns-a1104-gx-cx","malecns",1104,,,6102,7102,"complete",0.23347755247425475,0.90673828125,0.07253165145088807
"malecns-a1104-gx-cx-t6102-l7103","malecns-a1104-gx-cx","malecns",1104,,,6102,7103,"complete",0.23490683614779148,0.9072265625,0.06846783254246072
"malecns-a1104-gx-cx-t6102-l7104","malecns-a1104-gx-cx","malecns",1104,,,6102,7104,"complete",0.23403070065109016,0.909912109375,0.06847552447862365
"malecns-a1104-gx-cx-t6103-l7101","malecns-a1104-gx-cx","malecns",1104,,,6103,7101,"complete",0.27331887236642943,0.895751953125,0.07482187773768174
"malecns-a1104-gx-cx-t6103-l7102","malecns-a1104-gx-cx","malecns",1104,,,6103,7102,"complete",0.27764097943179417,0.891357421875,0.07307579983084687
"malecns-a1104-gx-cx-t6103-l7103","malecns-a1104-gx-cx","malecns",1104,,,6103,7103,"complete",0.27543319275630046,0.899169921875,0.0785032388003929
"malecns-a1104-gx-cx-t6103-l7104","malecns-a1104-gx-cx","malecns",1104,,,6103,7104,"complete",0.27520471859353796,0.89501953125,0.07471546843618243
"malecns-a1104-gx-cx-t6104-l7101","malecns-a1104-gx-cx","malecns",1104,,,6104,7101,"complete",0.271523288886905,0.894287109375,0.0811088275185507
