seed,snapshot,source_kind,source_program_ordinal,step_offset,global_commit,step_status,program_present,program_left,program_right,program_len,delta_left,delta_right,invalid_source_step
9f4a7c15d6e8b301,600,ACTION,8,57,657,generated,true,72,10,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,58,658,generated,true,71,13,2,0.01,-0.02,0
9f4a7c15d6e8b301,600,ACTION,8,59,659,generated,true,96,113,2,-0.02,-0.02,0
9f4a7c15d6e8b301,600,ACTION,8,60,660,generated,true,75,13,2,0.02,-0.02,0
9f4a7c15d6e8b301,600,ACTION,8,61,661,generated,true,77,13,2,-0.02,-0.02,0
9f4a7c15d6e8b301,600,ACTION,8,62,662,generated,true,54,38,2,0,0.02,0
9f4a7c15d6e8b301,600,ACTION,8,63,663,generated,true,56,38,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,1,601,generated,true,31,62,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,2,602,generated,true,23,72,2,0.02,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,3,603,generated,true,118,102,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,4,604,generated,true,13,86,2,-0.02,0,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,5,605,generated,true,13,88,2,-0.02,0.01,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,6,606,generated,true,13,90,2,-0.02,0,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,7,607,generated,true,13,92,2,-0.02,-0.01,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,8,608,generated,true,2,105,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,9,609,generated,true,22,87,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,10,610,generated,true,6,105,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,11,611,generated,true,36,77,2,-0.02,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,12,612,generated,true,36,79,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,13,613,generated,true,38,79,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,14,614,generated,true,12,107,2,-0.02,0,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,15,615,generated,true,20,101,2,-0.02,0.01,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,16,616,generated,true,27,96,2,-0.02,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,17,617,generated,true,29,96,2,0.02,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,18,618,generated,true,31,96,2,-0.02,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,19,619,generated,true,5,1,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,20,620,generated,true,18,113,2,-0.02,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,21,621,generated,true,10,0,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,22,622,generated,true,11,1,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,23,623,generated,true,35,102,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,24,624,generated,true,23,116,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,25,625,generated,true,15,3,2,0.02,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,26,626,generated,true,15,5,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,27,627,generated,true,15,7,2,0.02,0.01,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,28,628,generated,true,16,8,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,29,629,generated,true,18,8,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,30,630,generated,true,18,10,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,31,631,generated,true,18,12,2,-0.02,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,32,632,generated,true,31,1,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,33,633,generated,true,19,15,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,34,634,generated,true,21,15,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,35,635,generated,true,25,13,2,0.02,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,36,636,generated,true,26,14,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,37,637,generated,true,22,20,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,38,638,generated,true,30,14,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,39,639,generated,true,32,14,2,-0.01,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,40,640,generated,true,37,11,2,-0.01,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,41,641,generated,true,61,112,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,42,642,generated,true,28,24,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,43,643,generated,true,77,100,2,-0.02,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,44,644,generated,true,34,22,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,45,645,generated,true,58,0,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,46,646,generated,true,38,22,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,47,647,generated,true,38,24,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,48,648,generated,true,63,1,2,-0.02,0.02,0
