seed,snapshot,domain,slot,selected_ordinal,c1_ordinal,c2_ordinal,selected_utility,c1_utility,c2_utility,utility_stratum,first_dx_units,first_dy_units,second_dx_units,second_dy_units,vector_residual_x,vector_residual_y,magnitude_error_units,selected_c1_utility_gap,c1_c2_utility_gap,status,duplicate_cc
c3a5c85c97cb3127,2400,D1_EXACT_VECTOR,0,2,30,16,-5.396008492e-4,-5.396008492e-4,-5.396008492e-4,2,-2,0,-2,0,0,0,0.000000000000e0,0.000000000e0,0.000000000e0,MATCHED,false
c3a5c85c97cb3127,2400,D1_EXACT_VECTOR,1,2,9,-1,-5.396008492e-4,-5.396008492e-4,,2,4,0,-1,-1,0,0,NaN,0.000000000e0,,NO_C2,false
c3a5c85c97cb3127,2400,D2_MAGNITUDE_ONLY,0,2,30,44,-5.396008492e-4,-5.396008492e-4,-5.396008492e-4,2,-2,0,1,0,-3,0,1.000000000000e0,0.000000000e0,0.000000000e0,MATCHED,false
c3a5c85c97cb3127,2400,D2_MAGNITUDE_ONLY,1,2,9,37,-5.396008492e-4,-5.396008492e-4,-5.396008492e-4,2,4,0,-3,0,7,0,1.000000000000e0,0.000000000e0,0.000000000e0,MATCHED,false
c3a5c85c97cb3127,4200,D1_EXACT_VECTOR,0,2,-1,-1,2.818971872e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
c3a5c85c97cb3127,4200,D1_EXACT_VECTOR,1,2,-1,-1,2.818971872e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
c3a5c85c97cb3127,4200,D2_MAGNITUDE_ONLY,0,2,-1,-1,2.818971872e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
c3a5c85c97cb3127,4200,D2_MAGNITUDE_ONLY,1,2,-1,-1,2.818971872e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
b492b66fbe98f273,600,D1_EXACT_VECTOR,0,16,-1,-1,1.040399075e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
b492b66fbe98f273,600,D1_EXACT_VECTOR,1,16,-1,-1,1.040399075e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
b492b66fbe98f273,600,D2_MAGNITUDE_ONLY,0,16,-1,-1,1.040399075e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
b492b66fbe98f273,600,D2_MAGNITUDE_ONLY,1,16,-1,-1,1.040399075e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
b492b66fbe98f273,2400,D1_EXACT_VECTOR,0,30,44,2,-7.862448692e-4,-7.790923119e-4,-7.724761963e-4,2,1,0,1,0,0,0,0.000000000000e0,7.152557373e-6,6.616115570e-6,MATCHED,false
b492b66fbe98f273,2400,D1_EXACT_VECTOR,1,30,2,23,-7.862448692e-4,-7.724761963e-4,-7.581114769e-4,2,2,0,2,0,0,0,0.000000000000e0,1.376867294e-5,1.436471939e-5,MATCHED,false
b492b66fbe98f273,2400,D2_MAGNITUDE_ONLY,0,30,44,37,-7.862448692e-4,-7.790923119e-4,-7.656514645e-4,2,1,0,2,0,-1,0,1.000000000000e0,7.152557373e-6,1.344084740e-5,MATCHED,false
b492b66fbe98f273,2400,D2_MAGNITUDE_ONLY,1,30,2,44,-7.862448692e-4,-7.724761963e-4,-7.790923119e-4,2,2,0,-1,0,3,0,1.000000000000e0,1.376867294e-5,6.616115570e-6,MATCHED,false
b492b66fbe98f273,4200,D1_EXACT_VECTOR,0,1,29,15,-5.385279655e-5,-5.385279655e-5,-5.385279655e-5,2,-2,0,-2,0,0,0,0.000000000000e0,0.000000000e0,0.000000000e0,MATCHED,false
b492b66fbe98f273,4200,D1_EXACT_VECTOR,1,1,15,-1,-5.385279655e-5,-5.385279655e-5,,2,-4,0,-1,-1,0,0,NaN,0.000000000e0,,NO_C2,false
b492b66fbe98f273,4200,D2_MAGNITUDE_ONLY,0,1,29,43,-5.385279655e-5,-5.385279655e-5,-5.385279655e-5,2,-2,0,1,0,-3,0,1.000000000000e0,0.000000000e0,0.000000000e0,MATCHED,false
