policy,epoch,loss_before,loss_after,accuracy_after,selected_primitives,programs,utility_evaluations
G0-dynamic-random,74,0.13520029,0.12825996,1.00000000,17,7,31858
G0-dynamic-random,75,0.12825996,0.12571697,1.00000000,17,9,32558
G0-dynamic-random,76,0.12571697,0.12299886,1.00000000,17,9,32888
G0-dynamic-random,77,0.12299886,0.11770240,1.00000000,17,7,28664
G0-dynamic-random,78,0.11770240,0.11565337,1.00000000,17,7,25944
G0-dynamic-random,79,0.11565337,0.11117938,1.00000000,17,9,31368
G0-dynamic-random,80,0.11117938,0.10921092,1.00000000,17,9,32543
G0-dynamic-random,81,0.10921092,0.10712969,1.00000000,16,6,23509
G0-dynamic-random,82,0.10712969,0.10546259,1.00000000,17,7,25859
G0-dynamic-random,83,0.10546259,0.10173397,1.00000000,16,8,28048
G0-dynamic-random,84,0.10173397,0.09715003,1.00000000,16,6,24384
G0-dynamic-random,85,0.09715003,0.09578380,1.00000000,16,6,21510
G0-dynamic-random,86,0.09578380,0.09259406,1.00000000,15,5,20225
G0-dynamic-random,87,0.09259406,0.08852315,1.00000000,16,6,20600
G0-dynamic-random,88,0.08852315,0.08438864,1.00000000,16,8,33037
G0-dynamic-random,89,0.08438864,0.08353596,1.00000000,17,7,29698
G0-dynamic-random,90,0.08353596,0.08120921,1.00000000,17,7,22130
G0-dynamic-random,91,0.08120921,0.07897009,1.00000000,17,7,19720
G0-dynamic-random,92,0.07897009,0.07856800,1.00000000,14,6,28173
G0-dynamic-random,93,0.07856800,0.07856800,1.00000000,0,0,3839
G0-dynamic-random,94,0.07856800,0.07856800,1.00000000,0,0,3839
G0-dynamic-random,95,0.07856800,0.07856800,1.00000000,0,0,4164
G0-dynamic-random,96,0.07856800,0.07856800,1.00000000,0,0,3564
G0-dynamic-random,97,0.07856800,0.07856800,1.00000000,0,0,4764
G0-dynamic-random,98,0.07856800,0.07856800,1.00000000,0,0,3564
G0-dynamic-random,99,0.07856800,0.07856800,1.00000000,0,0,4764
G0-dynamic-random,100,0.07856800,0.07856800,1.00000000,0,0,4439
G0-dynamic-random,101,0.07856800,0.07459091,1.00000000,16,6,24709
G0-dynamic-random,102,0.07459091,0.07078298,1.00000000,17,7,28273
G0-dynamic-random,103,0.07078298,0.06908664,1.00000000,15,5,20815
G0-dynamic-random,104,0.06908664,0.06709829,1.00000000,17,7,20265
G0-dynamic-random,105,0.06709829,0.06375071,1.00000000,17,7,28823
G0-dynamic-random,106,0.06375071,0.06186182,1.00000000,17,7,21525
G0-dynamic-random,107,0.06186182,0.06011050,1.00000000,17,7,21195
G0-dynamic-random,108,0.06011050,0.05813270,1.00000000,17,7,21140
G0-dynamic-random,109,0.05813270,0.05756946,1.00000000,15,5,19335
G0-dynamic-random,110,0.05756946,0.05714633,1.00000000,16,6,24609
G0-dynamic-random,111,0.05714633,0.05714633,1.00000000,0,0,3564
G0-dynamic-random,112,0.05714633,0.05714633,1.00000000,0,0,4764
G0-dynamic-random,113,0.05714633,0.05648375,1.00000000,17,7,20870
G0-dynamic-random,114,0.05648375,0.05470072,1.00000000,17,7,28223
G0-dynamic-random,115,0.05470072,0.05448543,1.00000000,17,7,29148
G0-dynamic-random,116,0.05448543,0.05448543,1.00000000,0,0,4164
G0-dynamic-random,117,0.05448543,0.05448543,1.00000000,0,0,4164
G0-dynamic-random,118,0.05448543,0.05448543,1.00000000,0,0,4439
G0-dynamic-random,119,0.05448543,0.05448543,1.00000000,0,0,4164
G0-dynamic-random,120,0.05448543,0.05448543,1.00000000,0,0,4764
G0-dynamic-random,121,0.05448543,0.05448543,1.00000000,0,0,3564
G0-dynamic-random,122,0.05448543,0.05448543,1.00000000,0,0,4764
G0-dynamic-random,123,0.05448543,0.05448543,1.00000000,0,0,5364
G0-dynamic-random,124,0.05448543,0.05448543,1.00000000,0,0,4764
G0-dynamic-random,125,0.05448543,0.05448543,1.00000000,0,0,3564
G0-dynamic-random,126,0.05448543,0.05448543,1.00000000,0,0,3564
G0-dynamic-random,127,0.05448543,0.05401970,1.00000000,15,5,20220
G0-dynamic-random,128,0.05401970,0.05401970,1.00000000,0,0,3839
G0-dynamic-random,129,0.05401970,0.05401970,1.00000000,0,0,4164
G0-dynamic-random,130,0.05401970,0.05401970,1.00000000,0,0,4164
G0-dynamic-random,131,0.05401970,0.05231701,1.00000000,17,9,30958
G0-dynamic-random,132,0.05231701,0.05167879,1.00000000,17,7,26048
G0-dynamic-random,133,0.05167879,0.05125769,1.00000000,17,7,21470
G0-dynamic-random,134,0.05125769,0.05085287,1.00000000,17,9,28608
G0-dynamic-random,135,0.05085287,0.04704975,1.00000000,17,7,22675
G0-dynamic-random,136,0.04704975,0.04346659,1.00000000,17,9,29743
G0-dynamic-random,137,0.04346659,0.04311923,1.00000000,17,7,28223
G0-dynamic-random,138,0.04311923,0.04187465,1.00000000,17,7,25304
G0-dynamic-random,139,0.04187465,0.04165001,1.00000000,17,7,30023
G0-dynamic-random,140,0.04165001,0.04144456,1.00000000,17,7,26098
G0-dynamic-random,141,0.04144456,0.03926237,1.00000000,17,7,21195
G0-dynamic-random,142,0.03926237,0.03805007,1.00000000,17,9,29203
G0-dynamic-random,143,0.03805007,0.03785781,1.00000000,15,5,22070
G0-dynamic-random,144,0.03785781,0.03757074,1.00000000,17,7,25909
G0-dynamic-random,145,0.03757074,0.03649933,1.00000000,15,5,20820
G0-dynamic-random,146,0.03649933,0.03628148,1.00000000,17,7,22130
G0-dynamic-random,147,0.03628148,0.03607988,1.00000000,15,5,20820
G0-dynamic-random,148,0.03607988,0.03586276,1.00000000,15,5,22340
G0-dynamic-random,149,0.03586276,0.03569191,1.00000000,17,7,26239
G0-dynamic-random,150,0.03569191,0.03568042,1.00000000,8,4,19295
G0-dynamic-random,151,0.03568042,0.03568042,1.00000000,0,0,3839
G0-dynamic-random,152,0.03568042,0.03553336,1.00000000,15,5,22345
G0-dynamic-random,153,0.03553336,0.03548719,1.00000000,10,4,21095
G0-dynamic-random,154,0.03548719,0.03444197,1.00000000,15,5,19620
G0-dynamic-random,155,0.03444197,0.03428624,1.00000000,17,9,27391
G0-dynamic-random,156,0.03428624,0.03426590,1.00000000,12,4,18770
G0-dynamic-random,157,0.03426590,0.03426590,1.00000000,0,0,3229
G0-dynamic-random,158,0.03426590,0.03426590,1.00000000,0,0,3554
G0-dynamic-random,159,0.03426590,0.03426590,1.00000000,0,0,3229
G0-dynamic-random,160,0.03426590,0.03426590,1.00000000,0,0,2954
G0-dynamic-random,161,0.03426590,0.03426590,1.00000000,0,0,3554
G0-dynamic-random,162,0.03426590,0.03426590,1.00000000,0,0,3229
G0-dynamic-random,163,0.03426590,0.03426590,1.00000000,0,0,4154
G0-dynamic-random,164,0.03426590,0.03426590,1.00000000,0,0,3504
G0-dynamic-random,165,0.03426590,0.03426590,1.00000000,0,0,4154
G0-dynamic-random,166,0.03426590,0.03237391,1.00000000,17,7,25978
G0-dynamic-random,167,0.03237391,0.03140905,1.00000000,16,6,20174
G0-dynamic-random,168,0.03140905,0.03053227,1.00000000,17,9,27737
G0-dynamic-random,169,0.03053227,0.03049655,1.00000000,5,3,12641
G0-dynamic-random,170,0.03049655,0.03049655,1.00000000,0,0,3554
G0-dynamic-random,171,0.03049655,0.03049655,1.00000000,0,0,3554
G0-dynamic-random,172,0.03049655,0.03049655,1.00000000,0,0,3829
G0-dynamic-random,173,0.03049655,0.03049655,1.00000000,0,0,3554
G0-dynamic-random,174,0.03049655,0.03049655,1.00000000,0,0,3229
G0-dynamic-random,175,0.03049655,0.03049655,1.00000000,0,0,4154
G0-dynamic-random,176,0.03049655,0.03046339,1.00000000,6,2,10287
G0-dynamic-random,177,0.03046339,0.03046339,1.00000000,0,0,2629
G0-dynamic-random,178,0.03046339,0.03046339,1.00000000,0,0,3504
G0-dynamic-random,179,0.03046339,0.03046339,1.00000000,0,0,3229
G0-dynamic-random,180,0.03046339,0.03046339,1.00000000,0,0,3229
