dataset_index,initialization_index,n_streams,projected_evaluation_loss,hash_evaluation_loss,paired_evaluation_loss_difference,projected_accuracy,hash_accuracy,projected_train_loss,hash_train_loss
0,0,2,2.942815661e0,3.067850351e0,-1.250346899e-1,0.510417,0.536458,3.298753053e-1,3.107167035e-1
0,1,2,1.465842605e0,1.378336728e0,8.750587702e-2,0.546875,0.578125,3.340584934e-1,4.163169712e-1
0,2,2,1.847081900e0,2.199589968e0,-3.525080681e-1,0.489583,0.541667,3.979413658e-1,2.789457962e-1
1,0,2,2.069950938e0,1.855821192e0,2.141297460e-1,0.500000,0.484375,1.821301356e-1,2.494758442e-1
1,1,2,1.600838900e0,1.818746924e0,-2.179080248e-1,0.572917,0.479167,3.296431005e-1,2.901365012e-1
1,2,2,1.618508220e0,1.791467726e0,-1.729595065e-1,0.479167,0.520833,4.067226052e-1,3.079638705e-1
2,0,2,1.643814445e0,1.480905116e0,1.629093289e-1,0.588542,0.546875,2.019734234e-1,2.426564619e-1
2,1,2,1.487738192e0,1.941897690e0,-4.541594982e-1,0.635417,0.552083,2.340040132e-1,3.079331592e-1
2,2,2,2.071635008e0,2.142663956e0,-7.102894783e-2,0.593750,0.463542,2.476165965e-1,3.852965385e-1
