dataset_index,initialization_index,stream_seed,arm,step,train_loss,evaluation_loss,evaluation_accuracy,parameter_fingerprint
1,0,a303ea0000000007,projected_order_1d,0,1.112860322e0,1.098026514e0,0.312500,9af297d07da8ccef
1,0,a303ea0000000007,projected_order_1d,600,8.944060802e-1,1.089355230e0,0.447917,39f2453d27bdcd8c
1,0,a303ea0000000007,projected_order_1d,2400,4.181552231e-1,1.417487502e0,0.479167,ed10b401869c3111
1,0,a303ea0000000007,projected_order_1d,4200,1.836419702e-1,2.025626898e0,0.500000,d510f01d4585f2c1
1,0,a303ea0000000007,hash_placebo,0,1.112860322e0,1.098026514e0,0.312500,9af297d07da8ccef
1,0,a303ea0000000007,hash_placebo,600,9.235365987e-1,1.073077440e0,0.375000,2435b39e5e903815
1,0,a303ea0000000007,hash_placebo,2400,4.964687824e-1,1.132314920e0,0.458333,342d20848ffe0f29
1,0,a303ea0000000007,hash_placebo,4200,2.731890082e-1,1.420374274e0,0.520833,41b7db647ecfd6c3
1,0,a303ea0000000008,projected_order_1d,0,1.112860322e0,1.098026514e0,0.312500,9af297d07da8ccef
1,0,a303ea0000000008,projected_order_1d,600,8.411588073e-1,1.080234766e0,0.416667,ff178ee460948f7d
1,0,a303ea0000000008,projected_order_1d,2400,3.538933992e-1,1.383560658e0,0.489583,a1cbc96a1d6bef94
1,0,a303ea0000000008,projected_order_1d,4200,1.806183010e-1,2.114274979e0,0.500000,edba7212cef78d6c
1,0,a303ea0000000008,hash_placebo,0,1.112860322e0,1.098026514e0,0.312500,9af297d07da8ccef
1,0,a303ea0000000008,hash_placebo,600,8.713772893e-1,1.072009921e0,0.416667,03b8ddc7556a9768
1,0,a303ea0000000008,hash_placebo,2400,3.720545471e-1,1.420363784e0,0.437500,cc5b8e8f599e1e6f
1,0,a303ea0000000008,hash_placebo,4200,2.257626802e-1,2.291268110e0,0.447917,1195dd712724ee97
1,1,a303ea0000000009,projected_order_1d,0,1.105260968e0,1.094355464e0,0.437500,8f7eaa706e75bec2
