dataset_index,dataset_seed,initialization_index,initialization_seed,stream_seed,arm,hash_partition_id,final_train_loss,final_evaluation_loss,final_evaluation_accuracy,accepted_updates,no_op_slots,beneficial_updates,harmful_updates,false_authorizations,false_authorization_rate,cumulative_beneficial_utility,cumulative_harmful_utility_noop_regret,p90_harmful_utility,p95_harmful_utility,p99_harmful_utility,max_harmful_utility,projected_feature_ns,partition_ns,panel_ns,policy_ns,shadow_ns,wall_ns
0,a303dada00000001,2,a3031a1700000003,a303ea0000000006,projected_order_1d,,4.435285628e-1,1.826289773e0,0.447917,4200,0,2638,1562,1562,0.37190476,1.542419821e0,8.548505902e-1,1.180112362e-3,1.475751400e-3,2.128005028e-3,3.086626530e-3,393900,358500,1927000,9274823500,49826400,9329398000
0,a303dada00000001,2,a3031a1700000003,a303ea0000000006,hash_placebo,2,3.315673470e-1,2.301899195e0,0.479167,4200,0,2779,1421,1421,0.33833333,1.476522803e0,6.769923568e-1,1.067459583e-3,1.350402832e-3,2.064257860e-3,5.325704813e-3,0,4300,2041000,9148696700,49293300,9201798400
1,a303dada00000002,0,a3031a1700000001,a303ea0000000007,projected_order_1d,,1.836419702e-1,2.025626898e0,0.500000,4200,0,3027,1173,1173,0.27928571,1.355836272e0,4.266179204e-1,7.847547531e-4,1.017153263e-3,1.872301102e-3,3.160908818e-3,314400,346000,1936400,9171402200,49596100,9225427300
1,a303dada00000002,0,a3031a1700000001,a303ea0000000007,hash_placebo,1,2.731890082e-1,1.420374274e0,0.520833,4200,0,2838,1362,1362,0.32428571,1.464537144e0,6.248658299e-1,1.011550426e-3,1.299470663e-3,1.987218857e-3,3.653794527e-3,0,4300,1782600,9124940200,49260400,9177767300
1,a303dada00000002,0,a3031a1700000001,a303ea0000000008,projected_order_1d,,1.806183010e-1,2.114274979e0,0.500000,4200,0,2954,1246,1246,0.29666667,1.394172356e0,4.619303346e-1,7.951557636e-4,1.059204340e-3,1.646250486e-3,2.209156752e-3,316200,357400,1731500,9089389900,49051000,9142525900
1,a303dada00000002,0,a3031a1700000001,a303ea0000000008,hash_placebo,5,2.257626802e-1,2.291268110e0,0.447917,4200,0,2824,1376,1376,0.32761905,1.457861602e0,5.707639605e-1,9.353160858e-4,1.210868359e-3,1.602560282e-3,2.538651228e-3,0,4600,1889700,9098974200,49322200,9151951000
1,a303dada00000002,1,a3031a1700000002,a303ea0000000009,projected_order_1d,,3.886421919e-1,1.422862411e0,0.541667,4200,0,2773,1427,1427,0.33976190,1.281457692e0,5.648389161e-1,8.584558964e-4,1.091539860e-3,1.531869173e-3,2.152204514e-3,320600,357900,1992400,9225707600,50033800,9280341900
1,a303dada00000002,1,a3031a1700000002,a303ea0000000009,hash_placebo,4,3.397905529e-1,1.712373376e0,0.552083,4200,0,2826,1374,1374,0.32714286,1.292914361e0,5.274439454e-1,8.569955826e-4,1.167178154e-3,1.589179039e-3,2.752959728e-3,0,3800,1983100,9239018200,49975700,9292912800
1,a303dada00000002,1,a3031a1700000002,a303ea000000000a,projected_order_1d,,2.706440091e-1,1.778815389e0,0.604167,4200,0,2934,1266,1266,0.30142857,1.301120043e0,4.665030837e-1,8.204579353e-4,1.039296389e-3,1.517057419e-3,2.009779215e-3,322500,372800,2063200,9213158300,50241200,9268080300
1,a303dada00000002,1,a3031a1700000002,a303ea000000000a,hash_placebo,0,2.404824495e-1,1.925120473e0,0.406250,4200,0,2846,1354,1354,0.32238095,1.413788274e0,5.490097553e-1,8.860826492e-4,1.147359610e-3,1.949578524e-3,2.997577190e-3,0,4600,1929900,9249348900,49652100,9302761600
1,a303dada00000002,2,a3031a1700000003,a303ea000000000b,projected_order_1d,,4.969124496e-1,1.271724939e0,0.552083,4200,0,2624,1576,1576,0.37523810,1.445194989e0,7.895506620e-1,1.112580299e-3,1.395940781e-3,2.155303955e-3,2.720415592e-3,313200,345300,1736000,9096073200,48687300,9148684100
1,a303dada00000002,2,a3031a1700000003,a303ea000000000b,hash_placebo,7,3.931219876e-1,1.621765256e0,0.500000,4200,0,2777,1423,1423,0.33880952,1.377994925e0,6.185601354e-1,9.507536888e-4,1.205325127e-3,1.881092787e-3,4.214674234e-3,0,4500,1791500,9179866200,50217400,9233514100
1,a303dada00000002,2,a3031a1700000003,a303ea000000000c,projected_order_1d,,3.165327609e-1,1.965291500e0,0.406250,4200,0,2787,1413,1413,0.33642857,1.462527752e0,6.265037358e-1,1.008987427e-3,1.284718513e-3,2.074360847e-3,3.219783306e-3,332700,355900,1948900,9124885200,49409500,9178611100
1,a303dada00000002,2,a3031a1700000003,a303ea000000000c,hash_placebo,3,2.228057534e-1,1.961170197e0,0.541667,4200,0,2851,1349,1349,0.32119048,1.482061997e0,5.523109734e-1,9.130835533e-4,1.196324825e-3,1.819133759e-3,3.028392792e-3,0,4200,1830700,9164036200,49190800,9217325600
2,a303dada00000003,0,a3031a1700000001,a303ea000000000d,projected_order_1d,,2.395137697e-1,1.393144965e0,0.593750,4200,0,2878,1322,1322,0.31476190,1.316291675e0,4.514752626e-1,7.786750793e-4,9.671449661e-4,1.297682524e-3,1.976668835e-3,325500,354600,1903700,9190327800,49765400,9244775300
2,a303dada00000003,0,a3031a1700000001,a303ea000000000d,hash_placebo,2,2.297939211e-1,1.575278759e0,0.562500,4200,0,2854,1346,1346,0.32047619,1.425627112e0,5.510908514e-1,8.881092072e-4,1.181364059e-3,1.719608903e-3,2.574294806e-3,0,4000,1934700,9145244400,49808000,9198907800
2,a303dada00000003,0,a3031a1700000001,a303ea000000000e,projected_order_1d,,1.644330770e-1,1.894483924e0,0.583333,4200,0,2890,1310,1310,0.31190476,1.542166084e0,6.022689790e-1,1.044750214e-3,1.340106130e-3,1.927614212e-3,3.370285034e-3,319600,365800,1885000,9130185800,49557100,9184209700
2,a303dada00000003,0,a3031a1700000001,a303ea000000000e,hash_placebo,6,2.555190027e-1,1.386531472e0,0.531250,4200,0,2816,1384,1384,0.32952381,1.448152542e0,5.993413627e-1,9.655952454e-4,1.217126846e-3,1.816749573e-3,3.976762295e-3,0,4400,1948500,9116304100,49312500,9169581600
2,a303dada00000003,1,a3031a1700000002,a303ea000000000f,projected_order_1d,,2.297025919e-1,1.436116338e0,0.677083,4200,0,2981,1219,1219,0.29023810,1.222159773e0,3.448862135e-1,6.174147129e-4,8.163452148e-4,1.175731421e-3,2.814471722e-3,332500,440500,2407300,9848558400,52744200,9907046200
2,a303dada00000003,1,a3031a1700000002,a303ea000000000f,hash_placebo,5,2.446744889e-1,1.613705993e0,0.583333,4200,0,2910,1290,1290,0.30714286,1.294634551e0,4.323328882e-1,7.270574570e-4,9.183883667e-4,1.442044973e-3,4.081279039e-3,0,4000,2144300,9271038400,50288400,9325510400
2,a303dada00000003,1,a3031a1700000002,a303ea0000000010,projected_order_1d,,2.383054346e-1,1.539360046e0,0.593750,4200,0,2848,1352,1352,0.32190476,1.363619730e0,4.949490130e-1,8.113384247e-4,1.046955585e-3,1.472830772e-3,2.318739891e-3,321000,335800,1945000,9204461700,49666700,9258452400
2,a303dada00000003,1,a3031a1700000002,a303ea0000000010,hash_placebo,1,3.711918294e-1,2.270089388e0,0.520833,4200,0,2708,1492,1492,0.35523810,1.574697196e0,8.389128745e-1,1.247346401e-3,1.644879580e-3,2.506375313e-3,4.965215921e-3,0,4500,1817400,9094078900,49306400,9146954400
2,a303dada00000003,2,a3031a1700000003,a303ea0000000011,projected_order_1d,,1.370670646e-1,2.103513479e0,0.625000,4200,0,3095,1105,1105,0.26309524,1.323383257e0,2.949132025e-1,5.997866392e-4,7.267892361e-4,1.127541065e-3,2.070873976e-3,314500,348200,1817400,9154961100,49315900,9208558900
2,a303dada00000003,2,a3031a1700000003,a303ea0000000011,hash_placebo,0,3.656099141e-1,2.052603006e0,0.468750,4200,0,2799,1401,1401,0.33357143,1.350211054e0,5.502838492e-1,8.760392666e-4,1.153051853e-3,1.886814833e-3,3.367006779e-3,0,4700,1893400,9131046800,49158000,9183964800
2,a303dada00000003,2,a3031a1700000003,a303ea0000000012,projected_order_1d,,3.581661284e-1,2.039756536e0,0.562500,4200,0,2809,1391,1391,0.33119048,1.352021039e0,5.446500480e-1,8.654892445e-4,1.152426004e-3,1.719981432e-3,2.767860889e-3,319800,365100,2075200,9248754300,50419100,9303984900
2,a303dada00000003,2,a3031a1700000003,a303ea0000000012,hash_placebo,4,4.049831629e-1,2.232724905e0,0.458333,4200,0,2777,1423,1423,0.33880952,1.298481047e0,5.379270911e-1,8.325576782e-4,1.151978970e-3,2.016663551e-3,3.003776073e-3,0,4900,2052600,9195216800,49393400,9248637600
