seed,snapshot_step,control_slot,horizon,pg_valid,pc_valid,delta_pg,delta_pc,source_interaction,cumulative_j_pg,cumulative_j_pc,distance_pg,distance_pc,pg_invalid_step,pc_invalid_step
c3a5c85c97cb3127,600,0,1,true,true,-1.800060272217e-5,-1.800060272217e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999997913837e-3,9.999997913837e-3,0,0
c3a5c85c97cb3127,600,0,2,true,true,-1.692771911621e-5,-1.692771911621e-5,0.000000000000e0,1.072883605957e-6,1.072883605957e-6,9.999997913837e-3,9.999997913837e-3,0,0
c3a5c85c97cb3127,600,0,4,true,true,-1.525878906250e-5,-1.525878906250e-5,0.000000000000e0,2.741813659668e-6,2.741813659668e-6,9.999997913837e-3,9.999997913837e-3,0,0
c3a5c85c97cb3127,600,0,8,true,true,-2.217292785645e-5,-2.217292785645e-5,0.000000000000e0,-4.172325134277e-6,-4.172325134277e-6,9.999997913837e-3,9.999997913837e-3,0,0
c3a5c85c97cb3127,600,0,16,true,true,-5.245208740234e-6,-4.649162292480e-6,-5.960464477539e-7,1.275539398193e-5,1.335144042969e-5,9.999997913837e-3,9.999997913837e-3,0,0
c3a5c85c97cb3127,600,0,32,true,true,-1.657009124756e-5,-1.752376556396e-5,9.536743164062e-7,1.430511474609e-6,4.768371582031e-7,9.999997913837e-3,9.999997913837e-3,0,0
c3a5c85c97cb3127,600,0,64,true,true,-1.013278961182e-5,-1.263618469238e-5,2.503395080566e-6,7.867813110352e-6,5.364418029785e-6,9.999997913837e-3,9.999997913837e-3,0,0
c3a5c85c97cb3127,600,1,1,true,true,-2.706050872803e-5,-2.706050872803e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.499999314547e-2,1.499999314547e-2,0,0
c3a5c85c97cb3127,600,1,2,true,true,-2.586841583252e-5,-2.586841583252e-5,0.000000000000e0,1.192092895508e-6,1.192092895508e-6,1.499999314547e-2,1.499999314547e-2,0,0
c3a5c85c97cb3127,600,1,4,true,true,-2.288818359375e-5,-2.288818359375e-5,0.000000000000e0,4.172325134277e-6,4.172325134277e-6,1.499999314547e-2,1.499999314547e-2,0,0
