seed,snapshot_step,control_slot,path_source,future_step,horizon,event,left_parameter,right_parameter,program_len,left_delta,right_delta,gap_before,gap_after,cumulative_mixed,replayed,invalid_step
c3a5c85c97cb3127,600,0,selected,0,1,initial,-1,-1,0,0,0,-1.800060272217e-5,-1.800060272217e-5,0,true,0
c3a5c85c97cb3127,600,0,selected,1,2,program,119,97,2,0.020000000,0.020000000,-1.800060272217e-5,-1.692771911621e-5,1.072883605957e-6,true,0
c3a5c85c97cb3127,600,0,selected,2,3,program,116,102,2,0.020000000,0.020000000,-1.692771911621e-5,-1.597404479980e-5,2.026557922363e-6,true,0
c3a5c85c97cb3127,600,0,selected,3,4,program,118,102,2,-0.020000000,0.020000000,-1.597404479980e-5,-1.525878906250e-5,2.741813659668e-6,true,0
c3a5c85c97cb3127,600,0,selected,4,5,program,18,81,2,0.020000000,-0.020000000,-1.525878906250e-5,-1.835823059082e-5,-3.576278686523e-7,true,0
c3a5c85c97cb3127,600,0,selected,5,6,program,34,67,2,-0.020000000,-0.010000000,-1.835823059082e-5,-1.859664916992e-5,-5.960464477539e-7,true,0
c3a5c85c97cb3127,600,0,selected,6,7,program,18,85,2,0.020000000,-0.020000000,-1.859664916992e-5,-2.181529998779e-5,-3.814697265625e-6,true,0
c3a5c85c97cb3127,600,0,selected,7,8,program,34,71,2,-0.020000000,-0.010000000,-2.181529998779e-5,-2.217292785645e-5,-4.172325134277e-6,true,0
c3a5c85c97cb3127,600,0,selected,8,9,program,18,89,2,-0.020000000,-0.020000000,-2.217292785645e-5,-1.585483551025e-5,2.145767211914e-6,true,0
c3a5c85c97cb3127,600,0,selected,9,10,program,18,91,2,-0.020000000,0.010000000,-1.585483551025e-5,-1.180171966553e-5,6.198883056641e-6,true,0
c3a5c85c97cb3127,600,0,selected,10,11,program,18,93,2,-0.020000000,-0.010000000,-1.180171966553e-5,-8.463859558105e-6,9.536743164062e-6,true,0
c3a5c85c97cb3127,600,0,selected,11,12,program,18,95,2,-0.020000000,0.010000000,-8.463859558105e-6,-4.291534423828e-6,1.370906829834e-5,true,0
c3a5c85c97cb3127,600,0,selected,12,13,program,36,79,2,-0.020000000,-0.010000000,-4.291534423828e-6,-3.933906555176e-6,1.406669616699e-5,true,0
c3a5c85c97cb3127,600,0,selected,13,14,program,36,81,2,-0.020000000,-0.020000000,-3.933906555176e-6,-3.933906555176e-6,1.406669616699e-5,true,0
c3a5c85c97cb3127,600,0,selected,14,15,program,14,105,2,0.020000000,-0.020000000,-3.933906555176e-6,-5.960464477539e-6,1.204013824463e-5,true,0
c3a5c85c97cb3127,600,0,selected,15,16,program,36,85,2,-0.020000000,-0.020000000,-5.960464477539e-6,-5.245208740234e-6,1.275539398193e-5,true,0
c3a5c85c97cb3127,600,0,selected,16,17,program,3,120,2,-0.010000000,0.020000000,-5.245208740234e-6,-9.298324584961e-6,8.702278137207e-6,true,0
c3a5c85c97cb3127,600,0,selected,17,18,program,7,118,2,-0.020000000,-0.020000000,-9.298324584961e-6,-8.583068847656e-6,9.417533874512e-6,true,0
c3a5c85c97cb3127,600,0,selected,18,19,program,7,120,2,-0.020000000,0.010000000,-8.583068847656e-6,-1.013278961182e-5,7.867813110352e-6,true,0
c3a5c85c97cb3127,600,0,selected,19,20,program,6,0,2,-0.010000000,-0.020000000,-1.013278961182e-5,-1.084804534912e-5,7.152557373047e-6,true,0
c3a5c85c97cb3127,600,0,selected,20,21,program,18,113,2,0.020000000,0.010000000,-1.084804534912e-5,-1.609325408936e-5,1.907348632812e-6,true,0
c3a5c85c97cb3127,600,0,selected,21,22,program,18,115,2,0.020000000,-0.010000000,-1.609325408936e-5,-1.931190490723e-5,-1.311302185059e-6,true,0
c3a5c85c97cb3127,600,0,selected,22,23,program,18,117,2,0.020000000,-0.020000000,-1.931190490723e-5,-2.324581146240e-5,-5.245208740234e-6,true,0
c3a5c85c97cb3127,600,0,selected,23,24,program,18,119,2,0.020000000,-0.010000000,-2.324581146240e-5,-2.670288085938e-5,-8.702278137207e-6,true,0
c3a5c85c97cb3127,600,0,selected,24,25,program,15,1,2,-0.020000000,0.020000000,-2.670288085938e-5,-2.574920654297e-5,-7.748603820801e-6,true,0
c3a5c85c97cb3127,600,0,selected,25,26,program,44,97,2,-0.020000000,0.020000000,-2.574920654297e-5,-2.467632293701e-5,-6.675720214844e-6,true,0
c3a5c85c97cb3127,600,0,selected,26,27,program,11,9,2,0.020000000,0.020000000,-2.467632293701e-5,-2.408027648926e-5,-6.079673767090e-6,true,0
c3a5c85c97cb3127,600,0,selected,27,28,program,21,1,2,-0.010000000,0.020000000,-2.408027648926e-5,-2.479553222656e-5,-6.794929504395e-6,true,0
c3a5c85c97cb3127,600,0,selected,28,29,program,19,5,2,-0.010000000,0.020000000,-2.479553222656e-5,-2.455711364746e-5,-6.556510925293e-6,true,0
c3a5c85c97cb3127,600,0,selected,29,30,program,16,10,2,0.020000000,-0.020000000,-2.455711364746e-5,-2.169609069824e-5,-3.695487976074e-6,true,0
c3a5c85c97cb3127,600,0,selected,30,31,program,38,113,2,0.020000000,-0.020000000,-2.169609069824e-5,-1.919269561768e-5,-1.192092895508e-6,true,0
c3a5c85c97cb3127,600,0,selected,31,32,program,40,113,2,-0.020000000,-0.020000000,-1.919269561768e-5,-1.657009124756e-5,1.430511474609e-6,true,0
c3a5c85c97cb3127,600,0,selected,32,33,program,74,81,2,0.020000000,0.010000000,-1.657009124756e-5,-1.537799835205e-5,2.622604370117e-6,true,0
c3a5c85c97cb3127,600,0,selected,33,34,program,74,83,2,0.020000000,-0.010000000,-1.537799835205e-5,-1.490116119385e-5,3.099441528320e-6,true,0
c3a5c85c97cb3127,600,0,selected,34,35,program,74,85,2,0.020000000,0.020000000,-1.490116119385e-5,-1.382827758789e-5,4.172325134277e-6,true,0
c3a5c85c97cb3127,600,0,selected,35,36,program,74,87,2,0.020000000,-0.020000000,-1.382827758789e-5,-1.299381256104e-5,5.006790161133e-6,true,0
c3a5c85c97cb3127,600,0,selected,36,37,program,35,5,2,-0.020000000,0.020000000,-1.299381256104e-5,-1.263618469238e-5,5.364418029785e-6,true,0
c3a5c85c97cb3127,600,0,selected,37,38,program,37,5,2,0.020000000,0.020000000,-1.263618469238e-5,-1.263618469238e-5,5.364418029785e-6,true,0
c3a5c85c97cb3127,600,0,selected,38,39,program,39,5,2,-0.020000000,0.020000000,-1.263618469238e-5,-1.263618469238e-5,5.364418029785e-6,true,0
c3a5c85c97cb3127,600,0,selected,39,40,program,74,95,2,0.020000000,0.010000000,-1.263618469238e-5,-1.144409179688e-5,6.556510925293e-6,true,0
c3a5c85c97cb3127,600,0,selected,40,41,program,32,16,2,-0.020000000,-0.010000000,-1.144409179688e-5,-1.382827758789e-5,4.172325134277e-6,true,0
c3a5c85c97cb3127,600,0,selected,41,42,program,38,12,2,-0.020000000,0.020000000,-1.382827758789e-5,-1.418590545654e-5,3.814697265625e-6,true,0
c3a5c85c97cb3127,600,0,selected,42,43,program,50,2,2,0.020000000,0.020000000,-1.418590545654e-5,-1.430511474609e-5,3.695487976074e-6,true,0
c3a5c85c97cb3127,600,0,selected,43,44,program,54,0,2,0.020000000,-0.020000000,-1.430511474609e-5,-1.609325408936e-5,1.907348632812e-6,true,0
