state_id,cell_id,dataset_id,initialization_id,stage,action_id,training_exact,final_measurement_exact
0,0,0,0,600,0,1.341104507446e-5,-7.867813110352e-6
0,0,0,0,600,1,8.344650268555e-6,-3.814697265625e-6
0,0,0,0,600,2,-2.640485763550e-5,-4.482269287109e-5
0,0,0,0,600,3,-5.555152893066e-5,-9.012222290039e-5
0,0,0,0,600,4,-1.883506774902e-5,-1.325607299805e-4
0,0,0,0,600,5,-5.263090133667e-5,-2.679824829102e-4
0,0,0,0,600,6,-5.120038986206e-5,-2.014636993408e-5
0,0,0,0,600,7,-1.015663146973e-4,-4.065036773682e-5
0,0,0,0,600,8,-1.543760299683e-5,-1.537799835205e-5
0,0,0,0,600,9,-3.385543823242e-5,-3.111362457275e-5
0,0,0,0,600,10,-1.889467239380e-5,0.000000000000e0
0,0,0,0,600,11,2.574920654297e-5,1.597404479980e-5
0,0,0,0,600,12,9.822845458984e-5,4.956722259521e-4
0,0,0,0,600,13,1.872181892395e-4,1.002788543701e-3
0,0,0,0,600,14,2.824664115906e-4,6.510019302368e-4
0,0,0,0,600,15,1.422762870789e-4,3.269910812378e-4
0,0,0,0,600,16,8.636713027954e-5,6.611347198486e-4
0,0,0,0,600,17,4.404783248901e-5,3.333091735840e-4
0,0,0,0,600,18,5.811452865601e-5,7.605552673340e-5
0,0,0,0,600,19,1.031756401062e-4,2.064704895020e-4
0,0,0,0,600,20,3.874301910400e-6,-1.431226730347e-3
0,0,0,0,600,21,1.260638237000e-4,-2.676606178284e-3
0,0,0,0,600,22,2.353787422180e-4,3.767013549805e-5
0,0,0,0,600,23,1.032948493958e-4,-1.311302185059e-6
0,0,0,0,600,24,1.683831214905e-4,-5.118846893311e-4
0,0,0,0,600,25,3.061294555664e-4,-7.390975952148e-6
0,0,0,0,600,26,-1.263618469238e-5,-1.699924468994e-4
0,0,0,0,600,27,7.629394531250e-6,-2.346038818359e-4
0,0,0,0,600,28,-8.422136306763e-5,4.171133041382e-4
0,0,0,0,600,29,-2.114176750183e-4,4.425048828125e-4
0,0,0,0,600,30,2.354383468628e-5,-4.839897155762e-5
0,0,0,0,600,31,1.242756843567e-4,2.868175506592e-4
0,0,0,0,600,32,1.817941665649e-5,3.361701965332e-5
0,0,0,0,600,33,3.576278686523e-5,1.201629638672e-4
0,0,0,0,600,34,1.292824745178e-4,1.913309097290e-4
0,0,0,0,600,35,6.860494613647e-5,9.965896606445e-5
0,0,0,0,600,36,-2.256035804749e-4,-1.044511795044e-3
0,0,0,0,600,37,-4.444122314453e-4,-1.986145973206e-3
0,0,0,0,600,38,-1.721382141113e-4,-6.365776062012e-5
0,0,0,0,600,39,-8.219480514526e-5,-3.218650817871e-5
0,0,0,0,600,40,-1.909732818604e-4,-1.603364944458e-4
0,0,0,0,600,41,-8.702278137207e-5,-7.700920104980e-5
0,0,0,0,600,42,3.397464752197e-6,-9.775161743164e-5
0,0,0,0,600,43,-3.647804260254e-5,-1.845359802246e-4
0,0,0,0,600,44,2.986192703247e-5,-2.248287200928e-4
0,0,0,0,600,45,3.767013549805e-5,-9.667873382568e-5
0,0,0,0,600,46,-5.602836608887e-5,-3.957748413086e-5
0,0,0,0,600,47,-4.810094833374e-5,6.008148193359e-5
0,0,0,0,600,48,1.888871192932e-4,3.280639648438e-4
0,0,0,0,600,49,3.117918968201e-4,8.004903793335e-4
0,0,0,0,600,50,-6.914138793945e-5,8.344650268555e-6
0,0,0,0,600,51,3.159046173096e-6,3.385543823242e-5
0,0,0,0,600,52,-3.820657730103e-5,8.845329284668e-5
0,0,0,0,600,53,-8.106231689453e-6,5.400180816650e-5
0,0,0,0,600,54,3.170967102051e-5,-7.510185241699e-5
0,0,0,0,600,55,2.288818359375e-5,-1.430511474609e-5
0,0,0,0,600,56,4.673004150391e-5,-1.573562622070e-4
0,0,0,0,600,57,3.522634506226e-5,-7.653236389160e-5
0,0,0,0,600,58,2.105236053467e-4,1.680850982666e-4
0,0,0,0,600,59,1.082420349121e-4,8.451938629150e-5
0,0,0,0,600,60,5.823373794556e-5,-1.713037490845e-4
0,0,0,0,600,61,8.815526962280e-5,-4.887580871582e-4
0,0,0,0,600,62,7.706880569458e-5,3.790855407715e-5
0,0,0,0,600,63,1.174211502075e-5,1.573562622070e-5
0,0,0,0,600,64,-1.270174980164e-4,-4.441738128662e-4
0,0,0,0,600,65,-6.175041198730e-5,-2.233982086182e-4
0,0,0,0,600,66,1.284480094910e-4,-5.099773406982e-4
0,0,0,0,600,67,7.104873657227e-5,-2.561807632446e-4
0,0,0,0,600,68,8.219480514526e-5,1.798868179321e-4
0,0,0,0,600,69,1.872181892395e-4,4.088878631592e-4
0,0,0,0,600,70,6.181001663208e-5,1.534223556519e-4
0,0,0,0,600,71,1.165270805359e-4,2.920627593994e-4
0,0,0,0,600,72,3.733038902283e-4,2.082586288452e-4
0,0,0,0,600,73,1.850128173828e-4,1.001358032227e-4
0,0,0,0,600,74,4.076957702637e-5,6.461143493652e-5
0,0,0,0,600,75,8.374452590942e-5,2.002716064453e-4
0,0,0,0,600,76,-1.460313796997e-5,-1.406669616699e-5
0,0,0,0,600,77,-2.562999725342e-6,1.430511474609e-5
0,0,0,0,600,78,-7.873773574829e-5,-1.758337020874e-4
0,0,0,0,600,79,-3.832578659058e-5,-8.630752563477e-5
0,0,0,0,600,80,1.542568206787e-4,-4.613399505615e-5
0,0,0,0,600,81,9.411573410034e-5,-3.361701965332e-5
0,0,0,0,600,82,-1.710653305054e-5,-1.065731048584e-4
0,0,0,0,600,83,-4.827976226807e-6,-1.300573348999e-4
0,0,0,0,600,84,-2.932548522949e-5,4.029273986816e-4
0,0,0,0,600,85,4.768371582031e-7,3.818273544312e-4
0,0,0,0,600,86,-1.089572906494e-4,1.605749130249e-4
0,0,0,0,600,87,-2.079606056213e-4,-5.984306335449e-5
0,0,0,0,600,88,-1.072883605957e-4,2.980232238770e-6
0,0,0,0,600,89,-5.316734313965e-5,2.467632293701e-5
0,0,0,0,600,90,-2.908706665039e-5,4.756450653076e-5
0,0,0,0,600,91,4.589557647705e-6,8.463859558105e-5
0,0,0,0,600,92,1.576542854309e-4,-1.299381256104e-5
0,0,0,0,600,93,6.586313247681e-5,-6.079673767090e-6
0,0,0,0,600,94,-1.674294471741e-4,2.646446228027e-4
0,0,0,0,600,95,-8.755922317505e-5,3.387928009033e-4
0,0,0,0,600,96,1.904964447021e-4,3.919601440430e-4
0,0,0,0,600,97,9.793043136597e-5,2.126693725586e-4
0,0,0,0,600,98,1.192092895508e-6,-5.555152893066e-5
0,0,0,0,600,99,-2.199411392212e-5,-2.760887145996e-4
0,0,0,0,600,100,-9.888410568237e-5,6.520748138428e-5
0,0,0,0,600,101,-2.461671829224e-5,3.752708435059e-4
0,0,0,0,600,102,-1.151561737061e-4,-3.229379653931e-4
0,0,0,0,600,103,-3.767013549805e-5,-1.394748687744e-4
0,0,0,0,600,104,-2.503395080566e-5,-1.610517501831e-4
0,0,0,0,600,105,-2.270936965942e-5,-2.962350845337e-4
0,0,0,0,600,106,-7.373094558716e-5,-3.106594085693e-4
0,0,0,0,600,107,-5.120038986206e-5,-4.211664199829e-4
0,0,0,0,600,108,2.163648605347e-5,-1.795768737793e-3
0,0,0,0,600,109,3.439188003540e-5,-8.780956268311e-4
0,0,0,0,600,110,1.934170722961e-4,9.127855300903e-4
0,0,0,0,600,111,1.173019409180e-4,4.823207855225e-4
0,0,0,0,600,112,-2.593398094177e-4,-9.032487869263e-4
0,0,0,0,600,113,-2.816319465637e-4,-2.692461013794e-3
0,0,0,0,600,114,-2.068877220154e-4,-3.639698028564e-3
0,0,0,0,600,115,-7.054805755615e-4,-3.645777702332e-3
0,0,0,0,600,116,-6.538629531860e-5,4.007816314697e-4
0,0,0,0,600,117,-1.283288002014e-4,8.671283721924e-4
0,0,0,0,600,118,-2.799034118652e-4,8.552074432373e-4
0,0,0,0,600,119,-6.259083747864e-4,1.700043678284e-3
0,0,0,0,600,120,-2.091526985168e-4,-2.049207687378e-3
0,0,0,0,600,121,-9.268522262573e-5,-1.015424728394e-3
0,0,0,0,600,122,-3.862977027893e-4,-1.203298568726e-3
0,0,0,0,600,123,-1.749396324158e-4,-5.868673324585e-4
0,0,0,0,600,124,-3.418326377869e-4,-7.433891296387e-4
0,0,0,0,600,125,-1.689791679382e-4,-3.706216812134e-4
0,0,0,0,600,126,1.120567321777e-5,3.309249877930e-4
0,0,0,0,600,127,9.357929229736e-6,1.662969589233e-4
0,0,0,0,600,128,1.600384712219e-4,1.108646392822e-4
0,0,0,0,600,129,2.384185791016e-5,-4.246234893799e-4
0,0,0,0,600,130,1.850724220276e-4,-2.225637435913e-3
0,0,0,0,600,131,2.020597457886e-5,-1.305699348450e-3
0,0,0,0,600,132,-1.782178878784e-5,-4.243850708008e-5
0,0,0,0,600,133,-6.139278411865e-6,-3.242492675781e-5
0,0,0,0,600,134,-1.665949821472e-4,-3.157854080200e-4
0,0,0,0,600,135,-8.040666580200e-5,-1.735687255859e-4
0,0,0,0,600,136,7.295608520508e-5,-5.524158477783e-4
0,0,0,0,600,137,1.043081283569e-5,-4.792213439941e-4
0,0,0,0,600,138,1.347064971924e-4,9.179115295410e-5
0,0,0,0,600,139,1.800656318665e-4,2.774000167847e-4
0,0,0,0,600,140,-4.379153251648e-4,-1.303553581238e-3
0,0,0,0,600,141,-2.069473266602e-4,-6.532669067383e-4
0,0,0,0,600,142,9.202957153320e-5,1.325607299805e-4
0,0,0,0,600,143,4.488229751587e-5,6.461143493652e-5
0,0,0,0,600,144,5.620718002319e-5,-6.960630416870e-4
0,0,0,0,600,145,3.057718276978e-5,-3.631114959717e-4
0,0,0,0,600,146,-1.087784767151e-4,-1.069307327271e-4
0,0,0,0,600,147,-1.792907714844e-4,-7.245540618896e-4
0,0,0,0,600,148,3.552436828613e-5,5.775690078735e-4
0,0,0,0,600,149,8.296966552734e-5,1.141667366028e-3
0,0,0,0,600,150,5.531311035156e-5,2.925395965576e-4
0,0,0,0,600,151,9.936094284058e-5,5.751848220825e-4
0,0,0,0,600,152,5.286931991577e-5,-1.788139343262e-5
0,0,0,0,600,153,2.783536911011e-5,-5.218982696533e-4
0,0,0,0,600,154,-1.220703125000e-4,-1.072883605957e-6
0,0,0,0,600,155,-4.965066909790e-5,9.775161743164e-6
0,0,0,0,600,156,2.783536911011e-5,-1.313686370850e-4
0,0,0,0,600,157,1.770257949829e-5,-6.461143493652e-5
0,0,0,0,600,158,1.649856567383e-4,1.183748245239e-4
0,0,0,0,600,159,1.165270805359e-4,6.604194641113e-5
0,0,0,0,600,160,1.420974731445e-4,4.434585571289e-5
0,0,0,0,600,161,7.152557373047e-5,2.300739288330e-5
0,0,0,0,600,162,-1.779198646545e-4,-6.895065307617e-4
0,0,0,0,600,163,-6.073713302612e-5,-3.465414047241e-4
0,0,0,0,600,164,-2.589821815491e-4,1.499652862549e-4
0,0,0,0,600,165,-1.229643821716e-4,8.296966552734e-5
0,0,0,0,600,166,1.097321510315e-4,-8.828639984131e-4
0,0,0,0,600,167,3.212690353394e-5,-4.760026931763e-4
0,0,0,0,600,168,6.008148193359e-5,3.230571746826e-5
0,0,0,0,600,169,9.709596633911e-5,6.008148193359e-5
1,0,0,0,2400,0,1.550912857056e-4,-5.806684494019e-4
1,0,0,0,2400,1,8.565187454224e-5,-2.812147140503e-4
1,0,0,0,2400,2,1.776218414307e-4,-1.434087753296e-4
1,0,0,0,2400,3,1.646876335144e-4,-2.381801605225e-4
1,0,0,0,2400,4,1.592636108398e-4,2.043485641479e-3
1,0,0,0,2400,5,2.849698066711e-4,1.243233680725e-3
1,0,0,0,2400,6,2.881288528442e-4,1.107811927795e-3
1,0,0,0,2400,7,1.496672630310e-4,5.580186843872e-4
1,0,0,0,2400,8,1.420974731445e-4,1.138091087341e-3
1,0,0,0,2400,9,8.571147918701e-5,5.630254745483e-4
1,0,0,0,2400,10,-2.806782722473e-4,4.347562789917e-4
1,0,0,0,2400,11,3.033876419067e-5,3.125667572021e-4
1,0,0,0,2400,12,1.019835472107e-4,6.576776504517e-4
1,0,0,0,2400,13,7.128715515137e-5,4.664659500122e-4
1,0,0,0,2400,14,3.865957260132e-4,2.560496330261e-3
1,0,0,0,2400,15,2.059936523438e-4,1.289248466492e-3
1,0,0,0,2400,16,3.514289855957e-4,-2.133607864380e-3
1,0,0,0,2400,17,1.886487007141e-4,-1.061201095581e-3
1,0,0,0,2400,18,4.471540451050e-4,7.510185241699e-6
1,0,0,0,2400,19,2.312064170837e-4,-2.264976501465e-6
1,0,0,0,2400,20,4.135370254517e-4,9.418725967407e-4
1,0,0,0,2400,21,1.899003982544e-4,4.160404205322e-5
1,0,0,0,2400,22,-1.635551452637e-4,-1.633524894714e-3
1,0,0,0,2400,23,-7.301568984985e-5,-8.109807968140e-4
1,0,0,0,2400,24,9.036064147949e-5,1.697063446045e-3
1,0,0,0,2400,25,7.760524749756e-5,7.470846176147e-4
1,0,0,0,2400,26,8.273124694824e-5,-4.532337188721e-4
1,0,0,0,2400,27,4.643201828003e-5,-2.318620681763e-4
1,0,0,0,2400,28,1.673698425293e-4,-1.827597618103e-3
1,0,0,0,2400,29,9.262561798096e-5,-9.187459945679e-4
1,0,0,0,2400,30,1.716613769531e-5,2.236485481262e-3
1,0,0,0,2400,31,1.484155654907e-5,1.126170158386e-3
1,0,0,0,2400,32,3.718137741089e-4,-5.387067794800e-4
1,0,0,0,2400,33,1.993179321289e-4,-2.603530883789e-4
1,0,0,0,2400,34,-1.569986343384e-4,1.384139060974e-3
1,0,0,0,2400,35,-3.057718276978e-5,1.437306404114e-3
1,0,0,0,2400,36,4.434585571289e-4,-7.073879241943e-4
1,0,0,0,2400,37,2.335309982300e-4,-3.421306610107e-4
1,0,0,0,2400,38,-2.646446228027e-5,-5.291700363159e-4
1,0,0,0,2400,39,-1.609325408936e-6,3.854036331177e-4
1,0,0,0,2400,40,3.367662429810e-4,3.128647804260e-3
1,0,0,0,2400,41,1.946687698364e-4,1.577973365784e-3
1,0,0,0,2400,42,-3.890991210938e-4,-3.306865692139e-4
1,0,0,0,2400,43,-1.847743988037e-4,-1.606941223145e-4
1,0,0,0,2400,44,-3.689527511597e-5,4.736185073853e-4
1,0,0,0,2400,45,1.001358032227e-5,-1.215934753418e-4
1,0,0,0,2400,46,-4.923343658447e-4,4.882454872131e-3
1,0,0,0,2400,47,-6.675720214844e-5,-3.857612609863e-4
1,0,0,0,2400,48,3.076791763306e-4,1.288414001465e-3
1,0,0,0,2400,49,3.346800804138e-4,7.778406143188e-4
1,0,0,0,2400,50,5.506277084351e-4,1.323342323303e-3
1,0,0,0,2400,51,2.949237823486e-4,6.741285324097e-4
1,0,0,0,2400,52,1.133680343628e-4,9.711980819702e-4
1,0,0,0,2400,53,7.808208465576e-5,5.043745040894e-4
1,0,0,0,2400,54,2.813339233398e-5,-2.920389175415e-3
1,0,0,0,2400,55,1.680850982666e-5,-1.724123954773e-3
1,0,0,0,2400,56,5.429983139038e-5,-9.152889251709e-4
1,0,0,0,2400,57,4.994869232178e-5,-4.450082778931e-4
1,0,0,0,2400,58,1.136660575867e-4,5.122423171997e-4
1,0,0,0,2400,59,7.092952728271e-5,2.772808074951e-4
1,0,0,0,2400,60,2.950429916382e-4,-1.112580299377e-3
1,0,0,0,2400,61,1.628398895264e-4,-5.410909652710e-4
1,0,0,0,2400,62,8.773803710938e-5,-1.454949378967e-3
1,0,0,0,2400,63,2.588629722595e-4,-3.728747367859e-3
1,0,0,0,2400,64,-3.671646118164e-5,4.380464553833e-3
1,0,0,0,2400,65,3.457069396973e-6,2.210378646851e-3
1,0,0,0,2400,66,-1.429915428162e-4,-1.470208168030e-3
1,0,0,0,2400,67,-2.741813659668e-5,-5.148649215698e-4
1,0,0,0,2400,68,5.149841308594e-5,2.074241638184e-5
1,0,0,0,2400,69,-3.576278686523e-7,1.083612442017e-4
1,0,0,0,2400,70,-1.428127288818e-4,2.789497375488e-5
1,0,0,0,2400,71,-8.928775787354e-5,2.576112747192e-4
1,0,0,0,2400,72,1.156330108643e-5,6.960630416870e-4
1,0,0,0,2400,73,-4.571676254272e-5,7.442235946655e-4
1,0,0,0,2400,74,6.520748138428e-5,1.161098480225e-4
1,0,0,0,2400,75,3.266334533691e-5,5.614757537842e-5
1,0,0,0,2400,76,9.536743164062e-7,-1.324415206909e-4
1,0,0,0,2400,77,7.271766662598e-6,-7.045269012451e-5
1,0,0,0,2400,78,-5.924701690674e-5,1.216053962708e-3
1,0,0,0,2400,79,-1.161098480225e-4,2.353787422180e-3
1,0,0,0,2400,80,-2.450942993164e-4,-9.455680847168e-4
1,0,0,0,2400,81,-1.062154769897e-4,-4.658699035645e-4
1,0,0,0,2400,82,6.556510925293e-6,4.994869232178e-5
1,0,0,0,2400,83,8.821487426758e-6,2.253055572510e-5
