seed,snapshot_step,control_slot,complete,censor_reason,paths_diverged,differing_future_programs,first_difference_commit,cumulative_action_vector_l1,net_cumulative_displacement_l1,delta_pg,delta_pc,source_interaction
1f83d9abfb41bd6b,600,0,true,,true,19,4,1.185000000000e0,6.850000000000e-1,-4.521608352661e-4,9.655952453613e-6,-4.618167877197e-4
1f83d9abfb41bd6b,600,1,true,,true,11,20,7.700000000000e-1,5.300000000000e-1,-4.601478576660e-4,-1.429915428162e-4,-3.171563148499e-4
1f83d9abfb41bd6b,2400,0,true,,true,22,2,1.385000000000e0,7.650000000000e-1,-1.479089260101e-3,-5.488395690918e-4,-9.302496910095e-4
1f83d9abfb41bd6b,2400,1,true,,true,22,2,1.385000000000e0,7.650000000000e-1,-1.490414142609e-3,-5.560517311096e-4,-9.343624114990e-4
3c6ef372fe94f82b,600,0,true,,false,0,,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0
3c6ef372fe94f82b,600,1,true,,false,0,,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0
3c6ef372fe94f82b,2400,0,true,,true,11,5,4.950000000000e-1,4.150000000000e-1,8.907914161682e-5,9.065866470337e-5,-1.579523086548e-6
3c6ef372fe94f82b,2400,1,true,,true,11,5,5.050000000000e-1,4.250000000000e-1,1.208782196045e-4,1.393854618073e-4,-1.850724220276e-5
510e527fade682d1,600,0,true,,true,8,9,5.100000000000e-1,3.500000000000e-1,-5.578994750977e-5,5.021691322327e-4,-5.579590797424e-4
510e527fade682d1,600,1,true,,true,9,9,5.700000000000e-1,3.700000000000e-1,1.231431961060e-4,3.126859664917e-4,-1.895427703857e-4
510e527fade682d1,2400,0,true,,true,5,16,2.800000000000e-1,2.400000000000e-1,-3.516077995300e-4,-3.948211669922e-4,4.321336746216e-5
6a09e667f3bcc909,600,0,true,,false,0,,0.000000000000e0,0.000000000000e0,-5.465745925903e-5,-5.465745925903e-5,0.000000000000e0
6a09e667f3bcc909,600,1,true,,true,8,44,5.600000000000e-1,4.000000000000e-1,-8.320808410645e-5,-9.089708328247e-5,7.688999176025e-6
6a09e667f3bcc909,2400,0,true,,true,2,42,1.500000000000e-2,5.000000000000e-3,-4.282593727112e-5,-4.354119300842e-5,7.152557373047e-7
6a09e667f3bcc909,4200,0,false,bounds_or_incomplete_path,false,0,,,,,,
6a09e667f3bcc909,4200,1,true,,true,27,1,1.625000000000e0,7.750000000000e-1,-2.426564693451e-3,-1.802325248718e-3,-6.242394447327e-4
9f4a7c15d6e8b301,2400,0,true,,true,3,46,2.100000000000e-1,1.300000000000e-1,1.361668109894e-4,1.336932182312e-4,2.473592758179e-6
9f4a7c15d6e8b301,2400,1,true,,true,20,18,1.140000000000e0,6.000000000000e-1,-1.383721828461e-4,-1.186132431030e-4,-1.975893974304e-5
9f4a7c15d6e8b301,4200,0,true,,true,25,1,1.455000000000e0,7.950000000000e-1,8.539855480194e-4,1.515030860901e-3,-6.610453128815e-4
9f4a7c15d6e8b301,4200,1,true,,true,23,3,1.370000000000e0,8.500000000000e-1,6.525516510010e-4,8.771717548370e-4,-2.246201038361e-4
a54ff53a5f1d36f1,4200,0,true,,false,0,,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0
a54ff53a5f1d36f1,4200,1,true,,false,0,,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0
b492b66fbe98f273,2400,0,true,,true,1,41,5.000000000000e-3,5.000000000000e-3,7.241964340210e-6,1.025199890137e-5,-3.010034561157e-6
b492b66fbe98f273,2400,1,true,,true,2,40,1.500000000000e-2,1.500000000000e-2,1.353025436401e-5,2.324581146240e-5,-9.715557098389e-6
b492b66fbe98f273,4200,0,true,,false,0,,0.000000000000e0,0.000000000000e0,-8.940696716309e-8,-8.940696716309e-8,0.000000000000e0
b492b66fbe98f273,4200,1,true,,false,0,,0.000000000000e0,0.000000000000e0,-1.490116119385e-7,-1.490116119385e-7,0.000000000000e0
bb67ae8584caa73b,600,0,true,,true,14,19,8.850000000000e-1,5.550000000000e-1,-8.326768875122e-5,-1.103878021240e-4,2.712011337280e-5
bb67ae8584caa73b,600,1,true,,true,14,19,8.900000000000e-1,5.700000000000e-1,-1.266598701477e-4,-1.669526100159e-4,4.029273986816e-5
bb67ae8584caa73b,2400,0,true,,true,15,4,9.450000000000e-1,5.650000000000e-1,-6.968975067139e-4,-8.372366428375e-4,1.403391361237e-4
bb67ae8584caa73b,2400,1,true,,true,14,4,9.050000000000e-1,5.250000000000e-1,-9.664297103882e-4,-7.108747959137e-4,-2.555549144745e-4
c3a5c85c97cb3127,600,0,true,,false,0,,0.000000000000e0,0.000000000000e0,7.569789886475e-6,7.569789886475e-6,0.000000000000e0
c3a5c85c97cb3127,600,1,true,,true,19,26,1.220000000000e0,5.400000000000e-1,-7.510185241699e-6,-2.324581146240e-6,-5.185604095459e-6
c3a5c85c97cb3127,2400,0,true,,false,0,,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0
c3a5c85c97cb3127,2400,1,true,,false,0,,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0
