seed,snapshot_step,control_slot,horizon,pg_valid,pc_valid,delta_pg,delta_pc,source_interaction,cumulative_j_pg,cumulative_j_pc,distance_pg,distance_pc,pg_invalid_step,pc_invalid_step
9f4a7c15d6e8b301,4200,1,64,true,true,6.525516510010e-4,8.771717548370e-4,-2.246201038361e-4,6.605684757233e-4,8.851885795593e-4,1.802775077522e-2,1.802775077522e-2,0,0
c3a5c85c97cb3127,600,0,1,true,true,-5.364418029785e-7,-5.364418029785e-7,0.000000000000e0,0.000000000000e0,0.000000000000e0,4.999998956919e-3,4.999998956919e-3,0,0
c3a5c85c97cb3127,600,0,2,true,true,-1.192092895508e-7,-1.192092895508e-7,0.000000000000e0,4.172325134277e-7,4.172325134277e-7,4.999998956919e-3,4.999998956919e-3,0,0
c3a5c85c97cb3127,600,0,4,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,5.364418029785e-7,5.364418029785e-7,4.999998956919e-3,4.999998956919e-3,0,0
c3a5c85c97cb3127,600,0,8,true,true,7.748603820801e-7,7.748603820801e-7,0.000000000000e0,1.311302185059e-6,1.311302185059e-6,4.999998956919e-3,4.999998956919e-3,0,0
c3a5c85c97cb3127,600,0,16,true,true,2.980232238770e-7,2.980232238770e-7,0.000000000000e0,8.344650268555e-7,8.344650268555e-7,4.999998956919e-3,4.999998956919e-3,0,0
c3a5c85c97cb3127,600,0,32,true,true,9.834766387939e-6,9.834766387939e-6,0.000000000000e0,1.037120819092e-5,1.037120819092e-5,4.999998956919e-3,4.999998956919e-3,0,0
c3a5c85c97cb3127,600,0,64,true,true,7.569789886475e-6,7.569789886475e-6,0.000000000000e0,8.106231689453e-6,8.106231689453e-6,4.999998956919e-3,4.999998956919e-3,0,0
c3a5c85c97cb3127,600,1,1,true,true,5.364418029785e-7,5.364418029785e-7,0.000000000000e0,0.000000000000e0,0.000000000000e0,4.999998956919e-3,4.999998956919e-3,0,0
c3a5c85c97cb3127,600,1,2,true,true,1.788139343262e-7,1.788139343262e-7,0.000000000000e0,-3.576278686523e-7,-3.576278686523e-7,4.999998956919e-3,4.999998956919e-3,0,0
c3a5c85c97cb3127,600,1,4,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,-5.364418029785e-7,-5.364418029785e-7,4.999998956919e-3,4.999998956919e-3,0,0
c3a5c85c97cb3127,600,1,8,true,true,-8.344650268555e-7,-8.344650268555e-7,0.000000000000e0,-1.370906829834e-6,-1.370906829834e-6,4.999998956919e-3,4.999998956919e-3,0,0
c3a5c85c97cb3127,600,1,16,true,true,-2.384185791016e-7,-2.384185791016e-7,0.000000000000e0,-7.748603820801e-7,-7.748603820801e-7,4.999998956919e-3,4.999998956919e-3,0,0
c3a5c85c97cb3127,600,1,32,true,true,-1.001358032227e-5,-9.596347808838e-6,-4.172325134277e-7,-1.055002212524e-5,-1.013278961182e-5,4.999998956919e-3,4.999998956919e-3,0,0
c3a5c85c97cb3127,600,1,64,true,true,-7.510185241699e-6,-2.324581146240e-6,-5.185604095459e-6,-8.046627044678e-6,-2.861022949219e-6,4.999998956919e-3,4.999998956919e-3,0,0
c3a5c85c97cb3127,2400,0,1,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999997913837e-3,9.999997913837e-3,0,0
c3a5c85c97cb3127,2400,0,2,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999997913837e-3,9.999997913837e-3,0,0
c3a5c85c97cb3127,2400,0,4,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999997913837e-3,9.999997913837e-3,0,0
c3a5c85c97cb3127,2400,0,8,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999997913837e-3,9.999997913837e-3,0,0
c3a5c85c97cb3127,2400,0,16,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999997913837e-3,9.999997913837e-3,0,0
c3a5c85c97cb3127,2400,0,32,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999997913837e-3,9.999997913837e-3,0,0
c3a5c85c97cb3127,2400,0,64,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999997913837e-3,9.999997913837e-3,0,0
c3a5c85c97cb3127,2400,1,1,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999955297e-2,1.999999955297e-2,0,0
c3a5c85c97cb3127,2400,1,2,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999955297e-2,1.999999955297e-2,0,0
c3a5c85c97cb3127,2400,1,4,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999955297e-2,1.999999955297e-2,0,0
c3a5c85c97cb3127,2400,1,8,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999955297e-2,1.999999955297e-2,0,0
c3a5c85c97cb3127,2400,1,16,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999955297e-2,1.999999955297e-2,0,0
c3a5c85c97cb3127,2400,1,32,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999955297e-2,1.999999955297e-2,0,0
c3a5c85c97cb3127,2400,1,64,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.999999955297e-2,1.999999955297e-2,0,0
b492b66fbe98f273,2400,0,1,true,true,7.152557373047e-6,7.152557373047e-6,0.000000000000e0,0.000000000000e0,0.000000000000e0,4.999995231628e-3,4.999995231628e-3,0,0
b492b66fbe98f273,2400,0,2,true,true,6.556510925293e-6,6.556510925293e-6,0.000000000000e0,-5.960464477539e-7,-5.960464477539e-7,4.999995231628e-3,4.999995231628e-3,0,0
b492b66fbe98f273,2400,0,4,true,true,1.052021980286e-5,1.052021980286e-5,0.000000000000e0,3.367662429810e-6,3.367662429810e-6,4.999995231628e-3,4.999995231628e-3,0,0
b492b66fbe98f273,2400,0,8,true,true,4.768371582031e-6,4.768371582031e-6,0.000000000000e0,-2.384185791016e-6,-2.384185791016e-6,4.999995231628e-3,4.999995231628e-3,0,0
b492b66fbe98f273,2400,0,16,true,true,3.397464752197e-6,3.397464752197e-6,0.000000000000e0,-3.755092620850e-6,-3.755092620850e-6,4.999995231628e-3,4.999995231628e-3,0,0
b492b66fbe98f273,2400,0,32,true,true,7.867813110352e-6,7.867813110352e-6,0.000000000000e0,7.152557373047e-7,7.152557373047e-7,4.999995231628e-3,4.999995231628e-3,0,0
b492b66fbe98f273,2400,0,64,true,true,7.241964340210e-6,1.025199890137e-5,-3.010034561157e-6,8.940696716309e-8,3.099441528320e-6,4.999995231628e-3,4.999995231628e-3,0,0
b492b66fbe98f273,2400,1,1,true,true,1.376867294312e-5,1.376867294312e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999997913837e-3,9.999997913837e-3,0,0
b492b66fbe98f273,2400,1,2,true,true,1.248717308044e-5,1.248717308044e-5,0.000000000000e0,-1.281499862671e-6,-1.281499862671e-6,9.999997913837e-3,9.999997913837e-3,0,0
b492b66fbe98f273,2400,1,4,true,true,1.955032348633e-5,1.955032348633e-5,0.000000000000e0,5.781650543213e-6,5.781650543213e-6,9.999997913837e-3,9.999997913837e-3,0,0
b492b66fbe98f273,2400,1,8,true,true,9.775161743164e-6,9.775161743164e-6,0.000000000000e0,-3.993511199951e-6,-3.993511199951e-6,9.999990463257e-3,9.999990463257e-3,0,0
b492b66fbe98f273,2400,1,16,true,true,7.063150405884e-6,7.063150405884e-6,0.000000000000e0,-6.705522537231e-6,-6.705522537231e-6,9.999990463257e-3,9.999990463257e-3,0,0
b492b66fbe98f273,2400,1,32,true,true,1.630187034607e-5,1.630187034607e-5,0.000000000000e0,2.533197402954e-6,2.533197402954e-6,9.999990463257e-3,9.999990463257e-3,0,0
b492b66fbe98f273,2400,1,64,true,true,1.353025436401e-5,2.324581146240e-5,-9.715557098389e-6,-2.384185791016e-7,9.477138519287e-6,9.999990463257e-3,9.999990463257e-3,0,0
b492b66fbe98f273,4200,0,1,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999990463257e-3,9.999990463257e-3,0,0
b492b66fbe98f273,4200,0,2,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999990463257e-3,9.999990463257e-3,0,0
b492b66fbe98f273,4200,0,4,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999990463257e-3,9.999990463257e-3,0,0
b492b66fbe98f273,4200,0,8,true,true,-8.940696716309e-8,-8.940696716309e-8,0.000000000000e0,-8.940696716309e-8,-8.940696716309e-8,9.999990463257e-3,9.999990463257e-3,0,0
b492b66fbe98f273,4200,0,16,true,true,-1.788139343262e-7,-1.788139343262e-7,0.000000000000e0,-1.788139343262e-7,-1.788139343262e-7,9.999990463257e-3,9.999990463257e-3,0,0
b492b66fbe98f273,4200,0,32,true,true,-1.192092895508e-7,-1.192092895508e-7,0.000000000000e0,-1.192092895508e-7,-1.192092895508e-7,9.999990463257e-3,9.999990463257e-3,0,0
b492b66fbe98f273,4200,0,64,true,true,-8.940696716309e-8,-8.940696716309e-8,0.000000000000e0,-8.940696716309e-8,-8.940696716309e-8,9.999990463257e-3,9.999990463257e-3,0,0
b492b66fbe98f273,4200,1,1,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,2.000001072884e-2,2.000001072884e-2,0,0
b492b66fbe98f273,4200,1,2,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,2.000001072884e-2,2.000001072884e-2,0,0
b492b66fbe98f273,4200,1,4,true,true,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,2.000001072884e-2,2.000001072884e-2,0,0
b492b66fbe98f273,4200,1,8,true,true,-2.384185791016e-7,-2.384185791016e-7,0.000000000000e0,-2.384185791016e-7,-2.384185791016e-7,2.000001072884e-2,2.000001072884e-2,0,0
b492b66fbe98f273,4200,1,16,true,true,-3.278255462646e-7,-3.278255462646e-7,0.000000000000e0,-3.278255462646e-7,-3.278255462646e-7,2.000001072884e-2,2.000001072884e-2,0,0
b492b66fbe98f273,4200,1,32,true,true,-2.682209014893e-7,-2.682209014893e-7,0.000000000000e0,-2.682209014893e-7,-2.682209014893e-7,2.000001072884e-2,2.000001072884e-2,0,0
b492b66fbe98f273,4200,1,64,true,true,-1.490116119385e-7,-1.490116119385e-7,0.000000000000e0,-1.490116119385e-7,-1.490116119385e-7,2.000001072884e-2,2.000001072884e-2,0,0
6a09e667f3bcc909,600,0,1,true,true,-2.062320709229e-5,-2.062320709229e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000002026558e-2,1.000002026558e-2,0,0
