seed,snapshot_step,matched,control_slot,left_parameter,right_parameter,g3_left_delta,g3_right_delta,g3_utility,control_left_delta,control_right_delta,control_utility,utility_gap,control_stratum,g3_stratum,match_tolerance
9f4a7c15d6e8b301,600,false,0,31,60,-0.020000000,-0.020000000,0.000680387,0,0,0,0,0,1,0.00005
9f4a7c15d6e8b301,600,false,1,31,60,-0.020000000,-0.020000000,0.000680387,0,0,0,0,0,1,0.00005
9f4a7c15d6e8b301,2400,true,0,112,12,0.005000000,0.020000000,0.000612795,0.010000000,0.020000000,0.000632465,0.000019670,1,1,0.000050000
9f4a7c15d6e8b301,2400,true,1,112,12,0.005000000,0.020000000,0.000612795,0.000000000,0.020000000,0.000590652,0.000022143,1,1,0.000050000
9f4a7c15d6e8b301,4200,true,0,62,95,0.020000000,-0.010000000,-0.000015616,0.000000000,-0.005000000,-0.000015378,0.000000238,2,2,0.000050000
9f4a7c15d6e8b301,4200,true,1,62,95,0.020000000,-0.010000000,-0.000015616,0.005000000,-0.020000000,-0.000023633,0.000008017,2,2,0.000050000
c3a5c85c97cb3127,600,true,0,13,78,-0.020000000,0.000000000,0.000711024,-0.020000000,-0.005000000,0.000710487,0.000000536,1,1,0.000050000
c3a5c85c97cb3127,600,true,1,13,78,-0.020000000,0.000000000,0.000711024,-0.020000000,0.005000000,0.000711560,0.000000536,1,1,0.000050000
c3a5c85c97cb3127,2400,true,0,115,9,0.000000000,0.020000000,-0.000539601,0.010000000,0.020000000,-0.000539601,0.000000000,2,2,0.000050000
c3a5c85c97cb3127,2400,true,1,115,9,0.000000000,0.020000000,-0.000539601,-0.020000000,0.020000000,-0.000539601,0.000000000,2,2,0.000050000
c3a5c85c97cb3127,4200,false,0,21,13,0.000000000,0.020000000,0.002818972,0,0,0,0,0,1,0.00005
c3a5c85c97cb3127,4200,false,1,21,13,0.000000000,0.020000000,0.002818972,0,0,0,0,0,1,0.00005
b492b66fbe98f273,600,false,0,112,102,0.020000000,0.020000000,0.001040399,0,0,0,0,0,1,0.00005
b492b66fbe98f273,600,false,1,112,102,0.020000000,0.020000000,0.001040399,0,0,0,0,0,1,0.00005
b492b66fbe98f273,2400,true,0,93,31,0.010000000,0.020000000,-0.000786245,0.005000000,0.020000000,-0.000779092,0.000007153,2,2,0.000050000
b492b66fbe98f273,2400,true,1,93,31,0.010000000,0.020000000,-0.000786245,0.000000000,0.020000000,-0.000772476,0.000013769,2,2,0.000050000
b492b66fbe98f273,4200,true,0,68,89,0.000000000,-0.020000000,-0.000053853,0.010000000,-0.020000000,-0.000053853,0.000000000,2,2,0.000050000
b492b66fbe98f273,4200,true,1,68,89,0.000000000,-0.020000000,-0.000053853,0.020000000,-0.020000000,-0.000053853,0.000000000,2,2,0.000050000
6a09e667f3bcc909,600,true,0,13,78,-0.020000000,0.020000000,0.000539303,-0.020000000,0.010000000,0.000518680,0.000020623,1,1,0.000050000
6a09e667f3bcc909,600,true,1,13,78,-0.020000000,0.020000000,0.000539303,-0.020000000,0.005000000,0.000507593,0.000031710,1,1,0.000050000
6a09e667f3bcc909,2400,true,0,66,58,0.020000000,-0.020000000,0.000621885,0.010000000,-0.020000000,0.000578761,0.000043124,1,1,0.000050000
6a09e667f3bcc909,2400,false,1,66,58,0.020000000,-0.020000000,0.000621885,0,0,0,0,0,1,0.00005
6a09e667f3bcc909,4200,true,0,23,11,0.020000000,0.000000000,0.000230908,0.010000000,-0.005000000,0.000213623,0.000017285,1,1,0.000050000
6a09e667f3bcc909,4200,true,1,23,11,0.020000000,0.000000000,0.000230908,0.010000000,0.000000000,0.000272423,0.000041515,1,1,0.000050000
bb67ae8584caa73b,600,true,0,16,75,-0.020000000,0.020000000,0.000405490,-0.020000000,0.010000000,0.000387013,0.000018477,1,1,0.000050000
bb67ae8584caa73b,600,true,1,16,75,-0.020000000,0.020000000,0.000405490,-0.020000000,0.005000000,0.000375748,0.000029743,1,1,0.000050000
bb67ae8584caa73b,2400,true,0,112,12,-0.010000000,-0.020000000,-0.000322819,-0.010000000,-0.005000000,-0.000310540,0.000012279,2,2,0.000050000
bb67ae8584caa73b,2400,true,1,112,12,-0.010000000,-0.020000000,-0.000322819,-0.010000000,0.000000000,-0.000340134,0.000017315,2,2,0.000050000
bb67ae8584caa73b,4200,false,0,24,10,0.020000000,0.020000000,0.002859861,0,0,0,0,0,1,0.00005
bb67ae8584caa73b,4200,false,1,24,10,0.020000000,0.020000000,0.002859861,0,0,0,0,0,1,0.00005
3c6ef372fe94f82b,600,true,0,0,91,0.020000000,0.000000000,0.000447035,0.020000000,-0.010000000,0.000447035,0.000000000,1,1,0.000050000
3c6ef372fe94f82b,600,true,1,0,91,0.020000000,0.000000000,0.000447035,0.020000000,-0.005000000,0.000447035,0.000000000,1,1,0.000050000
3c6ef372fe94f82b,2400,true,0,108,16,-0.020000000,0.020000000,0.001122922,-0.010000000,0.020000000,0.001105368,0.000017554,1,1,0.000050000
3c6ef372fe94f82b,2400,true,1,108,16,-0.020000000,0.020000000,0.001122922,-0.005000000,0.020000000,0.001084566,0.000038356,1,1,0.000050000
3c6ef372fe94f82b,4200,false,0,39,118,0.020000000,-0.020000000,0.001933664,0,0,0,0,0,1,0.00005
3c6ef372fe94f82b,4200,false,1,39,118,0.020000000,-0.020000000,0.001933664,0,0,0,0,0,1,0.00005
a54ff53a5f1d36f1,600,false,0,112,102,0.020000000,0.020000000,0.000964224,0,0,0,0,0,1,0.00005
a54ff53a5f1d36f1,600,false,1,112,102,0.020000000,0.020000000,0.000964224,0,0,0,0,0,1,0.00005
a54ff53a5f1d36f1,2400,false,0,108,16,-0.020000000,0.020000000,0.000888526,0,0,0,0,0,1,0.00005
a54ff53a5f1d36f1,2400,false,1,108,16,-0.020000000,0.020000000,0.000888526,0,0,0,0,0,1,0.00005
a54ff53a5f1d36f1,4200,true,0,65,92,0.000000000,-0.020000000,0.001096576,-0.010000000,-0.020000000,0.001096576,0.000000000,1,1,0.000050000
a54ff53a5f1d36f1,4200,true,1,65,92,0.000000000,-0.020000000,0.001096576,0.005000000,-0.020000000,0.001096576,0.000000000,1,1,0.000050000
510e527fade682d1,600,true,0,12,79,-0.020000000,-0.010000000,-0.000230312,0.005000000,-0.010000000,-0.000254750,0.000024438,2,2,0.000050000
510e527fade682d1,600,true,1,12,79,-0.020000000,-0.010000000,-0.000230312,0.010000000,0.000000000,-0.000195205,0.000035107,2,2,0.000050000
510e527fade682d1,2400,true,0,116,8,0.020000000,0.020000000,0.000627518,0.020000000,0.010000000,0.000592113,0.000035405,1,1,0.000050000
510e527fade682d1,2400,false,1,116,8,0.020000000,0.020000000,0.000627518,0,0,0,0,0,1,0.00005
510e527fade682d1,4200,false,0,22,12,0.020000000,-0.010000000,0.004881620,0,0,0,0,0,1,0.00005
510e527fade682d1,4200,false,1,22,12,0.020000000,-0.010000000,0.004881620,0,0,0,0,0,1,0.00005
1f83d9abfb41bd6b,600,true,0,15,76,0.020000000,-0.020000000,0.000315845,0.010000000,0.010000000,0.000308394,0.000007451,1,1,0.000050000
1f83d9abfb41bd6b,600,true,1,15,76,0.020000000,-0.020000000,0.000315845,0.010000000,0.005000000,0.000277936,0.000037909,1,1,0.000050000
1f83d9abfb41bd6b,2400,true,0,101,23,0.020000000,-0.020000000,0.000300109,0.000000000,-0.010000000,0.000302613,0.000002503,1,1,0.000050000
1f83d9abfb41bd6b,2400,true,1,101,23,0.020000000,-0.020000000,0.000300109,-0.005000000,-0.010000000,0.000295401,0.000004709,1,1,0.000050000
1f83d9abfb41bd6b,4200,false,0,23,11,-0.020000000,0.005000000,-0.000772119,0,0,0,0,0,2,0.00005
1f83d9abfb41bd6b,4200,false,1,23,11,-0.020000000,0.005000000,-0.000772119,0,0,0,0,0,2,0.00005
