seed,n,mean_delta_selected_path_h64,mean_delta_control_path_h64,mean_source_interaction_h64,selected_better_selected_path,selected_better_control_path
9f4a7c15d6e8b301,4,3.760829567909e-4,6.018206477165e-4,-2.257376909256e-4,1,1
c3a5c85c97cb3127,4,1.490116119385e-8,1.311302185059e-6,-1.296401023865e-6,1,1
b492b66fbe98f273,4,5.133450031281e-6,8.314847946167e-6,-3.181397914886e-6,2,2
6a09e667f3bcc909,4,-6.518140435219e-4,-4.978552460670e-4,-1.539587974548e-4,4,4
bb67ae8584caa73b,4,-4.683136940002e-4,-4.563629627228e-4,-1.195073127747e-5,4,4
3c6ef372fe94f82b,4,5.248934030533e-5,5.751103162766e-5,-5.021691322327e-6,0,0
a54ff53a5f1d36f1,2,0.000000000000e0,0.000000000000e0,0.000000000000e0,0,0
510e527fade682d1,3,-9.475151697795e-5,1.400113105774e-4,-2.347628275553e-4,2,1
1f83d9abfb41bd6b,4,-9.704530239105e-4,-3.095567226410e-4,-6.608963012695e-4,4,3
