method,seed,n_states,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
development_response_oracle,,18,2.366581847260e-5,4.176270718681e-4,4.105168636832e-4,0.185127615,3.845390552202e-4,4.665488358060e-4,0.079861111
evaluation_state_response_oracle,,18,2.205614675266e-5,4.015799885488e-4,4.053289803955e-4,0.181503849,3.710840315136e-4,4.343111255151e-4,0.067708333
gradient_full123,,18,2.260796021874e-5,4.064047802773e-4,4.041007916854e-4,0.182457060,4.014450323603e-4,4.773506762916e-4,0.074652778
hash_placebo_mean,,18,4.836741662095e-5,6.505791622878e-4,6.509493438531e-4,0.269265435,5.683599777385e-4,7.168096875458e-4,0.158420139
input_only,,18,3.480625936549e-5,5.265783745881e-4,5.309693451319e-4,0.222047698,4.613047657504e-4,5.652962544534e-4,0.104166667
state_stats,,18,4.608492237011e-5,6.141256583180e-4,6.123988054991e-4,0.252929408,5.515755098236e-4,6.912355857143e-4,0.151909722
