role,seed,step,train_loss,parameter_fingerprint,development_candidates,evaluation_candidates,eligible_blocks,bounds_skipped_blocks
development,8a6d39c17f02b4e5,600,1.026818871,3dd75021c4fe23bc,122,122,61,0
development,8a6d39c17f02b4e5,2400,0.510721505,bc149a20084e3b80,120,120,60,1
development,8a6d39c17f02b4e5,4200,0.424537271,1753a713b18346a7,118,118,59,2
development,31f0c72ba845196d,600,1.051226735,6caf7c2287fcc333,122,122,61,0
development,31f0c72ba845196d,2400,0.621561944,78fde342672dd6a7,122,122,61,0
development,31f0c72ba845196d,4200,0.325226516,34d7d795c40bf321,120,120,60,1
development,e5b4087a61c39f20,600,1.043424964,8a2a7122266f3515,122,122,61,0
development,e5b4087a61c39f20,2400,0.538704813,c3367680d9d0bcab,122,122,61,0
development,e5b4087a61c39f20,4200,0.418532848,8f4ddf451c05b87d,120,120,60,1
development,7d29a6f304b1ce58,600,1.046235442,5d6d1176f2fe7e77,122,122,61,0
development,7d29a6f304b1ce58,2400,0.562603831,5cfcf673415a9569,122,122,61,0
development,7d29a6f304b1ce58,4200,0.386309952,c715507eb06e6f63,120,120,60,1
development,b0625e91d83f47ac,600,1.064037204,c725b63b965c51f2,122,122,61,0
development,b0625e91d83f47ac,2400,0.564373314,415303fddce44a1a,122,122,61,0
development,b0625e91d83f47ac,4200,0.344425589,d84037504313f772,120,120,60,1
development,4c178bfa2d60e935,600,1.057725906,a52954ed227f70b7,122,122,61,0
development,4c178bfa2d60e935,2400,0.742942631,524ba496b59a28da,120,120,60,1
development,4c178bfa2d60e935,4200,0.463681370,2deb1b27869d85e8,120,120,60,1
evaluation,96e104bd3c72a85f,600,1.046702862,dc2c1743abfb5cda,122,122,61,0
evaluation,96e104bd3c72a85f,2400,0.527101457,9e8ee89b175599bb,120,120,60,1
evaluation,96e104bd3c72a85f,4200,0.337065428,a03738255dfcfcf7,114,114,57,4
evaluation,205ad7c3918e64fb,600,1.047861457,532d6b69ad15f377,122,122,61,0
evaluation,205ad7c3918e64fb,2400,0.575998664,1419dceea76917c0,122,122,61,0
evaluation,205ad7c3918e64fb,4200,0.342898935,872c4373a76fb167,116,116,58,3
evaluation,d43c6a107e95b281,600,1.049550653,b7bde50ce645c8ee,122,122,61,0
evaluation,d43c6a107e95b281,2400,0.536115825,284b7e91bb1b70de,122,122,61,0
evaluation,d43c6a107e95b281,4200,0.378256321,35fae1ad67493c03,118,118,59,2
evaluation,5e8f13a2c64970bd,600,1.052639127,560ace51c587df17,122,122,61,0
evaluation,5e8f13a2c64970bd,2400,0.498702317,49d928d6459c24eb,120,120,60,1
evaluation,5e8f13a2c64970bd,4200,0.381989747,3d30ff80cfb252f3,116,116,58,3
evaluation,a17c2d48f03695e2,600,1.058734775,ccc550f2ae9a19fe,122,122,61,0
evaluation,a17c2d48f03695e2,2400,0.519528210,946e45efb9e60cd5,118,118,59,2
evaluation,a17c2d48f03695e2,4200,0.353125900,4bd263e5e4fca3a2,114,114,57,4
evaluation,3bc9704ea251d68f,600,1.041163802,8ad6bed325c29fca,122,122,61,0
evaluation,3bc9704ea251d68f,2400,0.574810445,94a0637ef85ad417,122,122,61,0
evaluation,3bc9704ea251d68f,4200,0.424190730,22f97cd3f379ca79,116,116,58,3
