method,seed,n_states,scale,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
state_stats,0a53f8c62d9147be,3,0.5,5.408006260291e-6,2.304865743638e-4,2.327517777195e-4,0.322763480,2.171375692370e-4,2.411929258794e-4,0.151041667
state_stats,4f86d203b1a975ce,3,0.5,7.163952820123e-6,2.584422484523e-4,2.534074913929e-4,0.300804001,3.035256877032e-4,3.368719841698e-4,0.130208333
state_stats,6e1903d4a7c285bf,3,0.5,9.662426119347e-6,2.916459210180e-4,2.986161291201e-4,0.322916667,2.534408645829e-4,2.742807664031e-4,0.130208333
state_stats,9d047ac26e31b58f,3,0.5,4.048541498717e-6,2.025106251818e-4,2.075867989857e-4,0.318677054,2.438116027861e-4,2.658201295750e-4,0.130208333
state_stats,b27c5e0983d164af,3,0.5,1.100191582455e-5,3.167102235389e-4,3.180400863004e-4,0.293663093,4.054001009119e-4,4.337716043400e-4,0.104166667
state_stats,d5a841f07c3692eb,3,0.5,5.708653190363e-6,2.372758329413e-4,2.329931808226e-4,0.284310078,2.099533495681e-4,2.312082635865e-4,0.083333333
development_response_oracle,0a53f8c62d9147be,3,1.0,1.742668654751e-5,4.073559266604e-4,4.117749547081e-4,0.303462010,4.505122679485e-4,5.249208863537e-4,0.281250000
development_response_oracle,4f86d203b1a975ce,3,1.0,2.434419299466e-5,4.678849331724e-4,4.671947731923e-4,0.288197224,5.287247454551e-4,5.837969383588e-4,0.177083333
development_response_oracle,6e1903d4a7c285bf,3,1.0,3.279873456581e-5,5.296084064448e-4,5.441722558691e-4,0.303523284,4.605476715369e-4,5.126130250612e-4,0.109375000
development_response_oracle,9d047ac26e31b58f,3,1.0,1.340010005489e-5,3.626992517403e-4,3.663920819952e-4,0.300741859,4.326585903698e-4,4.709684275118e-4,0.182291667
development_response_oracle,b27c5e0983d164af,3,1.0,3.673009889534e-5,5.694457377671e-4,5.608942738335e-4,0.275936187,7.899103734796e-4,8.712808082028e-4,0.171875000
development_response_oracle,d5a841f07c3692eb,3,1.0,1.933388619629e-5,4.312981217008e-4,4.252861294972e-4,0.291852314,3.657886282250e-4,4.646506575471e-4,0.135416667
evaluation_state_response_comparator,0a53f8c62d9147be,3,1.0,1.718566740433e-5,4.052332829002e-4,4.022371328034e-4,0.298927696,4.078386939123e-4,4.525757509176e-4,0.197916667
evaluation_state_response_comparator,4f86d203b1a975ce,3,1.0,2.273081224713e-5,4.533247622122e-4,4.589054287778e-4,0.278991182,5.304125471829e-4,5.959649774036e-4,0.130208333
evaluation_state_response_comparator,6e1903d4a7c285bf,3,1.0,3.113951520634e-5,5.128063406286e-4,5.126264043378e-4,0.299264706,4.532863139938e-4,4.842119316493e-4,0.088541667
evaluation_state_response_comparator,9d047ac26e31b58f,3,1.0,1.270725694644e-5,3.514536984901e-4,3.448928046141e-4,0.305348754,4.155959496662e-4,4.595247822697e-4,0.166666667
evaluation_state_response_comparator,b27c5e0983d164af,3,1.0,3.439945919431e-5,5.497729392755e-4,5.373256215554e-4,0.265762216,6.573248889860e-4,7.435000133948e-4,0.125000000
evaluation_state_response_comparator,d5a841f07c3692eb,3,1.0,1.862840834478e-5,4.241477109088e-4,4.334425542771e-4,0.278644739,3.726073345310e-4,4.442086166362e-4,0.140625000
gradient_full171,0a53f8c62d9147be,3,1.0,1.730422554000e-5,4.050021477493e-4,4.016377841262e-4,0.302726716,4.248227287225e-4,5.057653406955e-4,0.239583333
gradient_full171,4f86d203b1a975ce,3,1.0,2.388928512834e-5,4.625658711342e-4,4.674142410370e-4,0.283348924,5.581455127791e-4,6.020281526903e-4,0.145833333
gradient_full171,6e1903d4a7c285bf,3,1.0,3.107241570504e-5,5.128824639084e-4,5.060176290297e-4,0.303982843,4.581615663521e-4,5.096398889606e-4,0.098958333
gradient_full171,9d047ac26e31b58f,3,1.0,1.297864971177e-5,3.552088238299e-4,3.587916517912e-4,0.306109944,3.688818146278e-4,3.945683182328e-4,0.114583333
gradient_full171,b27c5e0983d164af,3,1.0,3.473922708379e-5,5.520189312408e-4,5.533360785672e-4,0.264656601,7.427884291549e-4,8.101749355092e-4,0.109375000
gradient_full171,d5a841f07c3692eb,3,1.0,1.855781345607e-5,4.225173039658e-4,4.189213672033e-4,0.287191074,4.118578127124e-4,4.896267831818e-4,0.140625000
hash_placebo_mean,0a53f8c62d9147be,3,1.0,2.256452894571e-5,4.730918955157e-4,4.751627097932e-4,0.328377757,4.485241135204e-4,5.099788339192e-4,0.223958333
hash_placebo_mean,4f86d203b1a975ce,3,1.0,2.990170498641e-5,5.316968180635e-4,5.314242685174e-4,0.299607041,5.642285702105e-4,6.283620809496e-4,0.181640625
