seed,step,scale,method,candidate_count,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
9d047ac26e31b58f,600,0.5,hash_placebo_00,170,2.541646608010e-6,1.627128928515e-4,1.555990105820e-4,0.274080882,1.572510075505e-4,1.627876038413e-4,0.000000000
9d047ac26e31b58f,600,0.5,hash_placebo_01,170,2.587181640394e-6,1.641639691105e-4,1.673022657555e-4,0.284742647,1.519196516568e-4,1.610365430480e-4,0.031250000
9d047ac26e31b58f,600,0.5,hash_placebo_02,170,2.549391821552e-6,1.629606234887e-4,1.599504927178e-4,0.285937500,1.865590992196e-4,1.965987566592e-4,0.031250000
9d047ac26e31b58f,600,0.5,hash_placebo_03,170,2.633510387420e-6,1.656272920414e-4,1.711225842761e-4,0.279871324,1.406684192062e-4,1.529042226736e-4,0.062500000
9d047ac26e31b58f,600,0.5,hash_placebo_04,170,2.582457164115e-6,1.640140099489e-4,1.684792404501e-4,0.278952206,1.875563127953e-4,1.958334519827e-4,0.062500000
9d047ac26e31b58f,600,0.5,hash_placebo_05,170,2.517973353130e-6,1.619533546893e-4,1.552750071700e-4,0.283547794,1.661301029259e-4,1.757589403582e-4,0.046875000
9d047ac26e31b58f,600,0.5,hash_placebo_06,170,2.595128958854e-6,1.644159156572e-4,1.643000577691e-4,0.281617647,1.653338618439e-4,1.778696189945e-4,0.015625000
9d047ac26e31b58f,600,0.5,hash_placebo_07,170,2.569917539486e-6,1.636153243729e-4,1.663440344343e-4,0.277022059,1.997008566406e-4,2.076227835488e-4,0.015625000
9d047ac26e31b58f,600,0.5,input_only,170,2.384161766950e-6,1.575913018086e-4,1.531870666246e-4,0.275643382,1.452713951124e-4,1.516245867066e-4,0.046875000
9d047ac26e31b58f,600,0.5,state_stats,170,2.287030644648e-6,1.543477757590e-4,1.572507752337e-4,0.271507353,1.898380714920e-4,2.029966410078e-4,0.062500000
9d047ac26e31b58f,600,0.5,gradient_full171,170,1.178644343710e-6,1.108040849742e-4,1.108607116962e-4,0.238327206,1.159955305639e-4,1.159955305639e-4,0.000000000
9d047ac26e31b58f,600,0.5,development_response_oracle,170,1.342629525403e-6,1.182612541069e-4,1.178284716450e-4,0.250000000,1.274939414770e-4,1.286889059600e-4,0.015625000
9d047ac26e31b58f,600,0.5,evaluation_state_response_comparator,170,1.252938357027e-6,1.142429044581e-4,1.130309682555e-4,0.236764706,1.444519293727e-4,1.458360784454e-4,0.000000000
9d047ac26e31b58f,600,1.0,hash_placebo_00,170,1.015108230088e-5,3.251775524758e-4,3.109188555880e-4,0.274908088,3.139465624145e-4,3.336059634194e-4,0.031250000
9d047ac26e31b58f,600,1.0,hash_placebo_01,170,1.033094633915e-5,3.280457656580e-4,3.341232146783e-4,0.285753676,3.103614670579e-4,3.371577289499e-4,0.093750000
9d047ac26e31b58f,600,1.0,hash_placebo_02,170,1.018671030020e-5,3.257477024126e-4,3.198817947117e-4,0.286672794,3.419472044186e-4,3.721611867178e-4,0.093750000
9d047ac26e31b58f,600,1.0,hash_placebo_03,170,1.052050992550e-5,3.310417572714e-4,3.420128181423e-4,0.279687500,2.889825795762e-4,3.176505483680e-4,0.062500000
9d047ac26e31b58f,600,1.0,hash_placebo_04,170,1.031127980944e-5,3.277333743787e-4,3.364830940405e-4,0.281709559,3.753804694782e-4,3.970290317312e-4,0.109375000
9d047ac26e31b58f,600,1.0,hash_placebo_05,170,1.005436100126e-5,3.236246700986e-4,3.102714040258e-4,0.287224265,3.237924867960e-4,3.480634099162e-4,0.140625000
9d047ac26e31b58f,600,1.0,hash_placebo_06,170,1.036338858074e-5,3.285604425105e-4,3.280971528051e-4,0.282536765,3.298508685248e-4,3.697743230759e-4,0.078125000
9d047ac26e31b58f,600,1.0,hash_placebo_07,170,1.026275457808e-5,3.269613027893e-4,3.327756123288e-4,0.277389706,3.811326586174e-4,4.077544621168e-4,0.031250000
9d047ac26e31b58f,600,1.0,input_only,170,9.519702036240e-6,3.149024656580e-4,3.064083909536e-4,0.278676471,2.870461660507e-4,3.062911004008e-4,0.093750000
9d047ac26e31b58f,600,1.0,state_stats,170,9.130162212445e-6,3.083923740621e-4,3.144381393598e-4,0.272518382,3.997042206834e-4,4.329339620881e-4,0.062500000
9d047ac26e31b58f,600,1.0,gradient_full171,170,4.685536798551e-6,2.209245911729e-4,2.208967928404e-4,0.235294118,2.329313433620e-4,2.332288039071e-4,0.015625000
9d047ac26e31b58f,600,1.0,development_response_oracle,170,5.346022704640e-6,2.359824919494e-4,2.364483862231e-4,0.252113971,2.821719121755e-4,2.842083460166e-4,0.046875000
9d047ac26e31b58f,600,1.0,evaluation_state_response_comparator,170,4.585012538745e-6,2.185418661918e-4,2.140396915180e-4,0.239613971,2.977989506405e-4,2.992404633915e-4,0.015625000
9d047ac26e31b58f,600,2.0,hash_placebo_00,170,4.050529706876e-5,6.495615273394e-4,6.208182059189e-4,0.276654412,6.087524398026e-4,6.615215672809e-4,0.031250000
9d047ac26e31b58f,600,2.0,hash_placebo_01,170,4.120442797183e-5,6.551433365098e-4,6.667652696294e-4,0.286029412,5.845612164777e-4,6.585650763782e-4,0.078125000
9d047ac26e31b58f,600,2.0,hash_placebo_02,170,4.061076589919e-5,6.504066508346e-4,6.391280336108e-4,0.287224265,6.279399782798e-4,7.125222396098e-4,0.062500000
9d047ac26e31b58f,600,2.0,hash_placebo_03,170,4.197774070487e-5,6.612625290627e-4,6.824732388606e-4,0.280790441,5.528189287034e-4,6.234788100983e-4,0.062500000
9d047ac26e31b58f,600,2.0,hash_placebo_04,170,4.114289424103e-5,6.546539658558e-4,6.718209743736e-4,0.282720588,7.507900265011e-4,8.112852153772e-4,0.109375000
9d047ac26e31b58f,600,2.0,hash_placebo_05,170,4.008134494633e-5,6.461532402284e-4,6.192662433751e-4,0.285845588,6.386325127679e-4,7.038005581990e-4,0.109375000
9d047ac26e31b58f,600,2.0,hash_placebo_06,170,4.132951876193e-5,6.561370439449e-4,6.547460785393e-4,0.286029412,6.458919156103e-4,7.474643698515e-4,0.078125000
9d047ac26e31b58f,600,2.0,hash_placebo_07,170,4.095138674894e-5,6.531285825176e-4,6.652565378167e-4,0.282352941,7.281163307198e-4,8.039260434316e-4,0.031250000
9d047ac26e31b58f,600,2.0,input_only,170,3.794417125477e-5,6.286905311072e-4,6.122484476765e-4,0.282077206,6.074530597218e-4,6.596252834470e-4,0.093750000
9d047ac26e31b58f,600,2.0,state_stats,170,3.638395700547e-5,6.156293951237e-4,6.285717706387e-4,0.274172794,7.919047176657e-4,8.748855874501e-4,0.062500000
9d047ac26e31b58f,600,2.0,gradient_full171,170,1.857716047283e-5,4.399000889505e-4,4.408028787460e-4,0.237591912,4.857951412305e-4,4.857951412305e-4,0.000000000
9d047ac26e31b58f,600,2.0,development_response_oracle,170,2.164499120952e-5,4.748354014103e-4,4.654372077652e-4,0.250643382,4.327406442499e-4,4.424638070759e-4,0.031250000
9d047ac26e31b58f,600,2.0,evaluation_state_response_comparator,170,1.812324479729e-5,4.344925775796e-4,4.267603171973e-4,0.238327206,5.971228424642e-4,5.971228424642e-4,0.000000000
9d047ac26e31b58f,2400,0.5,hash_placebo_00,168,5.078911080632e-6,2.300115730927e-4,2.193617594934e-4,0.328869048,2.603442237614e-4,2.767865968849e-4,0.062500000
9d047ac26e31b58f,2400,0.5,hash_placebo_01,168,5.034627860660e-6,2.290066379283e-4,2.332105948030e-4,0.337518601,2.615775953814e-4,2.763385725757e-4,0.078125000
9d047ac26e31b58f,2400,0.5,hash_placebo_02,168,5.045253628685e-6,2.292481740359e-4,2.287410438470e-4,0.336867560,2.581800724215e-4,2.757410713912e-4,0.093750000
9d047ac26e31b58f,2400,0.5,hash_placebo_03,168,5.033617448929e-6,2.289836568251e-4,2.331788956879e-4,0.354352679,2.328854968248e-4,2.492398897544e-4,0.109375000
9d047ac26e31b58f,2400,0.5,hash_placebo_04,168,4.975955408671e-6,2.276683307804e-4,2.277846790123e-4,0.334170387,2.587283016453e-4,2.699589650490e-4,0.062500000
9d047ac26e31b58f,2400,0.5,hash_placebo_05,168,4.977581610140e-6,2.277055301018e-4,2.297747509679e-4,0.330357143,2.643503354385e-4,2.842671049308e-4,0.125000000
9d047ac26e31b58f,2400,0.5,hash_placebo_06,168,5.156555375849e-6,2.317630654320e-4,2.323513994574e-4,0.339657738,2.438772765601e-4,2.552140629035e-4,0.078125000
9d047ac26e31b58f,2400,0.5,hash_placebo_07,168,4.985791688035e-6,2.278932427337e-4,2.282363368331e-4,0.334170387,2.456705581295e-4,2.642662751526e-4,0.078125000
9d047ac26e31b58f,2400,0.5,input_only,168,5.144505097285e-6,2.314921051859e-4,2.403629568116e-4,0.326078869,2.689995374254e-4,3.008139035643e-4,0.125000000
9d047ac26e31b58f,2400,0.5,state_stats,168,5.003204112411e-6,2.282908441096e-4,2.370680775214e-4,0.349516369,2.467316447792e-4,2.578336016370e-4,0.031250000
9d047ac26e31b58f,2400,0.5,gradient_full171,168,4.212859862740e-6,2.094849801383e-4,2.132462917876e-4,0.347842262,2.474292537045e-4,2.562574439366e-4,0.015625000
9d047ac26e31b58f,2400,0.5,development_response_oracle,168,4.285011808713e-6,2.112712466809e-4,2.100882544352e-4,0.322544643,2.519791424902e-4,2.599517393946e-4,0.062500000
9d047ac26e31b58f,2400,0.5,evaluation_state_response_comparator,168,4.080358634678e-6,2.061643416740e-4,2.044397017724e-4,0.345796131,1.879453808442e-4,2.037297268487e-4,0.046875000
9d047ac26e31b58f,2400,1.0,hash_placebo_00,168,2.038838551405e-5,4.608459783608e-4,4.394119561274e-4,0.324404762,5.065042365260e-4,5.472375974733e-4,0.203125000
9d047ac26e31b58f,2400,1.0,hash_placebo_01,168,2.019282765408e-5,4.586305209316e-4,4.672087089840e-4,0.337611607,5.045645065138e-4,5.503945588714e-4,0.203125000
9d047ac26e31b58f,2400,1.0,hash_placebo_02,168,2.026283174845e-5,4.594248187096e-4,4.587241018976e-4,0.334728423,5.001912577782e-4,5.551701871198e-4,0.218750000
9d047ac26e31b58f,2400,1.0,hash_placebo_03,168,2.019585843925e-5,4.586649380636e-4,4.672109118120e-4,0.349888393,4.436414075499e-4,4.871499256822e-4,0.203125000
9d047ac26e31b58f,2400,1.0,hash_placebo_04,168,1.996332398040e-5,4.560167666463e-4,4.556587956375e-4,0.330171131,5.033750226531e-4,5.450508528000e-4,0.234375000
9d047ac26e31b58f,2400,1.0,hash_placebo_05,168,1.998145514039e-5,4.562238022204e-4,4.598405988620e-4,0.325427827,5.145159964286e-4,5.709044622790e-4,0.218750000
9d047ac26e31b58f,2400,1.0,hash_placebo_06,168,2.069942441084e-5,4.643479345055e-4,4.652831779155e-4,0.339192708,4.532833517032e-4,4.903701583316e-4,0.234375000
