cell_id,arm,stage,action_id,operational_utility,final_utility
0,training_full96,0,87,-1.358985900879e-5,-2.706050872803e-5
0,training_full96,0,88,-2.038478851318e-5,1.454353332520e-5
0,training_full96,0,89,-2.038478851318e-5,7.271766662598e-6
0,training_full96,0,90,2.157688140869e-5,1.132488250732e-5
0,training_full96,0,91,1.192092895508e-5,3.695487976074e-6
0,training_full96,0,92,-2.872943878174e-5,2.765655517578e-5
0,training_full96,0,93,-1.633167266846e-5,1.096725463867e-5
0,training_full96,0,94,-1.394748687744e-5,-7.629394531250e-6
0,training_full96,0,95,-5.602836608887e-6,-1.192092895508e-5
0,training_full96,0,96,2.932548522949e-5,4.482269287109e-5
0,training_full96,0,97,1.585483551025e-5,1.692771911621e-5
0,training_full96,0,98,3.218650817871e-5,5.638599395752e-5
0,training_full96,0,99,1.990795135498e-5,3.719329833984e-5
0,training_full96,0,100,3.218650817871e-6,3.838539123535e-5
0,training_full96,0,101,1.430511474609e-6,1.907348632812e-5
0,training_full96,0,102,-1.609325408936e-5,9.655952453613e-6
0,training_full96,0,103,-9.059906005859e-6,4.768371582031e-6
0,training_full96,0,104,3.457069396973e-6,-6.675720214844e-6
0,training_full96,0,105,3.695487976074e-6,-3.457069396973e-6
0,training_full96,0,106,-9.810924530029e-5,8.058547973633e-5
0,training_full96,0,107,-4.470348358154e-5,4.005432128906e-5
0,training_full96,0,108,5.483627319336e-5,-2.336502075195e-5
0,training_full96,0,109,2.634525299072e-5,-1.549720764160e-5
0,training_full96,0,110,4.422664642334e-5,3.600120544434e-5
0,training_full96,0,111,2.324581146240e-5,1.788139343262e-5
0,training_full96,0,112,1.549720764160e-6,-1.025199890137e-5
0,training_full96,0,113,1.192092895508e-7,-6.318092346191e-6
0,training_full96,0,114,-2.026557922363e-6,7.164478302002e-5
0,training_full96,0,115,-8.344650268555e-7,3.397464752197e-5
0,training_full96,0,116,-4.172325134277e-6,1.072883605957e-5
0,training_full96,0,117,-2.384185791016e-7,-7.152557373047e-6
0,training_full96,0,118,1.541376113892e-4,3.036260604858e-4
0,training_full96,0,119,7.450580596924e-5,1.459121704102e-4
0,training_full96,0,120,-1.966953277588e-5,-9.059906005859e-6
0,training_full96,0,121,-3.576278686523e-6,3.862380981445e-5
0,training_full96,0,122,-8.153915405273e-5,-7.462501525879e-5
0,training_full96,0,123,-1.585483551025e-5,-2.253055572510e-5
0,training_full96,0,124,1.081228256226e-4,5.161762237549e-5
0,training_full96,0,125,4.696846008301e-5,2.527236938477e-5
0,training_full96,0,126,1.227855682373e-5,5.197525024414e-5
0,training_full96,0,127,6.198883056641e-6,2.706050872803e-5
0,training_full96,0,128,1.429319381714e-4,4.005432128906e-5
0,training_full96,0,129,6.425380706787e-5,2.288818359375e-5
0,training_full96,0,130,1.811981201172e-5,-2.861022949219e-5
0,training_full96,0,131,3.337860107422e-6,-1.454353332520e-5
0,training_full96,0,132,1.145601272583e-4,1.236200332642e-4
