cell_id,arm,stage,candidate_count,spearman,pairwise_agreement,pair_count,top1_agreement,candidate_regret
0,training_full96,0,170,5.886997838908e-1,7.241499442586e-1,14352,0.000000000,4.281997680664e-4
0,training_full96,600,170,-2.961893648113e-2,4.884725221146e-1,14357,0.000000000,4.607319831848e-3
0,training_full96,2400,170,-1.082189488806e-2,4.922359167189e-1,14361,0.000000000,1.629209518433e-2
0,training_full96,4200,170,-1.547168297166e-1,4.408685264563e-1,14231,0.000000000,3.220510482788e-2
0,sentinel_fixed128,0,170,5.318116284092e-1,7.015819917764e-1,14349,1.000000000,0.000000000000e0
0,sentinel_fixed128,600,170,9.140926794240e-2,5.302639827262e-1,14357,0.000000000,2.837657928467e-3
0,sentinel_fixed128,2400,170,-8.731157581973e-2,4.673541913456e-1,14351,0.000000000,1.455771923065e-2
0,sentinel_fixed128,4200,170,-1.654387968504e-1,4.442578207012e-1,14289,0.000000000,1.963615417480e-2
0,sentinel_rotating128,0,170,1.266545594884e-1,5.517385548045e-1,14351,0.000000000,4.281997680664e-4
0,sentinel_rotating128,600,170,4.991734871036e-1,6.916005014626e-1,14358,0.000000000,1.599729061127e-3
0,sentinel_rotating128,2400,170,-1.720095236528e-1,4.334354546721e-1,14362,0.000000000,4.057228565216e-3
0,sentinel_rotating128,4200,170,-5.541374981074e-2,4.866671308223e-1,14363,0.000000000,5.802392959595e-3
1,training_full96,0,170,5.648757956112e-1,7.064565611491e-1,14342,1.000000000,0.000000000000e0
1,training_full96,600,170,2.227702457620e-1,5.721250957721e-1,14357,0.000000000,5.574345588684e-3
1,training_full96,2400,170,5.257093167729e-2,5.194397993311e-1,14352,0.000000000,1.468634605408e-2
1,training_full96,4200,170,-5.376984951087e-2,4.825277254656e-1,14337,0.000000000,1.696252822876e-2
1,sentinel_fixed128,0,170,5.033457703092e-1,6.828605283334e-1,14347,1.000000000,0.000000000000e0
1,sentinel_fixed128,600,170,7.159623839899e-2,5.187739463602e-1,14355,0.000000000,3.332734107971e-3
1,sentinel_fixed128,2400,170,1.705729325696e-2,5.077351916376e-1,14350,0.000000000,2.503585815430e-2
1,sentinel_fixed128,4200,170,-1.055220133755e-3,4.973854842083e-1,14343,0.000000000,2.331781387329e-2
1,sentinel_rotating128,0,170,2.466014164700e-1,5.931293986482e-1,14351,1.000000000,0.000000000000e0
1,sentinel_rotating128,600,170,-1.677022236742e-1,4.511142061281e-1,14360,0.000000000,4.048287868500e-3
1,sentinel_rotating128,2400,170,2.043142271797e-1,5.801532033426e-1,14360,0.000000000,1.453042030334e-3
1,sentinel_rotating128,4200,170,-1.550200592634e-1,4.454615330864e-1,14311,0.000000000,2.626955509186e-3
2,training_full96,0,170,3.694021465675e-1,6.357680512963e-1,14348,0.000000000,2.779960632324e-4
2,training_full96,600,170,8.186365299009e-2,5.355252159376e-1,14356,0.000000000,3.740668296814e-3
2,training_full96,2400,170,-1.857964007079e-1,4.245907349356e-1,14355,0.000000000,2.624869346619e-2
