cell_id,dataset_id,initialization_id,arm,stage,train_loss,final_loss,final_accuracy,operational_loss,verifier_size
0,0,0,training_full96,0,1.101016998291e0,1.105515122414e0,0.322916657,1.101016998291e0,96
0,0,0,training_full96,600,6.771399378777e-1,1.163267374039e0,0.520833313,6.771399378777e-1,96
0,0,0,training_full96,2400,5.212425813079e-2,2.867212057114e0,0.593750000,5.212425813079e-2,96
0,0,0,training_full96,4200,1.711472868919e-3,3.818062067032e0,0.552083313,1.711472868919e-3,96
0,0,0,sentinel_fixed128,0,1.101016998291e0,1.105515122414e0,0.322916657,1.099506616592e0,128
0,0,0,sentinel_fixed128,600,9.191951155663e-1,8.421342372894e-1,0.510416687,6.915226578712e-1,128
0,0,0,sentinel_fixed128,2400,1.564342617989e0,1.514815807343e0,0.562500000,1.120887175202e-1,128
0,0,0,sentinel_fixed128,4200,3.241980314255e0,3.097094535828e0,0.593750000,2.609599847347e-3,128
0,0,0,sentinel_rotating128,0,1.101016998291e0,1.105515122414e0,0.322916657,1.085714578629e0,128
0,0,0,sentinel_rotating128,600,9.471099972725e-1,9.360511302948e-1,0.531250000,9.589841365814e-1,128
0,0,0,sentinel_rotating128,2400,6.833466887474e-1,8.063850402832e-1,0.510416687,8.209850788116e-1,128
0,0,0,sentinel_rotating128,4200,5.967563986778e-1,7.989400029182e-1,0.635416687,6.970238685608e-1,128
1,0,1,training_full96,0,1.120658755302e0,1.111733078957e0,0.312500000,1.120658755302e0,96
1,0,1,training_full96,600,7.596281170845e-1,9.420863986015e-1,0.541666687,7.596281170845e-1,96
1,0,1,training_full96,2400,1.790014654398e-1,1.870870471001e0,0.583333313,1.790014654398e-1,96
1,0,1,training_full96,4200,1.810750737786e-2,3.466397047043e0,0.531250000,1.810750737786e-2,96
1,0,1,sentinel_fixed128,0,1.120658755302e0,1.111733078957e0,0.312500000,1.106305360794e0,128
1,0,1,sentinel_fixed128,600,9.590606093407e-1,1.066963195801e0,0.468750000,8.151433467865e-1,128
1,0,1,sentinel_fixed128,2400,1.139725685120e0,1.995213150978e0,0.614583313,1.241077780724e-1,128
1,0,1,sentinel_fixed128,4200,1.383802294731e0,3.592313766479e0,0.625000000,1.488282065839e-2,128
1,0,1,sentinel_rotating128,0,1.120658755302e0,1.111733078957e0,0.312500000,1.110296845436e0,128
1,0,1,sentinel_rotating128,600,9.521592259407e-1,9.551322460175e-1,0.489583343,1.043257355690e0,128
1,0,1,sentinel_rotating128,2400,8.315994739532e-1,8.203913569450e-1,0.614583313,8.804680705070e-1,128
1,0,1,sentinel_rotating128,4200,6.889788508415e-1,7.371518611908e-1,0.604166687,7.505859136581e-1,128
2,0,2,training_full96,0,1.082196831703e0,1.099623560905e0,0.427083343,1.082196831703e0,96
2,0,2,training_full96,600,6.156573891640e-1,1.050970315933e0,0.520833313,6.156573891640e-1,96
2,0,2,training_full96,2400,2.548211626709e-2,3.244023561478e0,0.572916687,2.548211626709e-2,96
2,0,2,training_full96,4200,4.417200980242e-4,6.044033050537e0,0.562500000,4.417200980242e-4,96
2,0,2,sentinel_fixed128,0,1.082196831703e0,1.099623560905e0,0.427083343,1.107436299324e0,128
2,0,2,sentinel_fixed128,600,8.640899658203e-1,9.943189620972e-1,0.510416687,7.150684595108e-1,128
2,0,2,sentinel_fixed128,2400,1.707268595695e0,2.383048772812e0,0.468750000,1.013001650572e-1,128
2,0,2,sentinel_fixed128,4200,2.888685941696e0,3.787373304367e0,0.489583343,1.588858477771e-2,128
2,0,2,sentinel_rotating128,0,1.082196831703e0,1.099623560905e0,0.427083343,1.116000413895e0,128
2,0,2,sentinel_rotating128,600,9.228990077972e-1,9.428846836090e-1,0.552083313,9.875059723854e-1,128
2,0,2,sentinel_rotating128,2400,6.557502746582e-1,8.109457492828e-1,0.593750000,8.689096570015e-1,128
2,0,2,sentinel_rotating128,4200,5.295712351799e-1,7.449162602425e-1,0.666666687,7.664302587509e-1,128
3,0,3,training_full96,0,1.094594120979e0,1.097741246223e0,0.343750000,1.094594120979e0,96
3,0,3,training_full96,600,7.094629406929e-1,1.029502272606e0,0.541666687,7.094629406929e-1,96
3,0,3,training_full96,2400,2.952261269093e-2,2.077898979187e0,0.604166687,2.952261269093e-2,96
3,0,3,training_full96,4200,7.271269714693e-5,4.685367107391e0,0.635416687,7.271269714693e-5,96
3,0,3,sentinel_fixed128,0,1.094594120979e0,1.097741246223e0,0.343750000,1.098783731461e0,128
3,0,3,sentinel_fixed128,600,1.254976868629e0,1.190113306046e0,0.406250000,7.910913825035e-1,128
3,0,3,sentinel_fixed128,2400,1.441972851753e0,1.414857506752e0,0.572916687,1.436213850975e-1,128
3,0,3,sentinel_fixed128,4200,2.120992660522e0,2.104849100113e0,0.552083313,5.951543897390e-2,128
3,0,3,sentinel_rotating128,0,1.094594120979e0,1.097741246223e0,0.343750000,1.098697423935e0,128
3,0,3,sentinel_rotating128,600,9.512578845024e-1,9.447993636131e-1,0.468750000,9.427762031555e-1,128
3,0,3,sentinel_rotating128,2400,7.646295428276e-1,8.805317282677e-1,0.562500000,8.699673414230e-1,128
3,0,3,sentinel_rotating128,4200,6.563212275505e-1,8.482728004456e-1,0.614583313,8.301835060120e-1,128
4,0,4,training_full96,0,1.085538744926e0,1.101635575294e0,0.354166657,1.085538744926e0,96
4,0,4,training_full96,600,6.691824793816e-1,1.115451812744e0,0.562500000,6.691824793816e-1,96
4,0,4,training_full96,2400,6.082027778029e-2,2.189042806625e0,0.583333313,6.082027778029e-2,96
4,0,4,training_full96,4200,1.828869244491e-5,4.677083969116e0,0.572916687,1.828869244491e-5,96
