dataset_index,initialization_index,stream_seed,state_step,phase,anchor_step,offset_from_anchor,partition_age,method,candidate_count,evidence_examples,samples_per_stratum,within_stratum_utility_variance,predicted_finite_population_rmse
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_00,170,12,1,1.985582892909e-5,1.203254278784e-3
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_00,170,24,2,1.985582892909e-5,7.877148304013e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_00,170,36,3,1.985582892909e-5,5.871279692207e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_00,170,48,4,1.985582892909e-5,4.547873693768e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_00,170,72,6,1.985582892909e-5,2.625716101338e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_00,170,96,8,1.985582892909e-5,0.000000000000e0
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_01,170,12,1,1.963574508170e-5,1.196567206167e-3
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_01,170,24,2,1.963574508170e-5,7.833371137659e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_01,170,36,3,1.963574508170e-5,5.838650118930e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_01,170,48,4,1.963574508170e-5,4.522598934990e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_01,170,72,6,1.963574508170e-5,2.611123712553e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_01,170,96,8,1.963574508170e-5,0.000000000000e0
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_02,170,12,1,1.982655652006e-5,1.202367004255e-3
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_02,170,24,2,1.982655652006e-5,7.871339728736e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_02,170,36,3,1.982655652006e-5,5.866950235816e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_02,170,48,4,1.982655652006e-5,4.544520111269e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_02,170,72,6,1.982655652006e-5,2.623779909579e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_02,170,96,8,1.982655652006e-5,0.000000000000e0
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_03,170,12,1,1.963063236866e-5,1.196411416228e-3
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_03,170,24,2,1.963063236866e-5,7.832351253108e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_03,170,36,3,1.963063236866e-5,5.837889941868e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_03,170,48,4,1.963063236866e-5,4.522010104370e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_03,170,72,6,1.963063236866e-5,2.610783751036e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_03,170,96,8,1.963063236866e-5,0.000000000000e0
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_04,170,12,1,1.942133481339e-5,1.190016385101e-3
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_04,170,24,2,1.942133481339e-5,7.790485947092e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_04,170,36,3,1.942133481339e-5,5.806685385151e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_04,170,48,4,1.942133481339e-5,4.497839158671e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_04,170,72,6,1.942133481339e-5,2.596828649031e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_04,170,96,8,1.942133481339e-5,0.000000000000e0
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_05,170,12,1,1.977113196072e-5,1.200685237189e-3
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_05,170,24,2,1.977113196072e-5,7.860329978904e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_05,170,36,3,1.977113196072e-5,5.858744052803e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_05,170,48,4,1.977113196072e-5,4.538163629240e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_05,170,72,6,1.977113196072e-5,2.620109992968e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_05,170,96,8,1.977113196072e-5,0.000000000000e0
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_06,170,12,1,1.981447662211e-5,1.202000660162e-3
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_06,170,24,2,1.981447662211e-5,7.868941443683e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_06,170,36,3,1.981447662211e-5,5.865162659680e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_06,170,48,4,1.981447662211e-5,4.543135460748e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_06,170,72,6,1.981447662211e-5,2.622980481228e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_06,170,96,8,1.981447662211e-5,0.000000000000e0
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_07,170,12,1,1.923344980880e-5,1.184246194234e-3
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_07,170,24,2,1.923344980880e-5,7.752711180774e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_07,170,36,3,1.923344980880e-5,5.778529736711e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_07,170,48,4,1.923344980880e-5,4.476029887169e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_07,170,72,6,1.923344980880e-5,2.584237060258e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_07,170,96,8,1.923344980880e-5,0.000000000000e0
0,0,a303ea0000000001,600,frontier_fresh,,,0,full_gradient_171,170,12,1,1.166408427491e-5,9.222289005694e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,full_gradient_171,170,24,2,1.166408427491e-5,6.037405349907e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,full_gradient_171,170,36,3,1.166408427491e-5,4.500016256705e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,full_gradient_171,170,48,4,1.166408427491e-5,3.485697603976e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,full_gradient_171,170,72,6,1.166408427491e-5,2.012468449969e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,full_gradient_171,170,96,8,1.166408427491e-5,0.000000000000e0
0,0,a303ea0000000001,600,frontier_fresh,,,0,output_layer_27,170,12,1,1.122193278780e-5,9.045805284459e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,output_layer_27,170,24,2,1.122193278780e-5,5.921869633981e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,output_layer_27,170,36,3,1.122193278780e-5,4.413901018491e-4
0,0,a303ea0000000001,600,frontier_fresh,,,0,output_layer_27,170,48,4,1.122193278780e-5,3.418993027285e-4
