method,dataset_index,initialization_index,stream_seed,state_step,feature_dimensions,feature_payload_bytes,feature_acquisition_median_ns,feature_acquisition_ns_per_example,partition_build_median_ns,partition_build_ns_per_example,measurement_repetitions
full_gradient_171,0,1,a303ea0000000004,4200,171,131328,17600,183.333,5037600,52475.000,3
output_layer_27,0,1,a303ea0000000004,4200,27,20736,14000,145.833,3277700,34142.708,3
last_hidden_layer_72,0,1,a303ea0000000004,4200,72,55296,14300,148.958,3973400,41389.583,3
rademacher_projection_32,0,1,a303ea0000000004,4200,32,24576,180000,1875.000,4176500,43505.208,3
sign_gradient_171,0,1,a303ea0000000004,4200,171,131328,20000,208.333,4363900,45457.292,3
full_gradient_171,0,2,a303ea0000000005,600,171,131328,18000,187.500,3713300,38680.208,3
output_layer_27,0,2,a303ea0000000005,600,27,20736,10100,105.208,1979800,20622.917,3
last_hidden_layer_72,0,2,a303ea0000000005,600,72,55296,13600,141.667,3201300,33346.875,3
rademacher_projection_32,0,2,a303ea0000000005,600,32,24576,204100,2126.042,4564000,47541.667,3
sign_gradient_171,0,2,a303ea0000000005,600,171,131328,28300,294.792,4493100,46803.125,3
full_gradient_171,0,2,a303ea0000000005,2400,171,131328,26000,270.833,4216300,43919.792,3
output_layer_27,0,2,a303ea0000000005,2400,27,20736,10000,104.167,2246500,23401.042,3
last_hidden_layer_72,0,2,a303ea0000000005,2400,72,55296,13700,142.708,2731400,28452.083,3
rademacher_projection_32,0,2,a303ea0000000005,2400,32,24576,178100,1855.208,3469100,36136.458,3
sign_gradient_171,0,2,a303ea0000000005,2400,171,131328,19900,207.292,3032200,31585.417,3
full_gradient_171,0,2,a303ea0000000005,4200,171,131328,17700,184.375,4578600,47693.750,3
output_layer_27,0,2,a303ea0000000005,4200,27,20736,10700,111.458,3060000,31875.000,3
last_hidden_layer_72,0,2,a303ea0000000005,4200,72,55296,13900,144.792,4446100,46313.542,3
rademacher_projection_32,0,2,a303ea0000000005,4200,32,24576,180200,1877.083,4177900,43519.792,3
sign_gradient_171,0,2,a303ea0000000005,4200,171,131328,25500,265.625,4533700,47226.042,3
full_gradient_171,0,2,a303ea0000000006,600,171,131328,17500,182.292,4398400,45816.667,3
output_layer_27,0,2,a303ea0000000006,600,27,20736,10200,106.250,1761900,18353.125,3
last_hidden_layer_72,0,2,a303ea0000000006,600,72,55296,18600,193.750,1883000,19614.583,3
rademacher_projection_32,0,2,a303ea0000000006,600,32,24576,180700,1882.292,2375100,24740.625,3
sign_gradient_171,0,2,a303ea0000000006,600,171,131328,19800,206.250,2770600,28860.417,3
full_gradient_171,0,2,a303ea0000000006,2400,171,131328,29200,304.167,4579900,47707.292,3
output_layer_27,0,2,a303ea0000000006,2400,27,20736,9700,101.042,1929100,20094.792,3
last_hidden_layer_72,0,2,a303ea0000000006,2400,72,55296,14400,150.000,3311400,34493.750,3
rademacher_projection_32,0,2,a303ea0000000006,2400,32,24576,185900,1936.458,3443200,35866.667,3
sign_gradient_171,0,2,a303ea0000000006,2400,171,131328,20000,208.333,2941700,30642.708,3
full_gradient_171,0,2,a303ea0000000006,4200,171,131328,35000,364.583,4887800,50914.583,3
output_layer_27,0,2,a303ea0000000006,4200,27,20736,10300,107.292,3385000,35260.417,3
last_hidden_layer_72,0,2,a303ea0000000006,4200,72,55296,14700,153.125,3970700,41361.458,3
rademacher_projection_32,0,2,a303ea0000000006,4200,32,24576,180600,1881.250,4342900,45238.542,3
sign_gradient_171,0,2,a303ea0000000006,4200,171,131328,20600,214.583,3095700,32246.875,3
full_gradient_171,1,0,a303ea0000000007,600,171,131328,17700,184.375,4248600,44256.250,3
output_layer_27,1,0,a303ea0000000007,600,27,20736,10200,106.250,1710700,17819.792,3
last_hidden_layer_72,1,0,a303ea0000000007,600,72,55296,13800,143.750,2363300,24617.708,3
rademacher_projection_32,1,0,a303ea0000000007,600,32,24576,258800,2695.833,2586600,26943.750,3
sign_gradient_171,1,0,a303ea0000000007,600,171,131328,20200,210.417,3206600,33402.083,3
full_gradient_171,1,0,a303ea0000000007,2400,171,131328,17900,186.458,5142500,53567.708,3
output_layer_27,1,0,a303ea0000000007,2400,27,20736,10200,106.250,2092700,21798.958,3
last_hidden_layer_72,1,0,a303ea0000000007,2400,72,55296,18500,192.708,4436700,46215.625,3
rademacher_projection_32,1,0,a303ea0000000007,2400,32,24576,242300,2523.958,3757300,39138.542,3
sign_gradient_171,1,0,a303ea0000000007,2400,171,131328,26900,280.208,1764700,18382.292,3
full_gradient_171,1,0,a303ea0000000007,4200,171,131328,21700,226.042,5719800,59581.250,3
output_layer_27,1,0,a303ea0000000007,4200,27,20736,13400,139.583,3321800,34602.083,3
last_hidden_layer_72,1,0,a303ea0000000007,4200,72,55296,13800,143.750,4667200,48616.667,3
rademacher_projection_32,1,0,a303ea0000000007,4200,32,24576,208100,2167.708,3756000,39125.000,3
sign_gradient_171,1,0,a303ea0000000007,4200,171,131328,20400,212.500,3500500,36463.542,3
full_gradient_171,1,0,a303ea0000000008,600,171,131328,17400,181.250,4228800,44050.000,3
output_layer_27,1,0,a303ea0000000008,600,27,20736,10000,104.167,1926200,20064.583,3
