method,anchor_step,reuse_commits,quality_readout_step,partition_age_at_quality_readout,verifier_examples,refresh_feature_plus_partition_ns,amortized_proxy_ns_per_commit,verifier_elapsed_ns_per_commit,projected_total_ns_per_commit,predicted_rmse_at_readout,observed_rmse_v48_at_readout,readout_phase
sign_gradient_171,600,50,650,50,96,2961772,59235,1037294,1096530,0.000000000000e0,,freshness_stale
sign_gradient_171,600,100,700,100,12,2961772,29618,128328,157946,7.676574250941e-4,,freshness_stale
sign_gradient_171,600,100,700,100,24,2961772,29618,256011,285629,5.025497511841e-4,,freshness_stale
sign_gradient_171,600,100,700,100,36,2961772,29618,387956,417573,3.745784685744e-4,,freshness_stale
sign_gradient_171,600,100,700,100,48,2961772,29618,516822,546440,2.901472341273e-4,,freshness_stale
sign_gradient_171,600,100,700,100,72,2961772,29618,795544,825162,1.675165837280e-4,,freshness_stale
sign_gradient_171,600,100,700,100,96,2961772,29618,1037294,1066912,0.000000000000e0,,freshness_stale
sign_gradient_171,2400,1,2400,0,12,2930544,2930544,128706,3059250,1.540007611763e-3,,freshness_fresh
sign_gradient_171,2400,1,2400,0,24,2930544,2930544,257539,3188083,1.008171635959e-3,,freshness_fresh
sign_gradient_171,2400,1,2400,0,36,2930544,2930544,392994,3323539,7.514467703303e-4,,freshness_fresh
sign_gradient_171,2400,1,2400,0,48,2930544,2930544,529522,3460067,5.820681654101e-4,,freshness_fresh
sign_gradient_171,2400,1,2400,0,72,2930544,2930544,784617,3715161,3.360572119863e-4,,freshness_fresh
sign_gradient_171,2400,1,2400,0,96,2930544,2930544,1044211,3974756,0.000000000000e0,,freshness_fresh
sign_gradient_171,2400,25,2425,25,12,2930544,117222,128706,245927,1.572763128962e-3,,freshness_stale
sign_gradient_171,2400,25,2425,25,24,2930544,117222,257539,374761,1.029615155529e-3,,freshness_stale
sign_gradient_171,2400,25,2425,25,36,2930544,117222,392994,510216,7.674298261424e-4,,freshness_stale
sign_gradient_171,2400,25,2425,25,48,2930544,117222,529522,646744,5.944485872065e-4,,freshness_stale
sign_gradient_171,2400,25,2425,25,72,2930544,117222,784617,901838,3.432050518431e-4,,freshness_stale
sign_gradient_171,2400,25,2425,25,96,2930544,117222,1044211,1161433,0.000000000000e0,,freshness_stale
sign_gradient_171,2400,50,2450,50,12,2930544,58611,128706,187316,1.554207969080e-3,,freshness_stale
sign_gradient_171,2400,50,2450,50,24,2930544,58611,257539,316150,1.017467952002e-3,,freshness_stale
sign_gradient_171,2400,50,2450,50,36,2930544,58611,392994,451605,7.583758352014e-4,,freshness_stale
sign_gradient_171,2400,50,2450,50,48,2930544,58611,529522,588133,5.874353959802e-4,,freshness_stale
sign_gradient_171,2400,50,2450,50,72,2930544,58611,784617,843228,3.391559840007e-4,,freshness_stale
sign_gradient_171,2400,50,2450,50,96,2930544,58611,1044211,1102822,0.000000000000e0,,freshness_stale
sign_gradient_171,2400,100,2500,100,12,2930544,29305,128706,158011,1.588109373901e-3,,freshness_stale
sign_gradient_171,2400,100,2500,100,24,2930544,29305,257539,286844,1.039661631110e-3,,freshness_stale
sign_gradient_171,2400,100,2500,100,36,2930544,29305,392994,422300,7.749180269200e-4,,freshness_stale
sign_gradient_171,2400,100,2500,100,48,2930544,29305,529522,558828,6.002489225874e-4,,freshness_stale
sign_gradient_171,2400,100,2500,100,72,2930544,29305,784617,813922,3.465538770366e-4,,freshness_stale
sign_gradient_171,2400,100,2500,100,96,2930544,29305,1044211,1073517,0.000000000000e0,,freshness_stale
