aggregation_level,dataset_index,initialization_index,phase,state_step,anchor_step,offset_from_anchor,partition_age,method,evidence_examples,n_aggregation_units,within_stratum_utility_variance,predicted_rmse,observed_rmse_v48,sign_error_rate_v48,cross_block_regret_v48,selected_program_regret_v48,false_authorization_rate_v48
cell,2,2,freshness_fresh,600,600,0,0,full_gradient_171,72,2,3.658588960805e-6,1.126713511433e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,full_gradient_171,96,2,1.196336215891e-5,0.000000000000e0,,,,,
cell,0,1,freshness_fresh,600,600,0,0,full_gradient_171,96,2,7.571414052579e-6,0.000000000000e0,,,,,
cell,0,2,freshness_fresh,600,600,0,0,full_gradient_171,96,2,3.587440740890e-6,0.000000000000e0,,,,,
cell,1,0,freshness_fresh,600,600,0,0,full_gradient_171,96,2,5.727227573365e-6,0.000000000000e0,,,,,
cell,1,1,freshness_fresh,600,600,0,0,full_gradient_171,96,2,5.043563010846e-6,0.000000000000e0,,,,,
cell,1,2,freshness_fresh,600,600,0,0,full_gradient_171,96,2,4.583550824326e-6,0.000000000000e0,,,,,
cell,2,0,freshness_fresh,600,600,0,0,full_gradient_171,96,2,7.814873411028e-6,0.000000000000e0,,,,,
cell,2,1,freshness_fresh,600,600,0,0,full_gradient_171,96,2,4.970351073830e-6,0.000000000000e0,,,,,
cell,2,2,freshness_fresh,600,600,0,0,full_gradient_171,96,2,3.658588960805e-6,0.000000000000e0,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_00,12,2,1.921186816624e-5,1.183415312792e-3,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_00,12,2,1.383701019172e-5,1.003901919199e-3,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_00,12,2,8.291605518590e-6,7.775243107509e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_00,12,2,1.290392999391e-5,9.694921426279e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_00,12,2,1.143503393428e-5,9.128187602514e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_00,12,2,1.017943114557e-5,8.588315255029e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_00,12,2,1.436281580522e-5,1.021520808924e-3,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_00,12,2,1.036023727825e-5,8.676272505035e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_00,12,2,8.656574956334e-6,7.944127229149e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_00,24,2,1.921186816624e-5,7.747271784912e-4,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_00,24,2,1.383701019172e-5,6.572080764342e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_00,24,2,8.291605518590e-6,5.090091440978e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_00,24,2,1.290392999391e-5,6.346815898939e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_00,24,2,1.143503393428e-5,5.975801520897e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_00,24,2,1.017943114557e-5,5.622372106902e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_00,24,2,1.436281580522e-5,6.687423472668e-4,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_00,24,2,1.036023727825e-5,5.679953643484e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_00,24,2,8.656574956334e-6,5.200652051134e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_00,36,2,1.921186816624e-5,5.774475450410e-4,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_00,36,2,1.383701019172e-5,4.898539780896e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_00,36,2,8.291605518590e-6,3.793930157905e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_00,36,2,1.290392999391e-5,4.730637263568e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_00,36,2,1.143503393428e-5,4.454099473591e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_00,36,2,1.017943114557e-5,4.190668741944e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_00,36,2,1.436281580522e-5,4.984511159738e-4,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_00,36,2,1.036023727825e-5,4.233587485293e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_00,36,2,8.656574956334e-6,3.876337171219e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,1.921186816624e-5,4.472889450504e-4,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,1.383701019172e-5,3.794392598429e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,8.291605518590e-6,2.938765663648e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,1.290392999391e-5,3.664335867749e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,1.143503393428e-5,3.450130616714e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,1.017943114557e-5,3.246078049404e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,1.436281580522e-5,3.860985742130e-4,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,1.036023727825e-5,3.279322765050e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,8.656574956334e-6,3.002597861684e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_00,72,2,1.921186816624e-5,2.582423928304e-4,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_00,72,2,1.383701019172e-5,2.190693588114e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_00,72,2,8.291605518590e-6,1.696697146993e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_00,72,2,1.290392999391e-5,2.115605299646e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_00,72,2,1.143503393428e-5,1.991933840299e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_00,72,2,1.017943114557e-5,1.874124035634e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_00,72,2,1.436281580522e-5,2.229141157556e-4,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_00,72,2,1.036023727825e-5,1.893317881161e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_00,72,2,8.656574956334e-6,1.733550683711e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_00,96,2,1.921186816624e-5,0.000000000000e0,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_00,96,2,1.383701019172e-5,0.000000000000e0,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_00,96,2,8.291605518590e-6,0.000000000000e0,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_00,96,2,1.290392999391e-5,0.000000000000e0,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_00,96,2,1.143503393428e-5,0.000000000000e0,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_00,96,2,1.017943114557e-5,0.000000000000e0,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_00,96,2,1.436281580522e-5,0.000000000000e0,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_00,96,2,1.036023727825e-5,0.000000000000e0,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_00,96,2,8.656574956334e-6,0.000000000000e0,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_01,12,2,1.891488710614e-5,1.174184627010e-3,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_01,12,2,1.330340929293e-5,9.844328503844e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_01,12,2,8.322244286658e-6,7.789120459413e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_01,12,2,1.252833245313e-5,9.553175513054e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_01,12,2,1.150484712667e-5,9.155294829716e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_01,12,2,9.680358354365e-6,8.375172427818e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_01,12,2,1.434775075191e-5,1.021160920571e-3,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_01,12,2,9.861727770482e-6,8.463277084592e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_01,12,2,8.493203876350e-6,7.868676037145e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_01,24,2,1.891488710614e-5,7.686842761609e-4,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_01,24,2,1.330340929293e-5,6.444625790697e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_01,24,2,8.322244286658e-6,5.099176300341e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_01,24,2,1.252833245313e-5,6.254021416538e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_01,24,2,1.150484712667e-5,5.993547366688e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_01,24,2,9.680358354365e-6,5.482837372683e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_01,24,2,1.434775075191e-5,6.685067450353e-4,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_01,24,2,9.861727770482e-6,5.540515409647e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_01,24,2,8.493203876350e-6,5.151257651329e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_01,36,2,1.891488710614e-5,5.729434315770e-4,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_01,36,2,1.330340929293e-5,4.803540452515e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_01,36,2,8.322244286658e-6,3.800701612273e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_01,36,2,1.252833245313e-5,4.661472340040e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_01,36,2,1.150484712667e-5,4.467326446093e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_01,36,2,9.680358354365e-6,4.086665691632e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_01,36,2,1.434775075191e-5,4.982755084387e-4,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_01,36,2,9.861727770482e-6,4.129656362118e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_01,36,2,8.493203876350e-6,3.839520759329e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,1.891488710614e-5,4.438000737633e-4,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,1.330340929293e-5,3.720806435085e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,8.322244286658e-6,2.944010809647e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,1.252833245313e-5,3.610760948356e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,1.150484712667e-5,3.460376185558e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,9.680358354365e-6,3.165517633041e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,1.434775075191e-5,3.859625492012e-4,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,9.861727770482e-6,3.198818063209e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,8.493203876350e-6,2.974079991660e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_01,72,2,1.891488710614e-5,2.562280920536e-4,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_01,72,2,1.330340929293e-5,2.148208596899e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_01,72,2,8.322244286658e-6,1.699725433447e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_01,72,2,1.252833245313e-5,2.084673805513e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_01,72,2,1.150484712667e-5,1.997849122229e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_01,72,2,9.680358354365e-6,1.827612457561e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_01,72,2,1.434775075191e-5,2.228355816784e-4,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_01,72,2,9.861727770482e-6,1.846838469882e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_01,72,2,8.493203876350e-6,1.717085883776e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_01,96,2,1.891488710614e-5,0.000000000000e0,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_01,96,2,1.330340929293e-5,0.000000000000e0,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_01,96,2,8.322244286658e-6,0.000000000000e0,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_01,96,2,1.252833245313e-5,0.000000000000e0,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_01,96,2,1.150484712667e-5,0.000000000000e0,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_01,96,2,9.680358354365e-6,0.000000000000e0,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_01,96,2,1.434775075191e-5,0.000000000000e0,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_01,96,2,9.861727770482e-6,0.000000000000e0,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_01,96,2,8.493203876350e-6,0.000000000000e0,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_02,12,2,1.910238975932e-5,1.179992356654e-3,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_02,12,2,1.373858282850e-5,1.000404372781e-3,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_02,12,2,8.362807746089e-6,7.808775847052e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_02,12,2,1.312448847325e-5,9.777024857733e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_02,12,2,1.153428722255e-5,9.168083755124e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_02,12,2,1.002842460174e-5,8.524472007704e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_02,12,2,1.438113796547e-5,1.022124607864e-3,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_02,12,2,1.011835691612e-5,8.572844986548e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_02,12,2,8.673469254560e-6,7.951990665130e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_02,24,2,1.910238975932e-5,7.724863276909e-4,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_02,24,2,1.373858282850e-5,6.549183948334e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_02,24,2,8.362807746089e-6,5.112043772009e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_02,24,2,1.312448847325e-5,6.400565211718e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_02,24,2,1.153428722255e-5,6.001919683650e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_02,24,2,1.002842460174e-5,5.580576890691e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_02,24,2,1.438113796547e-5,6.691376264590e-4,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_02,24,2,1.011835691612e-5,5.612244438854e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_02,24,2,8.673469254560e-6,5.205799878363e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_02,36,2,1.910238975932e-5,5.757773134687e-4,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_02,36,2,1.373858282850e-5,4.881473501875e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_02,36,2,8.362807746089e-6,3.810292459389e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_02,36,2,1.312448847325e-5,4.770699635941e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_02,36,2,1.153428722255e-5,4.473566802712e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_02,36,2,1.002842460174e-5,4.159516427083e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_02,36,2,1.438113796547e-5,4.987457396884e-4,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_02,36,2,1.011835691612e-5,4.183120023875e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_02,36,2,8.673469254560e-6,3.880174135093e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,1.910238975932e-5,4.459951892376e-4,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,1.373858282850e-5,3.781173115543e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,8.362807746089e-6,2.951439847878e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,1.312448847325e-5,3.695368047951e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,1.153428722255e-5,3.465209945010e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,1.002842460174e-5,3.221947570074e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,1.438113796547e-5,3.863267887610e-4,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,1.011835691612e-5,3.240230837531e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,8.673469254560e-6,3.005569961120e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_02,72,2,1.910238975932e-5,2.574954425636e-4,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_02,72,2,1.373858282850e-5,2.183061316111e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_02,72,2,8.362807746089e-6,1.704014590670e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_02,72,2,1.312448847325e-5,2.133521737239e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_02,72,2,1.153428722255e-5,2.000639894550e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_02,72,2,1.002842460174e-5,1.860192296897e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_02,72,2,1.438113796547e-5,2.230458754863e-4,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_02,72,2,1.011835691612e-5,1.870748146285e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_02,72,2,8.673469254560e-6,1.735266626121e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_02,96,2,1.910238975932e-5,0.000000000000e0,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_02,96,2,1.373858282850e-5,0.000000000000e0,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_02,96,2,8.362807746089e-6,0.000000000000e0,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_02,96,2,1.312448847325e-5,0.000000000000e0,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_02,96,2,1.153428722255e-5,0.000000000000e0,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_02,96,2,1.002842460174e-5,0.000000000000e0,,,,,
