dataset_index,initialization_index,stream_seed,state_step,phase,anchor_step,offset_from_anchor,partition_age,method,candidate_count,within_stratum_utility_variance,predicted_rmse_v48,observed_panel_rmse_v48,sign_error_rate_v48,cross_block_regret_v48,selected_program_regret_v48,false_authorization_rate_v48
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_00,170,1.985582892909e-5,4.547873693768e-4,4.596056049794e-4,0.312591912,4.759117516642e-4,5.547740902330e-4,0.296875000
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_01,170,1.963574508170e-5,4.522598934990e-4,4.564137974504e-4,0.314246324,4.493539412067e-4,5.305712255250e-4,0.250000000
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_02,170,1.982655652006e-5,4.544520111269e-4,4.500165850338e-4,0.299724265,4.301305471017e-4,4.802269413062e-4,0.218750000
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_03,170,1.963063236866e-5,4.522010104370e-4,4.304615198141e-4,0.304595588,4.081593356204e-4,4.680597427864e-4,0.218750000
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_04,170,1.942133481339e-5,4.497839158671e-4,4.487501479045e-4,0.302481618,3.442269280640e-4,3.757408760521e-4,0.171875000
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_05,170,1.977113196072e-5,4.538163629240e-4,4.370394394310e-4,0.281525735,3.375260644134e-4,3.861483497190e-4,0.203125000
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_06,170,1.981447662211e-5,4.543135460748e-4,4.604441418608e-4,0.298253676,3.573925342550e-4,4.025178005378e-4,0.156250000
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_07,170,1.923344980880e-5,4.476029887169e-4,4.603666614744e-4,0.299724265,3.844129646495e-4,4.287128072633e-4,0.203125000
0,0,a303ea0000000001,600,frontier_fresh,,,0,full_gradient_171,170,1.166408427491e-5,3.485697603976e-4,3.466181021079e-4,0.263878676,2.461686817696e-4,2.701813306771e-4,0.093750000
0,0,a303ea0000000001,600,frontier_fresh,,,0,output_layer_27,170,1.122193278780e-5,3.418993027285e-4,3.514856898414e-4,0.260753676,4.558035373066e-4,5.462544772286e-4,0.265625000
0,0,a303ea0000000001,600,frontier_fresh,,,0,last_hidden_layer_72,170,1.193532866809e-5,3.525994048387e-4,3.532676069941e-4,0.261580882,3.754316658160e-4,4.153329973065e-4,0.171875000
0,0,a303ea0000000001,600,frontier_fresh,,,0,rademacher_projection_32,170,1.252402236297e-5,3.611904847597e-4,3.564437550914e-4,0.264797794,2.351903979161e-4,2.640698378400e-4,0.093750000
0,0,a303ea0000000001,600,frontier_fresh,,,0,sign_gradient_171,170,1.306176037046e-5,3.688631234740e-4,3.608483116470e-4,0.276562500,2.302202785813e-4,2.556836758458e-4,0.109375000
0,0,a303ea0000000001,600,frontier_fresh,,,0,hash_placebo_mean,170,1.964864451307e-5,4.524021372528e-4,4.503872372435e-4,0.301642923,3.983892583719e-4,4.533439791778e-4,0.214843750
0,0,a303ea0000000001,600,freshness_fresh,600,0,0,hash_placebo_00,170,1.985582892909e-5,4.547873693768e-4,4.596056049794e-4,0.312591912,4.759117516642e-4,5.547740902330e-4,0.296875000
0,0,a303ea0000000001,600,freshness_fresh,600,0,0,hash_placebo_01,170,1.963574508170e-5,4.522598934990e-4,4.564137974504e-4,0.314246324,4.493539412067e-4,5.305712255250e-4,0.250000000
0,0,a303ea0000000001,600,freshness_fresh,600,0,0,hash_placebo_02,170,1.982655652006e-5,4.544520111269e-4,4.500165850338e-4,0.299724265,4.301305471017e-4,4.802269413062e-4,0.218750000
0,0,a303ea0000000001,600,freshness_fresh,600,0,0,hash_placebo_03,170,1.963063236866e-5,4.522010104370e-4,4.304615198141e-4,0.304595588,4.081593356204e-4,4.680597427864e-4,0.218750000
0,0,a303ea0000000001,600,freshness_fresh,600,0,0,hash_placebo_04,170,1.942133481339e-5,4.497839158671e-4,4.487501479045e-4,0.302481618,3.442269280640e-4,3.757408760521e-4,0.171875000
0,0,a303ea0000000001,600,freshness_fresh,600,0,0,hash_placebo_05,170,1.977113196072e-5,4.538163629240e-4,4.370394394310e-4,0.281525735,3.375260644134e-4,3.861483497190e-4,0.203125000
0,0,a303ea0000000001,600,freshness_fresh,600,0,0,hash_placebo_06,170,1.981447662211e-5,4.543135460748e-4,4.604441418608e-4,0.298253676,3.573925342550e-4,4.025178005378e-4,0.156250000
0,0,a303ea0000000001,600,freshness_fresh,600,0,0,hash_placebo_07,170,1.923344980880e-5,4.476029887169e-4,4.603666614744e-4,0.299724265,3.844129646495e-4,4.287128072633e-4,0.203125000
