arm,epoch,loss_before,loss_after,accuracy_after,selected,no_op,blocked,min_selected_magnitude,sign_reversals,both_sign_available,one_sign_available,no_legal_move
A0,72,0.39282930,0.38670784,1.00000000,12,5,0,0.02000000,5,17,0,0
A0,73,0.38670784,0.37779099,1.00000000,10,7,0,0.02000000,4,17,0,0
A0,74,0.37779099,0.37707493,1.00000000,10,7,0,0.02000000,3,17,0,0
A0,75,0.37707493,0.37127164,1.00000000,13,4,0,0.02000000,5,17,0,0
A0,76,0.37127164,0.36355728,1.00000000,10,7,0,0.02000000,5,17,0,0
A0,77,0.36355728,0.36322334,1.00000000,11,6,0,0.02000000,4,17,0,0
A0,78,0.36322334,0.35709244,1.00000000,12,5,0,0.02000000,5,17,0,0
A0,79,0.35709244,0.34820616,1.00000000,10,7,0,0.02000000,4,17,0,0
A0,80,0.34820616,0.34728935,1.00000000,10,7,0,0.02000000,3,17,0,0
A0,81,0.34728935,0.34188634,1.00000000,13,4,0,0.02000000,5,17,0,0
A0,82,0.34188634,0.33406174,1.00000000,10,7,0,0.02000000,5,17,0,0
A0,83,0.33406174,0.33411565,1.00000000,11,6,0,0.02000000,4,17,0,0
A0,84,0.33411565,0.32783583,1.00000000,12,5,0,0.02000000,5,17,0,0
A0,85,0.32783583,0.32215279,1.00000000,10,7,0,0.02000000,3,17,0,0
A0,86,0.32215279,0.31979477,1.00000000,11,6,0,0.02000000,4,17,0,0
A0,87,0.31979477,0.31303406,1.00000000,12,5,0,0.02000000,5,17,0,0
A0,88,0.31303406,0.31045428,1.00000000,11,6,0,0.02000000,5,17,0,0
A0,89,0.31045428,0.30527276,1.00000000,10,7,0,0.02000000,4,17,0,0
A0,90,0.30527276,0.30270460,1.00000000,12,5,0,0.02000000,3,17,0,0
A0,91,0.30270460,0.29625455,1.00000000,11,6,0,0.02000000,5,17,0,0
A0,92,0.29625455,0.29165423,1.00000000,10,7,0,0.02000000,4,17,0,0
A0,93,0.29165423,0.29109541,1.00000000,13,4,0,0.02000000,5,17,0,0
A0,94,0.29109541,0.28395712,1.00000000,10,7,0,0.02000000,7,17,0,0
A0,95,0.28395712,0.27891669,1.00000000,10,7,0,0.02000000,5,17,0,0
A0,96,0.27891669,0.27665973,1.00000000,12,5,0,0.02000000,4,17,0,0
A0,97,0.27665973,0.27023512,1.00000000,11,6,0,0.02000000,5,17,0,0
A0,98,0.27023512,0.26583338,1.00000000,10,7,0,0.02000000,4,17,0,0
A0,99,0.26583338,0.26532549,1.00000000,13,4,0,0.02000000,5,17,0,0
A0,100,0.26532549,0.25849533,1.00000000,10,7,0,0.02000000,7,17,0,0
A0,101,0.25849533,0.25354326,1.00000000,10,7,0,0.02000000,5,17,0,0
A0,102,0.25354326,0.25149167,1.00000000,12,5,0,0.02000000,4,17,0,0
A0,103,0.25149167,0.24609703,1.00000000,11,6,0,0.02000000,6,17,0,0
A0,104,0.24609703,0.24256940,1.00000000,10,7,0,0.02000000,7,17,0,0
A0,105,0.24256940,0.24147299,1.00000000,13,4,0,0.02000000,7,17,0,0
A0,106,0.24147299,0.23421943,1.00000000,10,7,0,0.02000000,5,17,0,0
