state_id,cell_id,dataset_id,initialization_id,stage,action_id,block_id,left_parameter,right_parameter,left_layer,right_layer,left_rank,right_rank,left_delta,right_delta,u0_train,u0_heldout,taylor_train,taylor_heldout,output_taylor_train,output_taylor_heldout,projected_within_utility_variance
0,0,0,0,600,0,1,87,85,hidden1-hidden2,hidden1-hidden2,0,0,-0.020000000,0.020000000,1.865799228350e-4,8.373092859983e-4,2.066165668045e-4,8.422006903857e-4,,,4.000793792943e-6
0,0,0,0,600,1,1,87,85,hidden1-hidden2,hidden1-hidden2,1,1,-0.010000000,0.010000000,9.536494811376e-5,4.201407233874e-4,1.033082834023e-4,4.211003451928e-4,,,1.000333620752e-6
0,0,0,0,600,2,2,88,84,hidden1-hidden2,hidden1-hidden2,0,1,-0.020000000,-0.010000000,-1.034879436096e-4,9.055808186531e-5,-1.016295470736e-4,8.880470844967e-5,,,5.145915405874e-7
0,0,0,0,600,3,2,88,84,hidden1-hidden2,hidden1-hidden2,1,0,-0.010000000,-0.020000000,-6.788534422716e-5,-1.707983513673e-5,-6.185060276861e-5,-3.848970889446e-5,,,1.061079581889e-6
0,0,0,0,600,4,3,89,83,hidden1-hidden2,hidden1-hidden2,0,1,0.020000000,-0.010000000,2.555238703887e-4,-2.096345027288e-5,2.568717669670e-4,-1.937378590355e-5,,,1.535022906738e-6
0,0,0,0,600,5,3,89,83,hidden1-hidden2,hidden1-hidden2,1,0,0.010000000,-0.020000000,1.056386778752e-4,4.110857844353e-6,1.062492769440e-4,7.170849282071e-6,,,7.812981476183e-7
0,0,0,0,600,6,4,90,82,hidden1-hidden2,hidden1-hidden2,0,1,-0.020000000,-0.010000000,1.320727169514e-4,-1.442190259695e-4,1.205201486224e-4,-1.836369458677e-4,,,2.847023361998e-6
0,0,0,0,600,7,4,90,82,hidden1-hidden2,hidden1-hidden2,1,0,-0.010000000,-0.020000000,1.952263216178e-4,-5.617241064707e-5,2.219313634365e-4,-1.279520761652e-4,,,4.346525305362e-6
0,0,0,0,600,8,5,91,81,hidden1-hidden2,hidden1-hidden2,0,1,0.020000000,0.010000000,2.655771871408e-4,2.046277125676e-4,2.755568964196e-4,1.994079959786e-4,,,1.731743343984e-6
0,0,0,0,600,9,5,91,81,hidden1-hidden2,hidden1-hidden2,1,0,0.010000000,0.020000000,4.538986831903e-4,2.371656397978e-4,4.568182163487e-4,2.399484662116e-4,,,3.562878938273e-6
0,0,0,0,600,10,6,92,80,hidden1-hidden2,hidden1-hidden2,0,0,0.020000000,-0.020000000,-6.428236762683e-5,9.899462262789e-5,-4.790818650235e-5,7.428209054675e-5,,,5.534235707853e-7
0,0,0,0,600,11,6,92,80,hidden1-hidden2,hidden1-hidden2,1,1,0.010000000,-0.010000000,-2.814580996831e-5,3.693252801895e-5,-2.395409325118e-5,3.714104527338e-5,,,1.353091296230e-7
0,0,0,0,600,12,7,93,79,hidden1-hidden2,hidden1-hidden2,0,1,-0.020000000,0.010000000,-2.244114875793e-4,5.540965745846e-4,-2.225993285920e-4,5.558485694029e-4,,,1.204500614980e-6
0,0,0,0,600,13,7,93,79,hidden1-hidden2,hidden1-hidden2,1,0,-0.010000000,0.020000000,-8.984096348286e-5,1.837089657784e-4,-8.922717966620e-5,1.843221693652e-4,,,4.926196095906e-7
0,0,0,0,600,14,8,94,78,hidden1-hidden2,hidden1-hidden2,0,0,0.020000000,-0.020000000,-7.539428770542e-5,-6.576130787532e-5,-6.988987721949e-5,-6.458540644161e-5,,,2.007816764909e-6
0,0,0,0,600,15,8,94,78,hidden1-hidden2,hidden1-hidden2,1,1,0.010000000,-0.010000000,-3.535052140554e-5,-3.256772955259e-5,-3.494493860975e-5,-3.229270322080e-5,,,5.009452731982e-7
0,0,0,0,600,16,9,95,77,hidden1-hidden2,hidden1-hidden2,0,0,-0.020000000,0.020000000,-1.651172836622e-5,3.838855773211e-4,-1.977485937014e-5,3.768581353635e-4,,,1.764854338689e-6
0,0,0,0,600,17,9,95,77,hidden1-hidden2,hidden1-hidden2,1,1,-0.010000000,0.010000000,-1.026876270771e-5,1.869959135850e-4,-9.887429685070e-6,1.884290676818e-4,,,4.433973510622e-7
0,0,0,0,600,18,10,96,76,hidden1-hidden2,hidden1-hidden2,0,1,0.020000000,-0.010000000,-1.074696580569e-4,1.584384590387e-4,-1.072733912982e-4,1.586416047203e-4,,,2.044251732151e-7
0,0,0,0,600,19,10,96,76,hidden1-hidden2,hidden1-hidden2,1,0,0.010000000,-0.020000000,-9.817009170850e-5,1.609915246566e-4,-9.807563300749e-5,1.611071440273e-4,,,1.025896725626e-7
0,0,0,0,600,20,11,97,75,hidden1-hidden2,hidden1-hidden2,0,1,-0.020000000,-0.010000000,8.955659965674e-5,4.354926447074e-5,9.281178474888e-5,4.387632878415e-5,,,3.826143671198e-7
0,0,0,0,600,21,11,97,75,hidden1-hidden2,hidden1-hidden2,1,0,-0.010000000,-0.020000000,3.993945817153e-5,9.016940991084e-5,4.106992640610e-5,9.032606881002e-5,,,2.458674103524e-7
0,0,0,0,600,22,12,98,74,hidden1-hidden2,hidden1-hidden2,0,0,0.020000000,0.020000000,5.307154109081e-4,-1.194622367620e-3,5.366082863626e-4,-1.188518659446e-3,,,3.236333921080e-6
0,0,0,0,600,23,12,98,74,hidden1-hidden2,hidden1-hidden2,1,1,0.010000000,0.010000000,2.668444067240e-4,-5.957713971535e-4,2.683041431813e-4,-5.942593297229e-4,,,8.098993816569e-7
0,0,0,0,600,24,13,99,73,hidden1-hidden2,hidden1-hidden2,0,1,-0.020000000,-0.010000000,-6.848759949207e-5,2.771858125925e-4,-6.803726298917e-5,2.650685507888e-4,,,5.585400913490e-7
0,0,0,0,600,25,13,99,73,hidden1-hidden2,hidden1-hidden2,1,0,-0.010000000,-0.020000000,-8.224199215571e-5,7.586926221848e-5,-8.191334672247e-5,7.275520658823e-5,,,3.357431550185e-7
0,0,0,0,600,26,14,100,72,hidden1-hidden2,hidden1-hidden2,0,1,-0.020000000,0.010000000,-2.507430811723e-4,4.516908278068e-4,-2.500509191482e-4,4.506936372408e-4,,,3.524547375807e-7
0,0,0,0,600,27,14,100,72,hidden1-hidden2,hidden1-hidden2,1,0,-0.010000000,0.020000000,-1.253001391888e-4,2.796724438667e-4,-1.251055390107e-4,2.799272186138e-4,,,1.272225310563e-7
0,0,0,0,600,28,15,101,71,hidden1-hidden2,hidden1-bias,0,1,0.020000000,0.020000000,-1.986753195524e-4,7.105264812708e-4,-1.656196973651e-4,5.974100773187e-4,,,3.072840101726e-6
0,0,0,0,600,29,15,101,71,hidden1-hidden2,hidden1-bias,1,0,0.010000000,0.010000000,-8.739779392878e-5,2.828488747279e-4,-8.280984868255e-5,2.987050386594e-4,,,7.710152976533e-7
0,0,0,0,600,30,16,102,70,hidden1-hidden2,hidden1-bias,0,1,-0.020000000,-0.010000000,-2.527919908365e-5,2.563397089640e-4,-2.956097845678e-5,2.193750923425e-4,,,1.599217017279e-6
0,0,0,0,600,31,16,102,70,hidden1-hidden2,hidden1-bias,1,0,-0.010000000,-0.020000000,-1.889094710350e-5,1.312674333652e-4,-2.036411471333e-5,1.399746103630e-4,,,1.119391067718e-6
0,0,0,0,600,32,17,103,69,hidden1-hidden2,hidden1-bias,0,1,0.020000000,-0.010000000,-2.209072311719e-4,6.356934706370e-4,-1.898147952678e-4,6.788056769551e-4,,,1.485866677097e-5
0,0,0,0,600,33,17,103,69,hidden1-hidden2,hidden1-bias,1,0,0.010000000,-0.020000000,-8.089163651069e-4,1.693387205402e-3,-6.114916346576e-4,1.810260138039e-3,,,4.722653308378e-5
0,0,0,0,600,34,18,104,68,hidden1-hidden2,hidden1-bias,0,0,0.000000000,-0.020000000,-5.165984233220e-5,5.271285772324e-5,2.646929715411e-7,6.243298124294e-5,,,3.154303022427e-6
0,0,0,0,600,35,18,104,68,hidden1-hidden2,hidden1-bias,1,1,-0.020000000,-0.010000000,-1.293110350768e-5,2.706237137318e-5,-8.784618482120e-6,3.121649062147e-5,,,8.468582359209e-7
0,0,0,0,600,36,19,105,67,hidden1-hidden2,hidden1-bias,0,1,0.000000000,0.010000000,1.399467388789e-5,1.351783672969e-5,1.716193409607e-5,4.456381304863e-6,,,1.355470194050e-7
0,0,0,0,600,37,19,105,67,hidden1-hidden2,hidden1-bias,1,0,-0.020000000,0.020000000,2.419513960679e-5,4.794386525949e-5,3.432386819213e-5,8.912762609725e-6,,,5.368674801526e-7
0,0,0,0,600,38,20,106,66,hidden1-hidden2,hidden1-bias,0,0,0.000000000,-0.020000000,8.695324261983e-5,7.558378080527e-4,1.071358765330e-4,7.720121266175e-4,,,1.940643540072e-5
0,0,0,0,600,39,20,106,66,hidden1-hidden2,hidden1-bias,1,1,-0.020000000,-0.010000000,-2.531893551350e-5,3.698312987884e-4,-2.095944819303e-5,3.860060633087e-4,,,5.278286685011e-6
0,0,0,0,600,40,21,107,65,hidden1-hidden2,hidden1-bias,0,0,0.000000000,-0.020000000,3.732393185298e-4,-5.437340587378e-4,3.850745645953e-4,-6.652643502700e-4,,,9.428450869893e-6
0,0,0,0,600,41,21,107,65,hidden1-hidden2,hidden1-bias,1,1,-0.020000000,-0.010000000,1.891578237216e-4,-2.784182627996e-4,1.925372822977e-4,-3.326321751350e-4,,,2.356880563307e-6
0,0,0,0,600,42,22,108,64,hidden1-hidden2,hidden1-bias,0,1,0.000000000,-0.010000000,-9.353148440520e-5,3.399793058634e-4,-9.189353121049e-5,3.408527004230e-4,,,7.370216741122e-7
0,0,0,0,600,43,22,108,64,hidden1-hidden2,hidden1-bias,1,0,-0.020000000,-0.020000000,-1.892851044734e-4,6.606262177229e-4,-1.842496944088e-4,6.817054008460e-4,,,2.947812985215e-6
