cell_id,state_arm,step,source,candidate_count,spearman,pairwise_agreement,pair_count,top1_agreement,candidate_regret,utility_spread
0,training_full96,0,training,170,0.588699784,0.724149944,14352,0.000000000,4.281997680664e-4,1.723885536194e-3
0,training_full96,0,fixed,170,0.531811628,0.701581992,14349,1.000000000,0.000000000000e0,8.763074874878e-4
0,training_full96,0,rotating,170,0.126654559,0.551738555,14351,0.000000000,4.281997680664e-4,1.039505004883e-3
0,training_full96,600,training,170,0.000591108,0.503726405,14357,0.000000000,3.807663917542e-3,1.629471778870e-3
0,training_full96,600,fixed,170,0.658532430,0.769637883,14360,0.000000000,3.035068511963e-3,1.638495922089e-2
0,training_full96,600,rotating,170,0.379867929,0.650302904,14361,0.000000000,4.626989364624e-3,7.171869277954e-3
0,training_full96,2400,training,170,0.029245237,0.506931383,14355,0.000000000,1.831197738647e-2,7.567778229713e-4
0,training_full96,2400,fixed,170,0.720311918,0.769161156,14365,0.000000000,4.503726959229e-3,3.571867942810e-2
0,training_full96,2400,rotating,170,0.513102631,0.684023669,14365,0.000000000,4.503726959229e-3,3.348565101624e-2
0,training_full96,4200,training,170,-0.234332175,0.414326930,14211,0.000000000,3.758263587952e-2,9.243190288544e-5
0,training_full96,4200,fixed,170,0.293378425,0.609477352,14350,0.000000000,2.609181404114e-2,4.408049583435e-2
0,training_full96,4200,rotating,170,0.494212767,0.678932330,14349,0.000000000,2.135753631592e-2,6.059932708740e-2
0,sentinel_fixed128,0,training,170,0.588699784,0.724149944,14352,0.000000000,4.281997680664e-4,1.723885536194e-3
0,sentinel_fixed128,0,fixed,170,0.531811628,0.701581992,14349,1.000000000,0.000000000000e0,8.763074874878e-4
0,sentinel_fixed128,0,rotating,170,0.126654559,0.551738555,14351,0.000000000,4.281997680664e-4,1.039505004883e-3
0,sentinel_fixed128,600,training,170,-0.044686945,0.485057471,14355,0.000000000,3.864943981171e-3,8.169054985046e-3
0,sentinel_fixed128,600,fixed,170,0.095832875,0.535228936,14349,0.000000000,2.211928367615e-3,1.230180263519e-3
0,sentinel_fixed128,600,rotating,170,0.009070757,0.505050505,14355,0.000000000,3.886818885803e-3,6.962835788727e-3
0,sentinel_fixed128,2400,training,170,0.379034312,0.632971317,14364,0.000000000,6.411194801331e-3,1.938307285309e-2
0,sentinel_fixed128,2400,fixed,170,-0.149750123,0.443570285,14363,0.000000000,1.811373233795e-2,9.286701679230e-4
0,sentinel_fixed128,2400,rotating,170,-0.070682318,0.476608187,14364,0.000000000,9.788990020752e-3,1.502299308777e-2
0,sentinel_fixed128,4200,training,170,0.252068563,0.589349112,14365,0.000000000,1.990604400635e-2,6.639480590820e-2
0,sentinel_fixed128,4200,fixed,170,-0.096393386,0.466680681,14271,0.000000000,2.669453620911e-2,8.366676047444e-5
0,sentinel_fixed128,4200,rotating,170,0.298362858,0.602575705,14365,0.000000000,1.062965393066e-2,2.519655227661e-2
0,sentinel_rotating128,0,training,170,0.588699784,0.724149944,14352,0.000000000,4.281997680664e-4,1.723885536194e-3
0,sentinel_rotating128,0,fixed,170,0.531811628,0.701581992,14349,1.000000000,0.000000000000e0,8.763074874878e-4
0,sentinel_rotating128,0,rotating,170,0.126654559,0.551738555,14351,0.000000000,4.281997680664e-4,1.039505004883e-3
0,sentinel_rotating128,600,training,170,0.501555038,0.683605186,14346,0.000000000,1.151919364929e-3,2.715706825256e-3
0,sentinel_rotating128,600,fixed,170,0.439363018,0.661975756,14354,0.000000000,1.675605773926e-3,2.309560775757e-3
0,sentinel_rotating128,600,rotating,170,0.625947272,0.748432493,14354,0.000000000,1.793444156647e-3,1.823186874390e-3
0,sentinel_rotating128,2400,training,170,0.223261000,0.582886584,14363,0.000000000,3.017783164978e-3,4.509866237640e-3
0,sentinel_rotating128,2400,fixed,170,0.244002079,0.597326650,14364,0.000000000,4.090189933777e-3,3.803491592407e-3
0,sentinel_rotating128,2400,rotating,170,-0.215907460,0.417084378,14364,0.000000000,2.360165119171e-3,4.809677600861e-3
0,sentinel_rotating128,4200,training,170,-0.069395075,0.471247563,14364,0.000000000,6.433784961700e-3,6.130099296570e-3
0,sentinel_rotating128,4200,fixed,170,0.160127454,0.556777832,14363,0.000000000,2.388298511505e-3,8.057296276093e-3
0,sentinel_rotating128,4200,rotating,170,0.088453403,0.539720114,14363,0.000000000,4.091203212738e-3,5.210995674133e-3
1,training_full96,0,training,170,0.564875796,0.706456561,14342,1.000000000,0.000000000000e0,2.607583999634e-3
1,training_full96,0,fixed,170,0.503345770,0.682860528,14347,1.000000000,0.000000000000e0,1.418113708496e-3
1,training_full96,0,rotating,170,0.246601416,0.593129399,14351,1.000000000,0.000000000000e0,1.464009284973e-3
1,training_full96,600,training,170,0.156252252,0.547575926,14356,0.000000000,5.241870880127e-3,2.019584178925e-3
1,training_full96,600,fixed,170,0.472360618,0.686159844,14364,0.000000000,3.163635730743e-3,1.121699810028e-2
1,training_full96,600,rotating,170,0.329803182,0.624147055,14362,0.000000000,6.143391132355e-3,1.636421680450e-2
1,training_full96,2400,training,170,0.065555030,0.523617110,14354,0.000000000,8.659958839417e-3,1.244381070137e-3
