dataset_index,initialization_index,stream_seed,method,n_states,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
1,0,a303ea0000000008,hash_placebo_mean,3,3.158556437415e-5,5.579734183478e-4,5.582393489764e-4,0.316386555,5.411776735347e-4,6.058817900578e-4,0.162109375
1,1,a303ea0000000009,development_response_oracle,3,2.485220654042e-5,4.811268827560e-4,4.892540160737e-4,0.327946445,3.638312781087e-4,4.229126011346e-4,0.187500000
1,1,a303ea000000000a,development_response_oracle,3,3.239908658552e-5,5.433357423823e-4,5.461772458553e-4,0.293900602,4.897297801942e-4,5.427553482088e-4,0.156250000
1,1,a303ea0000000009,evaluation_state_response_comparator,3,2.311473540480e-5,4.604873538714e-4,4.604904148164e-4,0.321204544,3.809762823019e-4,4.342266335513e-4,0.166666667
1,1,a303ea000000000a,evaluation_state_response_comparator,3,2.999325016214e-5,5.155289258556e-4,5.204360830895e-4,0.283761517,4.568936688732e-4,5.080339235164e-4,0.156250000
1,1,a303ea0000000009,gradient_full171,3,2.388868020182e-5,4.673269792544e-4,4.578082733239e-4,0.322049714,3.612837707919e-4,4.066476309805e-4,0.145833333
1,1,a303ea000000000a,gradient_full171,3,3.047851556621e-5,5.198886672542e-4,5.149779378785e-4,0.275905460,4.681197336443e-4,5.204737743227e-4,0.187500000
1,1,a303ea0000000009,hash_placebo_mean,3,3.347565562373e-5,5.663025654109e-4,5.651732632370e-4,0.347963810,3.821518503462e-4,4.519541916973e-4,0.215494792
1,1,a303ea000000000a,hash_placebo_mean,3,4.056920218169e-5,6.190886601801e-4,6.168022237606e-4,0.310628036,5.176036640838e-4,5.873067260943e-4,0.214192708
1,2,a303ea000000000b,development_response_oracle,3,2.465009705107e-5,4.737527534877e-4,4.849950568947e-4,0.291550066,6.297047666427e-4,6.537372426768e-4,0.062500000
1,2,a303ea000000000c,development_response_oracle,3,2.625557177993e-5,4.975234367138e-4,4.881606411850e-4,0.272207151,3.744772505693e-4,4.837383393295e-4,0.229166667
1,2,a303ea000000000b,evaluation_state_response_comparator,3,2.252742383942e-5,4.472194653038e-4,4.502644095830e-4,0.272412976,5.738434475404e-4,5.963190232023e-4,0.046875000
1,2,a303ea000000000c,evaluation_state_response_comparator,3,2.404101128107e-5,4.716854661044e-4,4.813046077268e-4,0.263933215,3.680760650203e-4,5.064465921786e-4,0.234375000
1,2,a303ea000000000b,gradient_full171,3,2.313198656745e-5,4.521475935219e-4,4.555969128852e-4,0.273973726,5.572030696328e-4,5.826643169182e-4,0.041666667
1,2,a303ea000000000c,gradient_full171,3,2.468034530205e-5,4.783278420826e-4,4.737911274393e-4,0.269028356,3.907220932279e-4,5.031429042415e-4,0.229166667
1,2,a303ea000000000b,hash_placebo_mean,3,3.064824138088e-5,5.367568353699e-4,5.354801716689e-4,0.299105142,5.786747395747e-4,6.075590745122e-4,0.052734375
1,2,a303ea000000000c,hash_placebo_mean,3,3.121494864550e-5,5.517834168052e-4,5.527929155654e-4,0.293742000,4.039385338032e-4,5.430667318439e-4,0.269531250
2,0,a303ea000000000d,development_response_oracle,3,2.881973734569e-5,5.300796819269e-4,5.315002236732e-4,0.318719025,4.745546180184e-4,5.764332049954e-4,0.281250000
2,0,a303ea000000000e,development_response_oracle,3,3.515831575986e-5,5.722851363000e-4,5.728431341187e-4,0.303339461,7.084007055482e-4,8.053332109246e-4,0.135416667
