role,dataset_index,dataset_seed,initialization_index,initialization_seed,stream_seed,step,train_loss,parameter_fingerprint,development_candidates,evaluation_candidates,eligible_blocks,bounds_skipped_blocks
development,1,a303dada00000002,1,a3031a1700000002,a303de000000000a,600,0.974860251,ed574ade43390e25,170,170,85,0
development,1,a303dada00000002,1,a3031a1700000002,a303de000000000a,2400,0.531852067,da57b37e159cd01e,170,170,85,0
development,1,a303dada00000002,1,a3031a1700000002,a303de000000000a,4200,0.336270422,3bb266a1f57d680b,168,168,84,1
evaluation,1,a303dada00000002,1,a3031a1700000002,a303ea0000000009,600,0.979460537,6a69a0d8fc059bf9,170,170,85,0
evaluation,1,a303dada00000002,1,a3031a1700000002,a303ea0000000009,2400,0.561721325,256da34869de36f2,170,170,85,0
evaluation,1,a303dada00000002,1,a3031a1700000002,a303ea0000000009,4200,0.426414698,1c68e4b92e517b0d,170,170,85,0
evaluation,1,a303dada00000002,1,a3031a1700000002,a303ea000000000a,600,0.976919174,3397d497a8a44bcd,170,170,85,0
evaluation,1,a303dada00000002,1,a3031a1700000002,a303ea000000000a,2400,0.609333932,efeaa2532635db68,170,170,85,0
evaluation,1,a303dada00000002,1,a3031a1700000002,a303ea000000000a,4200,0.324845344,9ee5e1627e8ee173,170,170,85,0
development,1,a303dada00000002,2,a3031a1700000003,a303de000000000b,600,0.942092419,f134d7132bf3a245,170,170,85,0
development,1,a303dada00000002,2,a3031a1700000003,a303de000000000b,2400,0.563774705,d52f1a0369084af8,170,170,85,0
development,1,a303dada00000002,2,a3031a1700000003,a303de000000000b,4200,0.391734928,d2f7cec7ef17df7b,170,170,85,0
development,1,a303dada00000002,2,a3031a1700000003,a303de000000000c,600,0.936675549,04901faf288940e7,170,170,85,0
development,1,a303dada00000002,2,a3031a1700000003,a303de000000000c,2400,0.455776423,53fb7637260f004c,170,170,85,0
development,1,a303dada00000002,2,a3031a1700000003,a303de000000000c,4200,0.289860517,bff9e1ae2b4606bd,168,168,84,1
evaluation,1,a303dada00000002,2,a3031a1700000003,a303ea000000000b,600,0.996262133,1e7744abaf25c599,170,170,85,0
evaluation,1,a303dada00000002,2,a3031a1700000003,a303ea000000000b,2400,0.677567661,9881a84bdde75fc1,170,170,85,0
evaluation,1,a303dada00000002,2,a3031a1700000003,a303ea000000000b,4200,0.536074579,94d95c4edcc45537,170,170,85,0
evaluation,1,a303dada00000002,2,a3031a1700000003,a303ea000000000c,600,0.939549446,9ad692ad2d7d77e9,170,170,85,0
evaluation,1,a303dada00000002,2,a3031a1700000003,a303ea000000000c,2400,0.552028954,74a436b2882b0b97,170,170,85,0
evaluation,1,a303dada00000002,2,a3031a1700000003,a303ea000000000c,4200,0.396415144,251016b77cd4c8af,168,168,84,1
development,2,a303dada00000003,0,a3031a1700000001,a303de000000000d,600,0.874200165,741b5bf665dfd26d,170,170,85,0
development,2,a303dada00000003,0,a3031a1700000001,a303de000000000d,2400,0.476911455,4b63bd11f989f81b,170,170,85,0
development,2,a303dada00000003,0,a3031a1700000001,a303de000000000d,4200,0.216393173,e539927119075ccd,170,170,85,0
development,2,a303dada00000003,0,a3031a1700000001,a303de000000000e,600,0.906955242,cface6daed4834e5,170,170,85,0
development,2,a303dada00000003,0,a3031a1700000001,a303de000000000e,2400,0.573487759,57eefbd9cb7e4cb4,170,170,85,0
development,2,a303dada00000003,0,a3031a1700000001,a303de000000000e,4200,0.312854737,b9fda3539cb7e4ce,170,170,85,0
evaluation,2,a303dada00000003,0,a3031a1700000001,a303ea000000000d,600,0.885994256,7071f7b43e7db9dc,170,170,85,0
evaluation,2,a303dada00000003,0,a3031a1700000001,a303ea000000000d,2400,0.478057146,05b0169eb08f2d03,170,170,85,0
evaluation,2,a303dada00000003,0,a3031a1700000001,a303ea000000000d,4200,0.215524793,4e723101424d98d9,168,168,84,1
evaluation,2,a303dada00000003,0,a3031a1700000001,a303ea000000000e,600,0.895274818,d493b7d10e2a3a19,170,170,85,0
evaluation,2,a303dada00000003,0,a3031a1700000001,a303ea000000000e,2400,0.524562120,17e80db7242d28e5,170,170,85,0
evaluation,2,a303dada00000003,0,a3031a1700000001,a303ea000000000e,4200,0.276737571,19ecc709c1162453,170,170,85,0
development,2,a303dada00000003,1,a3031a1700000002,a303de000000000f,600,0.962588727,98025fe0329c1ec5,170,170,85,0
development,2,a303dada00000003,1,a3031a1700000002,a303de000000000f,2400,0.633951902,2022f2fd7380f356,170,170,85,0
development,2,a303dada00000003,1,a3031a1700000002,a303de000000000f,4200,0.338118196,8dbcad5186f8576b,170,170,85,0
development,2,a303dada00000003,1,a3031a1700000002,a303de0000000010,600,0.973258793,44e559f968d7deb2,170,170,85,0
development,2,a303dada00000003,1,a3031a1700000002,a303de0000000010,2400,0.574794829,70da35f4db1a6013,170,170,85,0
development,2,a303dada00000003,1,a3031a1700000002,a303de0000000010,4200,0.356699735,293f542f1fcb1f9c,170,170,85,0
evaluation,2,a303dada00000003,1,a3031a1700000002,a303ea000000000f,600,0.919912636,7597e9f9c86291af,170,170,85,0
evaluation,2,a303dada00000003,1,a3031a1700000002,a303ea000000000f,2400,0.620080054,e25ac77401f7708c,170,170,85,0
evaluation,2,a303dada00000003,1,a3031a1700000002,a303ea000000000f,4200,0.423591465,00bbc5d0413bfaf0,170,170,85,0
evaluation,2,a303dada00000003,1,a3031a1700000002,a303ea0000000010,600,0.942465842,6bdbad99a61df002,170,170,85,0
evaluation,2,a303dada00000003,1,a3031a1700000002,a303ea0000000010,2400,0.673136413,c91ccec4ce9f1d13,170,170,85,0
evaluation,2,a303dada00000003,1,a3031a1700000002,a303ea0000000010,4200,0.446456581,376f2f004bd674f7,170,170,85,0
development,2,a303dada00000003,2,a3031a1700000003,a303de0000000011,600,0.946691930,c9d833b9d852caec,170,170,85,0
development,2,a303dada00000003,2,a3031a1700000003,a303de0000000011,2400,0.612305880,5cf739cc423b67c0,170,170,85,0
development,2,a303dada00000003,2,a3031a1700000003,a303de0000000011,4200,0.435066551,f12f70a0e1348ab3,168,168,84,1
development,2,a303dada00000003,2,a3031a1700000003,a303de0000000012,600,0.948481977,2036e7fede08b809,170,170,85,0
development,2,a303dada00000003,2,a3031a1700000003,a303de0000000012,2400,0.560040414,df9b793e0a36249a,170,170,85,0
development,2,a303dada00000003,2,a3031a1700000003,a303de0000000012,4200,0.322668850,1d55bb2a2a602fbe,170,170,85,0
evaluation,2,a303dada00000003,2,a3031a1700000003,a303ea0000000011,600,0.938756287,c1a22fff3a5580ff,170,170,85,0
evaluation,2,a303dada00000003,2,a3031a1700000003,a303ea0000000011,2400,0.617533028,09a752408fd4a9d8,170,170,85,0
evaluation,2,a303dada00000003,2,a3031a1700000003,a303ea0000000011,4200,0.410594732,ec934b781a29712e,170,170,85,0
evaluation,2,a303dada00000003,2,a3031a1700000003,a303ea0000000012,600,0.947563708,f27c203b94082bf5,170,170,85,0
evaluation,2,a303dada00000003,2,a3031a1700000003,a303ea0000000012,2400,0.600049376,c097b0ba4429ef1a,170,170,85,0
evaluation,2,a303dada00000003,2,a3031a1700000003,a303ea0000000012,4200,0.302556783,d50634d6a92c14e1,168,168,84,1
